pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-30,85.9,-1.78,6.02,"Rojas, Miguel",500743,607259,single,hit_into_play,,,,,6.0,Miguel Rojas singles on a line drive to center fielder Will Benson.,R,R,R,CIN,LAD,X,8,line_drive,1,1,2025,0.04,0.31,0.79,2.25,,,,0,3,Top,109.84,86.43,,,,,5.98443648515528,-125.13954585264725,-3.369825064084412,-0.6796330707017367,22.30732958596266,-28.46259178551312,3.41,1.7,239.0,96.3,12.0,86.0,2513.0,6.0,776941,663886,668715,680574,669289,682829,666158,666181,682622,54.48,0.951,0.901,0.9,1.0,1,0,4.0,18,3,Slider,1,0,0,1,0,1,0,1,Infield shade,Standard,193.0,-0.043,0.447,70.1,7.3,1.117,-0.447,96.3,1,-1,0.617,0.383,34,36,35,36,1,0,5.0,1.0,5.0,3.0,2.74,-0.04,-0.04,51.8,5.354401405282521,0.278235975502716,29.961807774902105,45.49024659305103,35.116150783047004
SI,2025-07-30,99.2,-2.18,5.9,"Rojas, Miguel",500743,682825,field_out,hit_into_play,,,,,8.0,Miguel Rojas lines out to center fielder Will Benson.,R,R,R,CIN,LAD,X,8,line_drive,0,0,2025,-1.28,0.83,-0.24,2.23,,,624424.0,1,7,Top,115.93,78.24,,,,,8.312454452794949,-144.1168731745683,-6.53722207250089,-19.77337513378272,35.675793517958304,-19.18729424031872,3.41,1.7,302.0,88.9,21.0,99.2,2253.0,6.5,776941,663886,668715,680574,669289,682829,666158,666181,682622,53.98,0.306,0.289,0.0,1.0,0,0,3.0,52,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,220.0,0.049,-0.256,72.4,7.1,0.413,0.256,88.9,0,0,0.496,0.504,24,36,24,36,1,2,41.0,1.0,3.0,3.0,1.5,1.28,1.28,33.0,4.065948245486188,-0.8315765546309963,35.116285770763035,34.81170652226199,31.349900734895723
SI,2025-07-29,92.0,3.76,5.31,"Rojas, Miguel",500743,666157,single,hit_into_play,,,,,5.0,Miguel Rojas singles on a sharp line drive to left fielder Gavin Lux.,R,R,L,CIN,LAD,X,7,line_drive,2,0,2025,1.62,0.42,0.18,2.86,,,,0,5,Top,93.73,91.88,,,,,-12.566286592884378,-133.4764747454153,-1.2903100964924488,21.993655648340518,26.389583607676546,-27.07564882508252,3.41,1.7,183.0,105.0,9.0,92.1,2212.0,6.3,776963,624431,668715,680574,682622,682829,666158,666181,641584,54.18,0.734,0.705,0.9,1.0,1,0,4.0,35,3,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,106.0,-0.052,0.32,68.9,6.8,0.894,-0.32,105.0,1,-1,0.644,0.356,27,36,27,36,2,1,6.0,1.0,6.0,1.0,2.27,1.62,-1.62,12.6,5.051529750845414,3.4377923822777827,25.18602764562887,38.62325300606578,31.464328891533636
FF,2025-07-27,92.0,-2.31,5.13,"Rojas, Miguel",500743,669711,double,hit_into_play,,,,,13.0,Miguel Rojas doubles (7) on a fly ball to center fielder Jarren Duran.,R,R,R,BOS,LAD,X,8,fly_ball,0,0,2025,-0.84,0.93,-0.93,2.5,,,,0,6,Top,79.35,77.7,,,,,5.265234467365252,-134.00874534991405,-2.886088717743052,-11.19608180106287,25.86696665076549,-20.519734897877694,3.4,1.67,363.0,93.1,29.0,91.6,2267.0,5.7,776983,665966,647351,678882,608324,596115,701350,680776,677800,54.77,0.123,0.175,1.25,1.0,1,1,3.0,49,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Strategic,229.0,-0.1,0.717,72.1,7.1,0.303,-0.717,93.1,1,-1,0.667,0.333,30,36,30,36,1,2,4.0,1.0,1.0,1.0,1.74,0.84,0.84,19.7,9.396224173455456,-11.826820842627164,33.483066430321394,27.79721980434481,33.453474943876934
SI,2025-07-26,95.5,2.17,6.05,"Rojas, Miguel",500743,676979,field_out,hit_into_play,,,,,3.0,Miguel Rojas lines out to left fielder Jarren Duran.,R,R,L,BOS,LAD,X,7,line_drive,1,0,2025,1.55,0.81,0.34,2.88,,,,0,2,Top,77.32,88.67,,,,,-8.35907490491628,-138.82002987635065,-4.553225424670253,21.92227235737857,32.13003566853165,-20.90381584391115,3.39,1.66,299.0,97.1,17.0,96.1,2361.0,6.7,776998,665966,647351,663853,608324,596115,680776,678882,701350,53.75,0.526,0.541,0.0,1.0,0,0,4.0,11,2,Sinker,0,2,2,0,2,0,2,0,Infield shade,Standard,136.0,0.017,-0.301,68.4,7.0,0.76,0.301,97.1,-2,2,0.294,0.706,26,36,26,36,1,0,6.0,1.0,10.0,1.0,1.71,1.55,-1.55,33.7,7.789726875646965,-4.481915673784881,25.694180492650595,41.28398637868678,33.94631965882377
SI,2025-07-26,99.6,0.08,6.14,"Rojas, Miguel",500743,547973,field_out,hit_into_play,,,,,3.0,Miguel Rojas flies out to right fielder Roman Anthony.,R,R,L,BOS,LAD,X,9,fly_ball,1,2,2025,0.95,1.34,0.35,3.31,,,,1,9,Top,210.09,108.02,,,,,-1.5209306648753813,-145.03431493875993,-5.623830778490132,13.727676655235548,33.49090678698038,-12.145577994058687,3.39,1.66,305.0,92.4,26.0,101.6,2365.0,7.3,776998,665966,647351,666152,608324,596115,680776,678882,701350,53.2,0.143,0.184,0.0,1.0,0,0,3.0,70,4,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,163.0,0.023,-0.18,59.2,5.9,0.294,0.18,92.4,2,-2,0.966,0.034,37,36,37,36,1,3,3.0,1.0,1.0,1.0,0.95,0.95,-0.95,51.9,-2.529281427534462,18.01643513413162,21.878468790717985,40.395123826850885,25.426502320564147
SI,2025-07-09,91.1,2.17,5.59,"Rojas, Miguel",500743,500779,field_out,hit_into_play,,,,,5.0,Miguel Rojas flies out to center fielder Jackson Chourio.,R,R,L,MIL,LAD,X,8,fly_ball,3,0,2025,1.08,1.02,-0.16,2.33,,,518692.0,2,2,Top,82.24,73.44,,,,,-8.255230770918029,-132.39397894161468,-4.524082321144832,14.390399696851068,26.95168541203242,-19.398706365277054,3.39,1.64,329.0,98.6,42.0,92.0,2208.0,6.8,777175,661388,641343,668930,702332,687401,686555,694192,686217,53.69,0.06,0.109,0.0,1.0,0,0,3.0,10,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,151.0,0.024,-0.437,73.5,7.7,0.205,0.437,98.6,0,0,0.526,0.474,36,36,36,36,1,0,6.0,1.0,11.0,4.0,1.72,1.08,-1.08,41.2,11.673819391094012,-15.516183647325809,33.15921358054604,35.53087172409073,38.20098370282438
ST,2025-07-09,82.5,-2.54,3.98,"Rojas, Miguel",500743,681982,single,hit_into_play,,,,,5.0,Miguel Rojas singles on a line drive to center fielder Jackson Chourio.,R,R,R,MIL,LAD,X,8,line_drive,0,0,2025,1.0,0.39,0.17,2.2,,,,2,8,Top,118.58,111.73,,,,,4.227697195380351,-120.00585932118504,1.7614887072763854,8.792055684800683,24.3925014096514,-29.045823702815103,3.39,1.64,197.0,69.6,22.0,82.5,2723.0,6.4,777175,661388,641343,668930,702332,655316,686555,694192,686217,54.09,0.977,0.888,0.9,1.0,1,0,4.0,61,1,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,94.0,-0.012,0.326,72.5,7.8,1.031,-0.326,88.0,-1,1,0.285,0.715,28,36,28,36,1,3,3.0,1.0,3.0,4.0,2.98,-1.0,-1.0,0.1,17.171080733529237,-26.08461911823835,29.2548221487386,38.04948886892251,48.80481958224023
FF,2025-07-08,99.1,-1.58,5.2,"Rojas, Miguel",500743,694819,field_out,hit_into_play,,,,,4.0,Miguel Rojas lines out to center fielder Jackson Chourio.,R,R,R,MIL,LAD,X,8,line_drive,0,0,2025,-0.6,1.38,-0.28,2.26,,,,2,5,Top,122.06,57.3,,,,,5.068930234514599,-144.12292363745738,-5.924900725126733,-9.582809902568195,36.390863432304464,-11.800490569528437,3.4,1.65,351.0,95.8,21.0,101.1,2619.0,7.6,777193,661388,683734,668930,655316,687401,686555,694192,686217,52.88,0.289,0.355,0.0,1.0,0,0,3.0,35,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Strategic,Standard,215.0,0.014,-0.26,70.1,7.3,0.568,0.26,95.8,1,-1,0.699,0.301,23,36,23,36,2,1,6.0,1.0,14.0,1.0,0.96,0.6,0.6,29.9,6.478049156773802,-3.375342635627534,36.04155591302883,32.76492027921478,30.70353543021292
SL,2025-07-08,93.4,-1.77,4.92,"Rojas, Miguel",500743,694819,double,hit_into_play,,,,,2.0,Miguel Rojas doubles (6) on a line drive to center fielder Jackson Chourio.,R,R,R,MIL,LAD,X,8,line_drive,0,1,2025,0.26,0.41,-0.07,2.87,,,,0,3,Top,95.34,84.39,,,,,3.9132241264839833,-136.0119691290829,-0.4435727497373006,2.4093705887905665,28.61820195003813,-27.207587579702597,3.4,1.65,226.0,97.6,10.0,95.9,2382.0,7.6,777193,661388,683734,668930,655316,687401,686555,694192,686217,52.91,0.74,0.726,1.25,1.0,1,1,4.0,16,2,Slider,0,1,1,0,1,0,1,0,Strategic,Standard,179.0,-0.06,0.756,68.8,6.6,0.896,-0.756,97.6,-1,1,0.383,0.617,23,36,23,36,1,0,6.0,1.0,14.0,1.0,2.19,-0.26,-0.26,21.3,7.292562193574583,-2.216255200655167,24.922053064829026,36.64761827057465,36.54473244938886
