pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-08-14,92.2,1.31,5.79,"Schunk, Aaron",668845,593958,field_out,hit_into_play,,,,,5.0,Aaron Schunk lines out to right fielder Corbin Carroll.,R,R,L,COL,AZ,X,9,line_drive,2,2,2025,0.19,0.82,-0.15,2.16,,,,2,7,Bot,159.35,77.99,,,,,-4.13808113239658,-134.30046940039566,-5.310066155677473,3.03815227481421,23.473090080286077,-21.318877946764488,3.4,1.6,312.0,87.2,25.0,93.2,2300.0,6.4,776742,645444,682988,606466,677942,672695,666971,677950,682998,54.08,0.08,0.072,0.0,1.0,0,0,3.0,60,6,4-Seam Fastball,1,8,1,8,8,1,1,8,Standard,Standard,157.0,-0.001,-0.224,74.6,6.5,0.124,0.224,88.0,-7,-7,0.004,0.004,32,27,32,28,3,2,5.0,4.0,5.0,,1.81,0.19,-0.19,39.5,1.5475359563086188,9.245130586709063,37.02262435709067,34.6740733348618,27.335911294837157
CH,2025-08-14,85.4,1.28,5.83,"Schunk, Aaron",668845,593958,field_out,hit_into_play,,,,,12.0,Aaron Schunk flies out to center fielder Alek Thomas.,R,R,L,COL,AZ,X,8,fly_ball,1,1,2025,0.98,0.17,0.89,3.04,,,,0,5,Bot,153.59,84.81,,,,,-2.8856540387892946,-124.48285746162708,-0.7194256988023089,10.792462502293674,21.513257704913137,-30.47024588732693,3.4,1.6,292.0,78.8,37.0,86.2,1880.0,6.4,776742,645444,682988,606466,677942,672695,666971,677950,682998,54.12,0.043,0.059,0.0,1.0,0,0,3.0,42,3,Changeup,1,7,1,7,7,1,1,7,Standard,Standard,123.0,-0.008,-0.251,69.6,6.7,0.085,0.251,88.0,-6,-6,0.039,0.039,32,27,32,28,2,1,5.0,4.0,5.0,,2.91,0.98,-0.98,39.4,12.913826268215905,2.8284508883421005,24.640939404184348,48.24582907576709,30.42399902765548
FF,2025-05-24,94.7,1.54,6.04,"Schunk, Aaron",668845,608331,single,hit_into_play,,,,,11.0,Aaron Schunk singles on a line drive to center fielder Trent Grisham.,R,R,L,COL,NYY,X,8,line_drive,1,2,2025,-0.03,0.78,-1.09,2.89,,,,1,3,Bot,115.68,90.95,,,,,-6.8022456802926685,-137.80372643866886,-4.318481812517405,1.0023170416631506,29.125058155185915,-21.495562333537396,3.4,1.61,214.0,75.5,19.0,95.2,2408.0,6.5,777782,669224,502671,518934,672724,683011,641355,663757,592450,54.04,0.974,0.89,0.9,1.0,1,0,4.0,21,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,155.0,0.03,0.489,63.0,5.3,1.045,-0.489,88.0,-1,-1,0.403,0.403,31,27,31,28,1,0,6.0,2.0,6.0,78.0,1.75,-0.03,0.03,46.1,-0.7327416747679646,7.354966662072171,32.87176954556336,23.90282829328738,24.981822802670337
FF,2025-04-25,88.9,2.35,6.08,"Schunk, Aaron",668845,671096,field_out,hit_into_play,,,,,11.0,Aaron Schunk flies out to center fielder TJ Friedl.,R,R,L,COL,CIN,X,8,fly_ball,1,1,2025,0.54,1.32,-0.92,3.29,,,,0,4,Bot,102.27,74.95,,,,,-9.145788301343767,-129.22610042558094,-3.619068599033915,7.786895241183334,22.77017242116085,-16.728825880604578,3.39,1.6,313.0,84.9,37.0,89.4,2118.0,6.3,778181,642851,668715,669289,682622,682829,669720,670770,694362,54.19,0.003,0.003,0.0,1.0,0,0,3.0,39,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shade,Standard,146.0,-0.027,-0.251,62.1,5.6,0.003,0.251,88.0,0,0,0.559,0.559,26,27,26,28,2,1,7.0,1.0,6.0,25.0,1.54,0.54,-0.54,48.8,7.6794734180095805,-1.975135176034792,28.58692335623097,25.843027056840377,30.19351304187869
SL,2025-04-25,86.6,-1.55,5.84,"Schunk, Aaron",668845,664139,field_out,hit_into_play,,,,,8.0,Aaron Schunk lines out to right fielder Blake Dunn.,R,R,R,COL,CIN,X,9,line_drive,1,1,2025,0.46,0.03,-0.2,1.57,,669911.0,,2,5,Bot,181.3,63.17,,,,,2.312215750325891,-126.226290044864,-4.179933710796769,4.524412822715316,21.775461000355502,-31.350437038725957,3.39,1.6,362.0,99.2,21.0,88.2,2142.0,6.8,778181,642851,668715,669289,682622,682829,669720,670770,694362,53.66,0.326,0.405,0.0,1.0,0,0,5.0,55,3,Slider,6,6,6,6,6,6,6,6,Infield shade,Standard,126.0,-0.047,-0.264,70.8,6.6,0.653,0.264,99.2,0,0,0.547,0.547,31,27,32,28,1,2,2.0,1.0,26.0,25.0,2.97,-0.46,-0.46,51.0,-4.7718186038480495,-0.3208925029176026,42.43968772638624,34.54377794203529,28.837324998900364
FF,2025-04-24,95.2,1.07,6.17,"Schunk, Aaron",668845,666142,field_out,hit_into_play,,,,,5.0,Aaron Schunk flies out to right fielder Hunter Renfroe.,R,R,L,KC,COL,X,9,fly_ball,0,0,2025,1.2,1.16,-0.11,2.25,,,,2,2,Top,164.89,105.97,,,,,-5.762276806736423,-138.33428020562516,-7.194520097006858,16.699237228375946,31.52523306645788,-15.819136035696282,3.39,1.6,252.0,81.7,50.0,94.5,2531.0,6.0,778190,521692,624415,686681,672580,677951,671221,664728,592669,54.49,0.026,0.027,0.0,1.0,0,0,3.0,17,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,135.0,0.01,-0.26,72.0,6.7,0.037,0.26,88.0,0,0,0.54,0.46,27,27,28,28,1,0,6.0,2.0,11.0,0.0,1.36,1.2,-1.2,40.2,8.809138430485122,-7.454923548165729,36.27172894097704,36.48716216710913,30.5933740017551
CH,2025-04-24,86.7,1.31,5.75,"Schunk, Aaron",668845,663738,single,hit_into_play,,,,,6.0,Aaron Schunk singles on a line drive to left fielder Tyler Tolbert.,R,R,L,KC,COL,X,7,line_drive,0,2,2025,1.39,0.47,0.37,2.63,,,,1,9,Top,89.28,80.19,,,,,-5.1036451636158375,-126.17711516851178,-2.2326713817377546,15.896035366083153,24.941536815949718,-26.9391218058648,3.39,1.6,253.0,99.8,13.0,87.3,1743.0,6.6,778195,666023,686469,672580,663697,677951,686475,664728,671221,53.88,0.917,0.886,0.9,1.0,1,0,4.0,72,3,Changeup,6,2,2,6,2,6,2,6,Standard,Standard,112.0,-0.008,0.506,70.3,6.6,1.13,-0.506,99.8,4,-4,0.995,0.005,28,27,29,28,1,3,2.0,0.0,7.0,1.0,2.56,1.39,-1.39,33.7,7.598584540600552,-2.337693602248783,32.52101946902289,40.94710499415149,30.312384414312845
SL,2025-04-22,84.7,2.1,5.64,"Schunk, Aaron",668845,663460,field_out,hit_into_play,,,,,5.0,Aaron Schunk flies out to center fielder Kyle Isbel.,R,R,L,KC,COL,X,8,fly_ball,2,1,2025,-0.01,-0.11,0.14,2.33,,,,0,6,Top,169.33,54.18,,,,,-4.560830561429233,-123.39016241560644,-1.2476840882597937,0.660613763236694,21.791715007572765,-33.32025620136144,3.39,1.6,373.0,98.3,30.0,85.6,2480.0,6.5,778215,521692,686469,686681,672580,677951,663697,664728,671221,53.97,0.394,0.687,0.0,1.0,0,0,6.0,34,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,316.0,0.033,-0.305,71.3,6.7,1.305,0.305,98.3,0,0,0.5,0.5,27,27,28,28,2,1,6.0,2.0,5.0,2.0,3.26,-0.01,0.01,38.1,6.021178476113305,2.5791803234855624,34.43002982893104,39.41913140607958,32.476884433746804
ST,2025-04-22,82.3,2.36,5.5,"Schunk, Aaron",668845,663460,single,hit_into_play,,,,,2.0,Aaron Schunk singles on a line drive to right fielder Drew Waters. Mickey Moniak to 2nd.,R,R,L,KC,COL,X,9,line_drive,0,2,2025,-1.25,-0.45,0.21,2.97,,,666160.0,1,3,Top,158.53,91.64,,,,,-2.463816232125753,-119.74229597844064,1.71137690318476,-11.446450094827677,24.588248780962022,-37.09376023672928,3.39,1.6,285.0,84.1,23.0,82.4,2495.0,6.5,778215,521692,686469,686681,672580,677951,663697,664728,671221,54.01,0.306,0.275,0.9,1.0,1,0,3.0,15,6,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,313.0,-0.04,0.493,65.9,6.0,0.365,-0.493,88.0,0,0,0.497,0.503,27,27,28,28,1,0,6.0,2.0,5.0,2.0,3.84,-1.25,1.25,32.6,-3.9764890084232136,7.903224449462804,29.045305419466708,39.55237181433057,24.66986370293026
FF,2025-04-20,93.8,-2.65,5.19,"Schunk, Aaron",668845,695418,double,hit_into_play,,,,,4.0,Aaron Schunk doubles (1) on a line drive to right fielder Dylan Crews. Jacob Stallings to 3rd.,R,R,R,COL,WSH,X,9,line_drive,0,1,2025,-1.13,0.56,-0.71,2.77,,,607732.0,2,4,Bot,190.84,137.79,,,,,7.532605072125919,-136.49649659707734,-1.7746165169730332,-15.81104286098053,30.22756453253333,-24.969731528507864,3.39,1.6,170.0,66.0,21.0,93.9,2195.0,6.3,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.15,0.674,0.607,1.25,1.0,1,1,4.0,34,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,247.0,0.047,0.959,65.1,5.4,0.688,-0.959,88.0,-1,-1,0.387,0.387,25,27,25,28,2,1,6.0,1.0,6.0,2.0,2.03,1.13,1.13,20.2,-9.149776022020887,11.719309072855056,36.42897456653721,29.51162698560094,21.46370520279673
