pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-07-06,93.1,1.78,6.12,"Senger, Hayden",663584,608331,single,hit_into_play,,,,,6.0,Hayden Senger singles on a sharp line drive to center fielder Trent Grisham. Jeff McNeil to 2nd.,R,R,L,NYM,NYY,X,8,line_drive,0,1,2025,0.1,1.0,0.41,2.78,,,643446.0,1,5,Bot,149.58,76.68,,,,,-3.755463584828643,-135.5072097753421,-5.025312085703755,2.1161386605708663,29.772272625403065,-18.98249068864059,3.51,1.57,272.0,102.0,14.0,93.6,2204.0,6.6,777216,669224,502671,518934,672724,683011,641355,663757,592450,53.94,0.789,0.789,0.9,1.0,1,0,4.0,42,2,Cutter,0,5,0,5,5,0,0,5,Standard,Standard,146.0,0.024,0.446,72.2,7.4,1.062,-0.446,102.0,-5,-5,0.068,0.068,31,28,31,28,2,1,5.0,4.0,6.0,4.0,1.63,0.1,-0.1,45.5,5.390578230480502,12.623048132310045,24.304172259690617,43.39261586363486,20.78109021744984
CU,2025-07-06,75.6,1.59,6.2,"Senger, Hayden",663584,608331,field_out,hit_into_play,,,,,6.0,Hayden Senger lines out to center fielder Trent Grisham.,R,R,L,NYM,NYY,X,8,line_drive,2,2,2025,-0.62,-1.28,0.75,2.74,,,,1,3,Bot,134.4,75.86,,,,,-0.6586484495250443,-109.92616296965132,2.309484419839748,-4.83577346344999,22.15624053460599,-43.11604340378591,3.51,1.57,307.0,83.1,27.0,75.7,2873.0,6.7,777216,669224,502671,518934,672724,683011,641355,663757,592450,53.75,0.12,0.132,0.0,1.0,0,0,3.0,21,5,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,325.0,-0.019,-0.228,69.7,7.6,0.197,0.228,88.0,-1,-1,0.403,0.403,31,28,31,28,1,0,5.0,4.0,6.0,4.0,5.31,-0.62,0.62,52.6,13.413701329159574,3.0583090373421045,24.019062669855398,47.66865804834212,30.425452562051788
ST,2025-06-27,82.4,-1.87,5.81,"Senger, Hayden",663584,656605,field_out,hit_into_play,,,,,5.0,Hayden Senger flies out to left fielder Tommy Pham.,R,R,R,PIT,NYM,X,7,fly_ball,1,1,2025,0.88,-0.13,-0.17,2.57,,,677595.0,1,5,Top,58.69,85.08,,,,,2.159287252593124,-119.90064115013897,-0.4931449418387161,7.961571353714733,26.04580457748328,-33.574121663843115,3.51,1.55,383.0,101.1,37.0,82.6,2645.0,6.7,777341,663698,669707,693304,663647,643396,502054,672744,668804,53.77,0.274,0.55,0.0,1.0,0,0,5.0,38,3,Sweeper,4,1,1,4,1,4,1,4,Standard,Standard,63.0,0.028,-0.235,77.1,7.8,1.069,0.235,101.1,3,-3,0.843,0.157,29,28,29,28,2,1,6.0,2.0,5.0,5.0,3.52,-0.88,-0.88,36.7,17.8899645983832,-13.425905137547703,26.386001486886773,34.210205302769936,37.43052291165933
SI,2025-06-27,93.2,-1.93,5.81,"Senger, Hayden",663584,656605,field_out,hit_into_play,,,,,5.0,Hayden Senger flies out to right fielder Bryan Reynolds.,R,R,R,PIT,NYM,X,9,fly_ball,2,1,2025,-1.54,0.57,-0.05,2.8,,,,0,3,Top,185.9,100.04,,,,,8.268648521729391,-135.4453412844907,-3.2272119689180583,-20.758637229982867,29.977041812979344,-24.657101690974955,3.51,1.55,287.0,82.9,31.0,93.9,2303.0,6.8,777341,663698,669707,693304,663647,643396,502054,672744,668804,53.72,0.051,0.062,0.0,1.0,0,0,3.0,21,4,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,226.0,0.017,-0.305,76.8,7.0,0.098,0.305,88.0,4,-4,0.868,0.132,29,28,29,28,1,0,6.0,2.0,5.0,5.0,2.06,1.54,1.54,33.9,-0.1232334012968596,10.300957594454925,26.60437162826361,35.61497300879605,22.42989491439886
ST,2025-06-25,83.6,-2.24,5.25,"Senger, Hayden",663584,800311,field_out,hit_into_play,,,,,6.0,Hayden Senger flies out to right fielder Ronald Acuña Jr.,R,R,R,NYM,ATL,X,9,fly_ball,2,2,2025,0.68,-0.31,0.66,2.75,,,,0,3,Bot,168.53,116.42,,,,,5.367921966929641,-121.57085350632134,1.3413389046855322,5.5908451346318415,25.504428042591726,-35.74479532421797,3.41,1.56,232.0,83.6,52.0,83.8,2559.0,6.6,777369,686948,621566,645277,663586,669397,657077,671739,660670,53.87,0.026,0.033,0.0,1.0,0,0,3.0,21,6,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,93.0,-0.02,-0.232,69.7,7.7,0.042,0.232,88.0,1,1,0.673,0.673,20,28,20,28,1,0,5.0,3.0,7.0,2.0,3.59,-0.68,-0.68,35.0,3.747708452998994,0.5179263433483768,21.292962465619844,44.40707373796084,28.922982833858875
ST,2025-08-30,84.6,-1.14,5.76,"Senger, Hayden",663584,663969,single,hit_into_play,,,,,6.0,Hayden Senger singles on a line drive to left fielder Jakob Marsee. Brett Baty to 2nd.,R,R,R,NYM,MIA,X,7,line_drive,0,1,2025,1.16,-0.15,0.67,2.25,,,683146.0,2,9,Bot,73.89,106.6,,,,,1.9470765919532789,-123.0984211192256,-1.4692846623857625,11.225121856725044,27.266194732177677,-33.59720462570994,3.47,1.55,219.0,80.9,20.0,85.2,2514.0,7.0,776535,682663,689414,669364,681393,672640,805300,656537,686894,53.53,0.917,0.843,0.9,1.0,1,0,4.0,89,2,Sweeper,8,11,8,11,11,8,8,11,Standard,Standard,47.0,0.027,0.387,74.0,8.2,1.018,-0.387,88.0,-3,-3,0.014,0.014,27,28,28,28,1,0,4.0,2.0,4.0,1.0,3.37,-1.16,-1.16,28.2,19.63870386111406,-11.885214393186695,27.994726106958986,45.25064589064844,41.05849670213145
SL,2025-08-28,87.4,-1.69,6.08,"Senger, Hayden",663584,800049,field_out,hit_into_play,,,,,7.0,Hayden Senger flies out to left fielder Troy Johnston.,R,R,R,NYM,MIA,X,7,fly_ball,1,2,2025,0.2,-0.05,-0.49,2.05,643446.0,,656775.0,2,4,Bot,99.94,86.15,,,,,2.4798484029886927,-127.25880656621192,-3.441823077071624,1.611213903933559,27.24545389049828,-32.149988869755674,3.47,1.55,288.0,86.3,43.0,87.1,2407.0,6.1,776558,682663,689414,669364,691185,672640,687859,805300,667472,54.35,0.006,0.008,0.0,1.0,0,0,3.0,38,4,Slider,2,4,2,4,4,2,2,4,Standard,Standard,99.0,-0.061,-0.188,75.1,7.9,0.012,0.188,88.0,-2,-2,0.3,0.3,24,28,24,28,2,1,71.0,1.0,5.0,2.0,3.04,-0.2,-0.2,59.8,11.37221646562018,-5.897168480922534,32.5560324101882,33.25770056820735,33.54371031288088
FF,2025-08-23,92.3,1.2,6.45,"Senger, Hayden",663584,680735,field_out,hit_into_play,,,,,6.0,Hayden Senger flies out sharply to center fielder Michael Harris II.,R,R,L,ATL,NYM,X,8,fly_ball,1,0,2025,0.12,1.59,0.31,2.73,,683146.0,621438.0,2,9,Top,122.61,40.73,,,,,-2.543432783592089,-134.33210772989696,-7.150561013452457,2.032295326141499,27.597906082105528,-11.561331222770797,3.48,1.55,390.0,103.5,35.0,92.8,2090.0,6.5,776626,686948,621566,645277,805373,669397,595777,671739,660670,54.03,0.597,1.188,0.0,1.0,0,0,6.0,76,2,4-Seam Fastball,2,9,9,2,9,2,9,2,Standard,Standard,161.0,0.0,-0.306,77.9,8.2,2.318,0.306,103.5,-7,7,0.001,0.999,28,28,28,28,1,4,5.0,1.0,5.0,4.0,1.07,0.12,-0.12,55.8,18.07916579118223,-4.453180256442264,24.56509860015304,42.22167623680605,31.9400638811337
SI,2025-08-22,93.1,-1.14,6.11,"Senger, Hayden",663584,607200,single,hit_into_play,,,,,9.0,Hayden Senger singles on a line drive to center fielder Michael Harris II. Brett Baty scores. Cedric Mullins scores.,R,R,R,ATL,NYM,X,8,line_drive,1,0,2025,-0.54,0.76,0.28,1.87,683146.0,656775.0,,1,8,Top,160.64,59.47,,,,,4.880728546369234,-135.5091798047958,-6.93322856176956,-7.669740235079734,25.741629343635267,-21.59393470410635,3.49,1.56,324.0,94.4,17.0,94.6,1785.0,6.9,776645,686948,621566,645277,805373,669397,595777,671739,660670,53.63,0.614,0.583,0.9,1.0,1,0,4.0,70,2,Sinker,2,9,9,2,11,2,11,2,Strategic,Standard,209.0,-0.001,0.455,76.4,8.1,0.776,-0.455,94.4,-7,7,0.002,0.998,32,28,32,28,3,4,5.0,1.0,5.0,1.0,1.84,0.54,0.54,41.9,10.304098611655466,3.6699765462722462,31.869405098239984,43.633760418126975,25.31565041262052
SL,2025-08-22,84.9,0.89,6.27,"Senger, Hayden",663584,666214,single,hit_into_play,,,,,8.0,Hayden Senger singles on a sharp line drive to left fielder Jurickson Profar. Brett Baty scores. Tyrone Taylor to 3rd.,R,R,L,ATL,NYM,X,7,line_drive,1,1,2025,-0.11,0.27,-0.21,1.76,,683146.0,621438.0,2,2,Top,73.82,89.92,,,,,-2.406841066126521,-123.708775479423,-4.926280968047097,-0.6850216236600098,21.73496343571491,-28.726050101238748,3.49,1.56,89.0,102.3,4.0,86.8,2530.0,7.2,776645,686948,621566,645277,805373,669397,595777,671739,660670,53.33,0.569,0.533,0.9,1.0,1,0,4.0,13,3,Slider,0,0,0,0,1,0,1,0,Standard,Standard,214.0,-0.113,0.57,73.2,8.3,0.652,-0.57,102.3,0,0,0.505,0.495,27,28,28,28,1,0,6.0,1.0,5.0,1.0,2.86,-0.11,0.11,44.6,12.659863872358564,-11.331405461947227,31.723241104072745,37.71920377434707,38.145176632435394
