pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-29,87.0,2.3,5.71,"Slater, Austin",596103,666200,field_out,hit_into_play,,,,,6.0,Austin Slater lines out to left fielder Max Kepler.,R,R,L,CWS,PHI,X,7,line_drive,1,1,2025,1.44,0.59,0.38,2.76,,672820.0,691019.0,2,5,Bot,58.95,106.84,,,,,-7.449273371282151,-126.52411797325524,-2.086934698558873,16.953249409352416,25.70243666564566,-25.56292914890932,3.71,1.78,283.0,95.2,21.0,86.0,1992.0,5.7,776952,592663,547180,681082,805249,607208,596146,669016,592206,54.8,0.249,0.291,0.0,1.0,0,0,3.0,43,3,Changeup,0,6,0,6,6,0,0,6,Standard,Standard,112.0,-0.014,-0.254,71.0,7.3,0.471,0.254,95.2,-6,-6,0.037,0.037,27,32,28,33,3,2,6.0,1.0,6.0,2.0,2.42,1.44,-1.44,29.6,21.28003723438913,-2.608476521393018,34.006698715843854,36.83853312541659,39.050857340631886
SL,2025-07-29,87.1,-2.35,5.99,"Slater, Austin",596103,605447,field_out,hit_into_play,,,,,6.0,Austin Slater flies out to center fielder Brandon Marsh.,R,R,R,CWS,PHI,X,8,fly_ball,0,0,2025,0.22,-0.01,0.58,2.59,,,,2,8,Bot,125.35,80.31,,,,,6.687004922224267,-126.62189854046764,-1.8692177314408205,0.7718398843937528,29.714852492311,-32.129906713228465,3.71,1.78,296.0,80.6,35.0,88.0,1968.0,7.2,776952,592663,547180,681082,805249,607208,596146,669016,592206,53.25,0.037,0.048,0.0,1.0,0,0,3.0,63,1,Slider,0,6,0,6,6,0,0,6,Standard,Standard,78.0,-0.001,-0.26,72.5,7.3,0.071,0.26,88.0,-6,-6,0.003,0.003,32,32,32,33,1,3,4.0,1.0,4.0,2.0,3.06,-0.22,-0.22,45.7,20.49052623134733,3.077648810506717,34.56366028727055,39.13055685680668,38.897508141585774
CH,2025-07-29,87.7,2.31,5.85,"Slater, Austin",596103,666200,field_out,hit_into_play,,,,,5.0,Austin Slater flies out sharply to center fielder Brandon Marsh.,R,R,L,CWS,PHI,X,8,fly_ball,1,1,2025,1.24,0.58,0.16,2.58,,,805367.0,0,1,Bot,107.73,50.7,,,,,-7.668589553548149,-127.56012165274215,-2.96297362937528,15.116397865916792,25.80864851077588,-25.382750701606685,3.71,1.78,370.0,104.9,22.0,86.8,1936.0,5.7,776952,592663,547180,681082,805249,607208,596146,669016,592206,54.83,0.803,1.325,0.0,1.0,0,0,6.0,6,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,114.0,-0.033,-0.234,74.1,7.2,2.409,0.234,104.9,0,0,0.583,0.583,27,32,28,33,1,0,6.0,1.0,6.0,2.0,2.38,1.24,-1.24,31.5,15.29916913421654,9.157731856772708,36.93617123213386,34.50312449318646,32.10537892325072
CH,2025-07-28,86.3,2.1,5.88,"Slater, Austin",596103,650911,single,hit_into_play,,,,,14.0,Austin Slater singles on a line drive to center fielder Brandon Marsh.,R,R,L,CWS,PHI,X,8,line_drive,0,0,2025,1.38,-0.13,0.89,2.1,,,,2,5,Bot,134.83,84.54,,,,,-5.756444232928935,-125.56713413454746,-2.480764238751544,15.76090396642147,26.58173805502418,-33.26802089358779,3.71,1.78,210.0,84.4,18.0,87.2,2101.0,6.9,776972,592663,547180,681082,805249,607208,596146,669016,592206,53.56,0.943,0.866,0.9,1.0,1,0,4.0,42,1,Changeup,4,2,4,2,2,4,4,2,Standard,Standard,106.0,0.008,0.326,72.7,7.4,1.041,-0.326,88.0,2,2,0.795,0.795,28,32,29,33,3,2,6.0,1.0,6.0,1.0,3.21,1.38,-1.38,26.8,16.26931668166032,10.92100215803936,38.28070164377215,44.23933473853496,34.05106912374642
SI,2025-07-28,94.2,2.16,5.99,"Slater, Austin",596103,650911,field_out,hit_into_play,,,,,5.0,Austin Slater flies out sharply to center fielder Brandon Marsh.,R,R,L,CWS,PHI,X,8,fly_ball,1,0,2025,1.36,0.42,-0.01,2.45,,,,1,1,Bot,154.67,43.78,,,,,-8.774046652512906,-136.8811908409483,-4.468473424576506,19.092946183351295,29.946030305580983,-26.12318254872418,3.71,1.78,390.0,107.7,33.0,95.5,2036.0,7.1,776972,592663,547180,681082,805249,607208,596146,669016,592206,53.4,0.906,1.827,0.0,1.0,0,0,6.0,5,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,118.0,-0.016,-0.293,75.4,7.5,3.591,0.293,107.7,0,0,0.526,0.526,28,32,29,33,1,0,6.0,1.0,6.0,1.0,2.16,1.36,-1.36,29.6,17.873740768093647,-0.9497086036979132,41.9745729713005,33.61709811827947,34.17853577627267
FF,2025-07-25,89.6,2.42,5.43,"Slater, Austin",596103,684007,field_out,hit_into_play,,,,,2.0,Austin Slater flies out to right fielder Kyle Tucker.,R,R,L,CWS,CHC,X,9,fly_ball,0,0,2025,0.94,1.28,-0.15,3.36,,,805367.0,0,2,Bot,204.23,99.36,,,,,-8.288501791480503,-130.29458940779998,-1.7730052785049724,12.49859194329518,28.246699652033016,-17.45825213538409,3.7,1.78,340.0,97.9,39.0,89.1,2452.0,6.1,777017,624512,683737,663538,660644,621020,664023,691718,663656,54.41,0.117,0.205,0.0,1.0,0,0,3.0,17,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,136.0,-0.011,-0.242,64.0,6.3,0.406,0.242,97.9,4,4,0.898,0.898,31,32,32,33,2,1,6.0,5.0,5.0,2.0,1.57,0.94,-0.94,32.9,16.159148235174573,7.904692792285288,34.18236643190859,32.644832440553415,24.49621344358304
FF,2025-07-25,89.8,2.36,5.55,"Slater, Austin",596103,684007,single,hit_into_play,,,,,2.0,Austin Slater singles on a sharp line drive to left fielder Ian Happ.,R,R,L,CWS,CHC,X,7,line_drive,0,2,2025,0.95,1.36,-0.03,3.21,,,,0,1,Bot,79.93,94.75,,,,,-7.897266394023945,-130.5412166088647,-2.64592316393004,12.5456638516448,28.28155429179504,-16.277194872221486,3.7,1.78,203.0,108.0,12.0,89.2,2456.0,6.0,777017,624512,683737,663538,660644,621020,664023,691718,663656,54.45,0.923,0.948,0.9,1.0,1,0,5.0,5,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,140.0,0.03,0.532,76.6,6.7,1.302,-0.532,108.0,1,1,0.649,0.649,31,32,32,33,1,0,6.0,5.0,5.0,2.0,1.48,0.95,-0.95,35.0,19.1459304799308,12.03377586074302,31.58437138195433,32.060962954768364,32.60618980229833
SI,2025-07-20,87.2,3.21,3.77,"Slater, Austin",596103,571760,field_out,hit_into_play,,,,,8.0,Austin Slater lines out sharply to center fielder Oneil Cruz.,R,R,L,PIT,CWS,X,8,line_drive,0,1,2025,1.53,-0.03,-0.12,2.24,,695657.0,572191.0,2,4,Top,115.38,56.33,,,,,-11.123700487318231,-126.4810164470854,2.595158994449501,18.609519216245257,25.011394618226998,-33.32467991060747,3.71,1.79,354.0,102.7,20.0,87.3,2335.0,6.4,777074,663698,687462,693304,663647,643396,669261,665833,668804,54.05,0.563,0.749,0.0,1.0,0,0,5.0,30,2,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,98.0,0.017,-0.235,72.2,7.1,1.224,0.235,102.7,-4,4,0.116,0.884,34,32,34,33,3,2,8.0,1.0,6.0,5.0,3.04,1.53,-1.53,-1.8,7.323505864210115,-1.8393692645806063,39.39396944872795,29.282047891523412,31.57405338706622
FF,2025-07-19,94.1,2.25,5.93,"Slater, Austin",596103,657571,single,hit_into_play,,,,,5.0,Austin Slater singles on a line drive to center fielder Oneil Cruz. Kyle Teel scores. Luis Robert Jr. to 3rd.,R,R,L,PIT,CWS,X,8,line_drive,2,1,2025,0.28,1.45,-0.01,2.92,,691019.0,673357.0,1,6,Top,160.41,80.53,,,,,-6.509110345752191,-136.93728885863877,-5.335819378961686,4.939248294742334,29.66250883104856,-12.902367439484816,3.7,1.79,252.0,88.9,16.0,94.2,2343.0,6.3,777090,680779,687462,693304,663647,643396,502054,665833,668804,54.19,0.98,0.918,0.9,1.0,1,0,4.0,50,4,4-Seam Fastball,4,3,3,4,4,4,4,4,Standard,Standard,150.0,-0.202,0.445,71.3,6.3,1.115,-0.445,88.9,1,-1,0.603,0.397,28,32,29,33,1,0,6.0,1.0,3.0,1.0,1.12,0.28,-0.28,43.9,-1.0027405676184316,24.06478188166721,36.44851891209726,32.51765902730188,25.02455885586101
SI,2025-07-18,91.4,1.41,5.89,"Slater, Austin",596103,663559,single,hit_into_play,,,,,1.0,Austin Slater singles on a line drive to left fielder Tommy Pham.,R,R,L,PIT,CWS,X,7,line_drive,3,1,2025,0.48,1.47,-0.52,3.73,,,,0,3,Top,88.28,112.08,,,,,-6.018681141478028,-132.96822616500208,-2.753666455030548,7.027939022274099,29.552329499731275,-14.348986270702484,3.7,1.79,238.0,92.1,18.0,93.1,2109.0,7.4,777107,663698,687462,693304,663647,643396,502054,665833,668804,53.13,0.62,0.567,0.9,1.0,1,0,4.0,19,5,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,169.0,-0.02,0.259,60.5,6.5,0.758,-0.259,92.1,-3,3,0.195,0.805,28,32,28,33,2,1,9.0,5.0,5.0,1.0,1.27,0.48,-0.48,55.0,23.380599644343487,-3.6856480826211,26.369331113177505,27.053201341486982,27.458386771403923
