pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,94.3,-2.37,5.89,"Stott, Bryson",681082,686563,field_out,hit_into_play,,,,,2.0,Bryson Stott flies out sharply to center fielder Luis Robert Jr.,R,L,R,CWS,PHI,X,8,fly_ball,0,0,2025,-0.69,1.36,0.06,2.85,,,,2,2,Top,152.48,56.76,,,,,7.845344502898191,-136.98035922248272,-5.152764690978591,-10.57796682600996,33.57244186674936,-14.06834395884522,3.31,1.56,358.0,102.6,39.0,93.8,2364.0,6.4,776952,691019,678246,672820,695657,805367,572191,673357,596103,54.13,0.314,0.628,0.0,1.0,0,0,5.0,15,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,224.0,0.008,-0.26,73.4,7.5,1.223,0.26,102.6,-2,2,0.323,0.677,24,27,25,28,1,0,6.0,1.0,8.0,1.0,1.23,0.69,-0.69,26.0,16.624070960722747,-6.696706143382272,27.54141207149793,32.080974635095785,32.88045722107919
SI,2025-07-29,88.0,4.03,4.62,"Stott, Bryson",681082,656457,field_out,hit_into_play,,,,,5.0,Bryson Stott flies out to left fielder Michael A. Taylor.,R,L,L,CWS,PHI,X,7,fly_ball,2,1,2025,1.27,0.13,-0.23,2.67,,,,0,7,Top,42.78,88.56,,,,,-12.788502869694002,-127.5292711675068,1.1242318808435223,16.45497852290786,25.35397130242513,-31.23533671552847,3.31,1.56,341.0,97.3,32.0,87.0,2062.0,5.8,776952,691019,678246,672820,695657,805367,572191,673357,596103,54.68,0.263,0.473,0.0,1.0,0,0,5.0,50,4,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,115.0,0.001,-0.305,73.0,6.8,0.876,0.305,97.3,-6,6,0.014,0.986,31,27,32,28,1,2,3.0,1.0,7.0,1.0,2.83,1.27,1.27,1.0,2.8241732380766758,12.578734159290194,26.71077051833141,37.29263865020964,27.9070411298359
FF,2025-07-28,94.2,-1.94,6.0,"Stott, Bryson",681082,663436,single,hit_into_play,,,,,12.0,Bryson Stott singles on a fly ball to right fielder Austin Slater. Max Kepler to 2nd.,R,L,R,CWS,PHI,X,9,fly_ball,0,1,2025,-0.44,0.97,0.98,3.05,,,596146.0,1,3,Top,154.64,114.02,,,,,8.550501874535694,-136.90066564684568,-4.107320563986118,-7.39768733454874,30.39327249148268,-19.236599067389832,3.3,1.55,192.0,63.3,25.0,94.3,2462.0,6.4,776972,700337,678246,672820,695657,805367,572191,673357,596103,54.07,0.629,0.566,0.9,1.0,1,0,4.0,15,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,208.0,-0.04,0.446,65.3,6.2,0.661,-0.446,88.0,0,0,0.497,0.503,28,27,28,28,1,0,6.0,1.0,8.0,1.0,1.61,0.44,-0.44,35.6,0.636461415274276,3.18456011264112,28.30241355145008,19.699723110646037,28.605784207966863
CH,2025-07-27,89.4,-1.65,5.55,"Stott, Bryson",681082,596133,field_out,hit_into_play,,,,,8.0,Bryson Stott flies out to right fielder Cody Bellinger.,R,L,R,NYY,PHI,X,9,fly_ball,1,1,2025,-1.09,0.77,0.27,1.55,,,,1,7,Top,203.96,91.96,,,,,7.009861567655616,-129.94380540669644,-5.45281746660895,-13.8293864735713,27.605409430636467,-22.48838815642665,3.3,1.55,325.0,89.2,31.0,89.0,2149.0,6.1,776988,669224,700250,665862,641857,683011,691176,663757,641355,54.38,0.066,0.092,0.0,1.0,0,0,3.0,54,3,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,217.0,0.031,-0.244,71.2,8.2,0.155,0.244,89.2,1,-1,0.743,0.257,31,27,32,28,1,0,2.0,1.0,1.0,1.0,2.09,1.09,-1.09,43.9,15.494807941355688,-19.275606123406856,39.77502362538023,29.69470855731681,41.89411997479864
FS,2025-07-26,81.6,-1.08,5.19,"Stott, Bryson",681082,573186,field_out,hit_into_play,,,,,8.0,Bryson Stott flies out to left fielder Jasson Domínguez.,R,L,R,NYY,PHI,X,7,fly_ball,2,2,2025,-1.26,0.25,-0.09,1.84,,,,1,2,Top,47.15,102.63,,,,,4.5816835259315845,-118.82053119084588,-1.49588163493609,-12.82241410127324,21.293636087884128,-29.711223928132437,3.33,1.59,307.0,89.5,29.0,80.7,2078.0,5.5,777001,700250,502671,665862,641857,683011,691176,663757,641355,55.03,0.06,0.079,0.0,1.0,0,0,3.0,13,5,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,231.0,0.015,-0.228,63.9,6.9,0.129,0.228,89.5,-1,1,0.412,0.588,34,27,34,28,1,0,6.0,1.0,5.0,1.0,3.15,1.26,-1.26,33.8,11.61986133225992,18.55014816338192,32.89508819201634,33.128646046207166,24.44990490675661
CH,2025-07-26,87.8,-1.82,6.17,"Stott, Bryson",681082,660787,single,hit_into_play,,,,,5.0,Bryson Stott singles on a sharp line drive to center fielder Trent Grisham.,R,L,R,NYY,PHI,X,8,line_drive,2,2,2025,-0.94,0.09,-0.16,2.3,,,,0,6,Top,135.01,97.48,,,,,5.978333795225831,-127.66696710817315,-3.390847664023868,-11.518514981912954,27.4007392059778,-30.6811625182033,3.33,1.59,199.0,101.9,11.0,87.8,1335.0,6.4,777001,700250,502671,665862,641857,683011,691176,663757,641355,54.08,0.923,0.878,0.9,1.0,1,0,4.0,48,6,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,250.0,-0.016,0.465,68.8,7.1,1.098,-0.465,101.9,-3,3,0.128,0.872,27,27,28,28,1,2,38.0,1.0,4.0,1.0,2.88,0.94,-0.94,32.0,7.712665542846718,8.499146789577756,32.35345069825816,35.21425952075503,29.02197637570454
CH,2025-07-25,82.4,-4.12,3.57,"Stott, Bryson",681082,664123,double,hit_into_play,,,,,14.0,Bryson Stott doubles (11) on a sharp line drive to right fielder Aaron Judge. Max Kepler scores. Edmundo Sosa scores.,R,L,R,NYY,PHI,X,9,line_drive,1,2,2025,-1.28,-0.77,0.39,1.25,,596146.0,624641.0,2,9,Top,193.78,126.87,,,,,12.61051700878512,-119.20572614130576,2.893948576742185,-14.8637177881484,26.44824977076899,-40.394562876904565,3.35,1.59,192.0,102.4,11.0,81.0,1850.0,6.0,777015,669224,502671,665862,678391,683011,641355,663757,592450,54.46,0.923,0.878,1.25,1.0,1,1,4.0,79,4,Changeup,5,9,9,5,11,5,11,5,Standard,Standard,299.0,-0.011,1.086,69.3,7.9,1.098,-1.086,102.4,-4,4,0.013,0.987,31,27,32,28,1,4,2.0,2.0,,1.0,4.21,1.28,-1.28,-13.9,20.543791499491213,-4.997815696242527,39.29760963368878,29.24294420958636,37.98098028563006
FF,2025-07-25,96.0,-2.4,6.07,"Stott, Bryson",681082,641656,field_out,hit_into_play,,,,,12.0,Bryson Stott flies out to right fielder Aaron Judge.,R,L,R,NYY,PHI,X,9,fly_ball,1,2,2025,-0.68,1.39,1.13,2.52,,,,1,8,Top,195.22,95.86,,,,,10.71535708133754,-139.15608942433343,-6.768924797309099,-11.417924735598726,33.445584909946135,-12.752702593950715,3.35,1.59,306.0,88.8,41.0,94.4,2324.0,5.7,777015,669224,502671,665862,678391,683011,641355,663757,592450,54.78,0.003,0.003,0.0,1.0,0,0,3.0,66,4,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,224.0,0.016,-0.18,,,0.005,0.18,88.8,-1,1,0.269,0.731,30,27,30,28,1,3,3.0,2.0,3.0,1.0,1.12,0.68,-0.68,37.4,,,,,
SI,2025-07-23,99.0,-1.71,5.74,"Stott, Bryson",681082,663855,field_out,hit_into_play,,,,,5.0,Bryson Stott lines out to center fielder Jarren Duran.,R,L,R,PHI,BOS,X,8,line_drive,2,1,2025,-1.44,0.82,-0.09,2.25,,,,1,7,Bot,107.97,75.39,,,,,7.827982046426421,-143.86948437555185,-5.994632044688055,-21.860697222605797,36.20148868244019,-19.52280176632904,3.36,1.59,310.0,88.8,24.0,99.1,1952.0,6.6,777038,665966,663853,678882,647351,596115,701350,680776,677800,53.91,0.131,0.153,0.0,1.0,0,0,3.0,57,4,Sinker,5,6,5,6,6,5,5,6,Standard,Standard,229.0,-0.035,-0.298,74.1,7.2,0.227,0.298,88.8,-1,-1,0.305,0.305,28,27,29,28,1,2,2.0,1.0,4.0,2.0,1.53,1.44,-1.44,42.7,9.92365504259203,5.426085408442317,31.023940083574846,35.479780122918484,28.89401370124944
CU,2025-07-22,83.1,-2.0,6.21,"Stott, Bryson",681082,690916,field_out,hit_into_play,,,,,14.0,Bryson Stott lines out to left fielder Rob Refsnyder.,R,L,R,PHI,BOS,X,7,line_drive,0,2,2025,0.28,-0.85,0.05,1.06,,,,0,2,Bot,85.51,79.4,,,,,4.159026113049054,-120.99761940603884,-3.7043115440172425,2.014222203169559,22.79869150699637,-40.05801991594788,3.37,1.59,313.0,93.4,21.0,83.9,2537.0,6.7,777045,665966,647351,663853,608324,596115,608701,678882,701350,53.81,0.243,0.261,0.0,1.0,0,0,3.0,15,4,Curveball,3,0,3,0,0,3,3,0,Infield shade,Standard,49.0,-0.012,-0.165,68.6,7.6,0.401,0.165,93.4,3,3,0.83,0.83,25,27,26,28,1,0,15.0,1.0,6.0,1.0,4.14,-0.28,0.28,56.5,4.264182349550734,-1.5339115114149582,42.66557835611871,31.98043562563869,27.031331986308068
FF,2025-07-22,93.6,1.67,5.77,"Stott, Bryson",681082,669684,field_out,hit_into_play,,,,,8.0,Bryson Stott flies out to left fielder Rob Refsnyder.,R,L,L,PHI,BOS,X,7,fly_ball,3,2,2025,0.32,1.51,-0.06,1.89,,596146.0,,1,6,Bot,87.18,94.11,,,,,-5.178497442246182,-136.15087153986,-7.623339955342908,5.118210184797457,29.10276030322517,-11.849576337912987,3.37,1.59,279.0,78.8,34.0,93.7,2371.0,6.3,777045,665966,647351,663853,608324,596115,608701,678882,701350,54.18,0.037,0.033,0.0,1.0,0,0,3.0,47,7,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,160.0,-0.012,-0.282,67.3,7.3,0.052,0.282,88.0,3,3,0.925,0.925,27,27,27,28,1,2,3.0,1.0,3.0,1.0,1.08,0.32,0.32,48.2,8.069500992395836,1.1216964113455206,35.58300295675221,35.9247292830836,30.108162598218044
SI,2025-07-22,89.7,2.98,5.31,"Stott, Bryson",681082,657514,field_out,hit_into_play,,,,,6.0,Bryson Stott flies out to left fielder Rob Refsnyder.,R,L,L,PHI,BOS,X,7,fly_ball,1,0,2025,1.25,0.56,0.5,2.55,,,805249.0,1,4,Bot,85.73,115.05,,,,,-8.684513199869071,-130.32249831621846,-1.960699215636069,16.136578620656138,28.83534376914618,-25.591518329462904,3.37,1.59,234.0,87.8,53.0,88.8,2160.0,5.9,777045,665966,647351,663853,608324,596115,608701,678882,701350,54.58,0.011,0.01,0.0,1.0,0,0,3.0,32,2,Sinker,4,1,4,1,1,4,4,1,Standard,Standard,127.0,-0.012,-0.291,72.4,7.2,0.011,0.291,88.0,3,3,0.869,0.869,33,27,33,28,1,1,4.0,1.0,1.0,1.0,2.29,1.25,1.25,17.7,8.59648857688144,3.4770895277988987,31.21751328002033,28.7609643758594,30.66108089230349
SL,2025-07-21,87.5,-1.12,5.62,"Stott, Bryson",681082,621111,field_out,hit_into_play,,,,,8.0,Bryson Stott lines out sharply to center fielder Ceddanne Rafaela.,R,L,R,PHI,BOS,X,8,line_drive,1,1,2025,0.54,0.22,0.14,1.52,,,596146.0,0,3,Bot,104.56,53.03,,,,,1.9545479422730747,-127.5554785864844,-4.367846234468274,5.657233804464928,21.417997768818665,-29.15849340677504,3.37,1.6,365.0,103.3,19.0,89.0,2419.0,6.7,777063,665966,647351,691785,608324,596115,680776,678882,677800,53.81,0.446,0.568,0.0,1.0,0,0,5.0,21,3,Slider,0,1,0,1,1,0,0,1,Standard,Standard,128.0,-0.041,-0.234,72.5,7.7,0.918,0.234,103.3,-1,-1,0.474,0.474,30,27,31,28,1,0,11.0,1.0,6.0,1.0,2.7,-0.54,0.54,43.9,1.507247640840865,-0.963536756768342,41.16426720298151,31.446069718163827,28.56478230321626
CU,2025-07-13,80.5,-1.04,6.67,"Stott, Bryson",681082,601713,field_out,hit_into_play,,,,,13.0,Bryson Stott lines out to center fielder Jackson Merrill.,R,L,R,SD,PHI,X,8,line_drive,1,2,2025,0.25,-1.46,-0.18,1.2,,,,2,6,Top,101.79,66.33,,,,,1.4383194351402495,-117.15178096593756,-2.5891444947346427,1.9755515122511609,25.669783094260477,-45.15059689260784,3.36,1.59,334.0,97.2,21.0,80.7,2828.0,6.8,777117,553869,650333,578428,592518,593428,669369,701538,665487,53.7,0.251,0.302,0.0,1.0,0,0,4.0,44,6,Curveball,0,1,1,0,1,0,1,0,Infield shade,Standard,24.0,0.012,-0.182,71.3,7.7,0.478,0.182,97.2,-1,1,0.375,0.625,32,27,32,28,3,2,5.0,1.0,7.0,5.0,5.02,-0.25,0.25,56.2,6.254287237967123,3.0607444632745078,39.17567958749216,34.9265475835724,29.62818655479649
