pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,89.2,-0.75,5.37,"Stowers, Kyle",669065,543243,double,hit_into_play,,,,,8.0,Kyle Stowers doubles (18) on a line drive to center fielder Victor Scott II.,R,L,R,STL,MIA,X,8,line_drive,2,0,2025,-0.22,0.72,-0.01,1.93,,,,2,5,Top,148.78,47.8,,,,,2.3007483724720896,-129.99882643225922,-4.047780766718217,-2.90781952494396,24.52266483167886,-23.395130964699213,3.61,1.73,309.0,110.7,15.0,90.4,2493.0,6.7,776946,686780,575929,695336,571448,691026,676475,687363,691023,53.79,0.671,0.763,1.25,1.0,1,1,6.0,37,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,204.0,-0.019,0.477,77.6,6.7,1.172,-0.477,110.7,-2,2,0.269,0.731,35,27,36,27,3,2,5.0,2.0,6.0,1.0,2.11,0.22,-0.22,43.9,10.252364508385838,8.81107153620791,37.96239135228811,36.30096570644422,29.546264839143877
FC,2025-07-29,93.0,-1.42,5.8,"Stowers, Kyle",669065,694335,single,hit_into_play,,,,,3.0,Kyle Stowers singles on a line drive to left fielder Alec Burleson.,R,L,R,STL,MIA,X,7,line_drive,0,0,2025,0.18,0.67,0.41,3.04,,,,1,7,Top,67.72,109.39,,,,,4.348309434896978,-135.43427986394292,-2.851973720221173,1.2991612342061445,27.26379084043956,-23.46101768438496,3.61,1.73,209.0,72.8,22.0,94.0,2357.0,6.6,776946,686780,575929,695336,571448,691026,676475,687363,691023,53.87,0.989,0.894,0.9,1.0,1,0,4.0,57,1,Cutter,0,5,5,0,5,0,5,0,Infield shade,Standard,199.0,-0.002,0.415,67.9,5.4,1.039,-0.415,88.0,-5,5,0.03,0.97,26,27,26,27,1,3,1.0,2.0,3.0,1.0,1.94,-0.18,0.18,31.8,0.2090117456923894,23.864673537192974,36.806465919355546,31.4300889782413,18.024087531123907
CU,2025-07-27,79.5,-1.43,5.97,"Stowers, Kyle",669065,605540,single,hit_into_play,,,,,7.0,Kyle Stowers singles on a line drive to left fielder Christian Yelich. Xavier Edwards scores. Agustín Ramírez to 2nd.,R,L,R,MIL,MIA,X,7,line_drive,0,0,2025,0.27,-0.96,-0.4,1.69,669364.0,,682663.0,1,1,Top,81.0,104.0,,,,,1.7803349546660887,-115.76157087566448,-0.8201407008620697,2.077927052815196,21.647540332190538,-40.88624276776789,3.6,1.7,163.0,73.3,18.0,79.7,2692.0,6.4,776978,606992,683734,668930,702332,687401,592885,694192,686555,54.09,0.894,0.817,0.9,1.0,1,0,4.0,4,1,Curveball,0,0,0,0,1,0,1,0,Infield shade,Standard,43.0,-0.07,0.479,78.3,7.3,0.96,-0.479,88.0,0,0,0.436,0.564,32,27,32,27,1,0,6.0,1.0,6.0,2.0,4.56,-0.27,0.27,43.3,19.23690978030723,-16.275777852846698,35.632649089883124,42.18702237011387,45.62181427395007
SI,2025-07-26,91.2,2.1,5.69,"Stowers, Kyle",669065,500779,single,hit_into_play,,,,,6.0,Kyle Stowers singles on a line drive to right fielder Sal Frelick. Eric Wagaman to 3rd.,R,L,L,MIL,MIA,X,9,line_drive,0,0,2025,1.18,0.89,0.59,2.6,,,676572.0,2,4,Top,181.56,110.49,,,,,-6.398312831787182,-132.63708387217136,-3.774016801080912,15.313937895729842,30.972742708402123,-21.019621508690665,3.6,1.69,181.0,89.5,12.0,91.6,2096.0,6.8,776996,661388,683734,668930,702332,687401,686555,694192,686217,53.72,0.774,0.773,0.9,1.0,1,0,4.0,28,1,Sinker,1,2,2,1,2,1,2,1,Strategic,Strategic,152.0,-0.026,0.345,75.1,6.5,0.937,-0.345,89.5,-1,1,0.397,0.603,36,27,36,27,2,1,6.0,1.0,6.0,1.0,1.87,1.18,1.18,42.2,13.887927807784902,-2.353541324219668,39.02764677454492,31.404200744591108,26.633036687766307
SI,2025-07-26,93.8,-2.25,4.51,"Stowers, Kyle",669065,681982,double,hit_into_play,,,,,6.0,Kyle Stowers doubles (17) on a sharp line drive to right fielder Sal Frelick.,R,L,R,MIL,MIA,X,9,line_drive,1,2,2025,-1.41,0.0,0.33,2.64,,,,0,6,Top,223.0,104.0,,,,,9.790209921875388,-136.21113709993057,0.9453506099997896,-19.694875974495144,29.63706917981995,-32.679617787124975,3.6,1.69,164.0,105.6,8.0,93.9,2273.0,6.5,776996,661388,683734,668930,702332,687401,686555,694192,686217,54.05,0.697,0.665,1.25,1.0,1,1,4.0,47,4,Sinker,3,5,5,3,5,3,5,3,Strategic,Standard,249.0,-0.046,0.787,76.5,6.7,0.826,-0.787,105.6,-2,2,0.211,0.789,28,27,28,27,1,2,1.0,1.0,2.0,1.0,2.6,1.41,-1.41,8.8,19.71585333858164,-13.553345815699672,30.229957432759488,32.92393671782014,36.32601701619829
SL,2025-07-22,85.2,-1.95,5.26,"Stowers, Kyle",669065,663568,double,hit_into_play,,,,,8.0,Kyle Stowers doubles (15) on a sharp line drive to right fielder Fernando Tatis Jr. Agustín Ramírez scores. Kyle Stowers to 3rd.,R,L,R,MIA,SD,X,9,line_drive,1,2,2025,0.25,0.08,0.17,1.7,,,682663.0,2,1,Bot,160.79,46.31,,,,,4.499793918442038,-124.03161690548778,-2.213711780532706,1.6491689677674446,25.088671865278208,-31.154712185172144,3.56,1.69,324.0,100.3,19.0,85.4,2501.0,6.4,777052,455117,630105,578428,592518,593428,657757,701538,665487,54.09,0.374,0.449,1.25,1.0,1,1,5.0,8,4,Slider,1,0,1,0,0,2,2,0,Infield shade,Standard,44.0,0.105,1.005,74.7,6.6,0.705,-1.005,100.3,1,1,0.628,0.628,28,27,28,27,1,0,17.0,1.0,5.0,1.0,3.06,-0.25,0.25,32.3,5.945042879231427,6.074858731569623,39.63040396934214,35.9581534521077,28.52534577094477
CU,2025-07-21,81.2,-2.0,6.03,"Stowers, Kyle",669065,681190,field_out,hit_into_play,,,,,5.0,Kyle Stowers flies out sharply to right fielder Fernando Tatis Jr.,R,L,R,MIA,SD,X,9,fly_ball,3,2,2025,0.94,-0.41,0.24,2.32,,,,0,2,Bot,166.07,50.71,,,,,3.189657626961229,-118.2224692648076,-0.8110079869198707,8.072536326070923,25.66692109098957,-36.05193281846779,3.55,1.7,379.0,102.5,35.0,80.2,3074.0,5.9,777062,455117,650333,578428,592518,593428,657757,701538,665487,54.62,0.531,1.047,0.0,1.0,0,0,6.0,16,6,Curveball,0,2,0,2,2,0,0,2,Infield shade,Standard,74.0,-0.024,-0.345,77.8,6.7,2.029,0.345,102.5,-2,-2,0.331,0.331,26,27,27,27,1,0,11.0,1.0,5.0,1.0,3.9,-0.94,0.94,38.2,18.218024257588432,1.5688735326177872,36.865741247406426,34.67712495544651,34.41800723964803
CH,2025-07-19,80.7,-1.47,6.58,"Stowers, Kyle",669065,608379,field_out,hit_into_play,,,,,13.0,Kyle Stowers lines out to center fielder Tyler Tolbert.,R,L,R,MIA,KC,X,8,line_drive,2,2,2025,-1.34,0.87,-0.28,1.5,,,,0,5,Bot,114.88,84.79,,,,,5.203807183719549,-117.23840903664892,-6.173481495583056,-13.395399869485624,25.23805914421116,-23.14342137618345,3.54,1.7,287.0,94.7,17.0,80.2,1551.0,6.3,777093,521692,686469,663697,672580,677951,679845,686475,670231,54.16,0.56,0.537,0.0,1.0,0,0,4.0,30,5,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,243.0,-0.021,-0.232,73.0,7.0,0.721,0.232,94.7,1,1,0.713,0.713,33,27,34,27,2,1,8.0,1.0,7.0,1.0,2.68,1.34,-1.34,52.6,5.6499722352636255,7.228491555838861,39.18582039898084,42.10049288644639,27.62612043275257
ST,2025-07-19,83.0,-2.8,4.48,"Stowers, Kyle",669065,670167,double,hit_into_play,,,,,13.0,Kyle Stowers doubles (14) on a line drive to left fielder Nick Loftin.,R,L,R,MIA,KC,X,7,line_drive,1,2,2025,1.35,-0.22,-0.29,1.44,,,,2,7,Bot,32.75,104.95,,,,,3.1046425419148456,-120.7423653879442,0.1010442591157987,12.310747888114296,28.12864929747108,-34.59239440502865,3.54,1.7,290.0,97.2,19.0,82.5,2640.0,6.4,777093,521692,686469,663697,672580,677951,679845,686475,670231,54.07,0.346,0.388,1.25,1.0,1,1,4.0,45,4,Sweeper,1,0,1,0,0,1,1,0,Strategic,Standard,61.0,0.022,0.657,70.7,6.7,0.594,-0.657,97.2,1,1,0.762,0.762,31,27,31,27,1,2,6.0,1.0,2.0,1.0,3.59,-1.35,1.35,10.4,-1.0419885964954718,9.937636709983911,38.92053310463084,42.5649908999249,23.474919601198515
FF,2025-07-18,92.8,-1.47,5.47,"Stowers, Kyle",669065,607625,single,hit_into_play,,,,,3.0,Kyle Stowers singles on a fly ball to left fielder John Rave. Otto Lopez scores.,R,L,R,MIA,KC,X,7,fly_ball,1,0,2025,-0.54,1.36,0.32,3.13,,672640.0,,2,3,Bot,105.2,104.52,,,,,5.723400026134765,-134.93122109181286,-3.0953050836925504,-7.967566973010903,32.654629941867746,-15.117188154980466,3.53,1.7,237.0,73.7,44.0,91.7,2387.0,5.9,777109,521692,686469,663697,672580,677951,670231,664728,695506,54.58,0.209,0.212,0.9,1.0,1,0,3.0,26,2,4-Seam Fastball,4,0,4,0,0,5,5,0,Standard,Standard,216.0,0.036,0.654,72.7,6.3,0.265,-0.654,88.0,4,4,0.898,0.898,35,27,36,27,2,1,10.0,5.0,5.0,1.0,1.31,0.54,-0.54,29.9,10.120840361276594,3.719725939101934,34.16917290519162,33.048772242910694,26.24642412858768
