pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-07-30,85.4,-2.18,6.28,"Straw, Myles",664702,665152,field_out,hit_into_play,,,,,9.0,Myles Straw flies out to right fielder Dylan Carlson.,R,R,R,BAL,TOR,X,9,fly_ball,0,1,2025,0.27,0.09,0.42,1.59,,,695238.0,2,4,Top,167.37,114.24,,,,,5.541907080328738,-124.3651610948354,-4.960850549868871,1.8134497526474675,23.258943175062143,-30.47243436983957,3.47,1.63,236.0,70.4,33.0,85.3,2443.0,6.0,776948,656577,656811,702616,676059,683002,681297,656775,666185,54.45,0.763,0.687,0.0,1.0,0,0,4.0,30,2,Cutter,3,2,2,3,2,3,2,3,Standard,Standard,156.0,0.029,-0.229,62.5,7.5,0.801,0.229,88.0,1,-1,0.661,0.339,29,30,29,31,2,1,5.0,1.0,6.0,3.0,3.01,-0.27,-0.27,45.3,10.765448795994612,-4.214064131754919,37.59725316679607,40.656090656655856,33.18246453413976
SI,2025-07-30,96.9,2.13,6.27,"Straw, Myles",664702,664991,double,hit_into_play,,,,,3.0,Myles Straw doubles (11) on a fly ball to right fielder Dylan Carlson. Davis Schneider scores.,R,R,L,BAL,TOR,X,9,fly_ball,3,1,2025,1.0,1.06,0.28,3.09,,,676914.0,2,6,Top,202.17,84.03,,,,,-7.263017935662234,-140.94203217105425,-5.412342724252252,14.978779625070338,29.058421841134447,-17.044252969789607,3.47,1.63,341.0,96.1,29.0,97.4,2260.0,6.4,776948,656577,656811,702616,676059,683002,681297,656775,666185,54.11,0.246,0.404,1.25,1.0,1,1,5.0,48,5,Sinker,5,3,3,5,4,5,4,5,Standard,Standard,150.0,-0.13,0.799,68.6,6.2,0.731,-0.799,96.1,2,-2,0.822,0.178,28,30,29,31,1,2,2.0,1.0,3.0,3.0,1.36,1.0,-1.0,42.6,5.433261676253866,12.667386908075548,27.205374213013894,37.3145606066788,22.64690341113316
FC,2025-07-30,90.3,-1.56,5.88,"Straw, Myles",664702,669704,single,hit_into_play,,,,,1.0,Myles Straw singles on a line drive to center fielder Cedric Mullins.,R,R,R,BAL,TOR,X,8,line_drive,0,0,2025,0.25,0.33,-0.34,3.0,,,,2,7,Top,154.42,85.43,,,,,2.508652730307828,-131.63562822359026,-2.03498815231933,2.4675022523664327,23.658664375337548,-28.115508355183664,3.47,1.63,238.0,89.7,18.0,91.1,2591.0,6.4,776948,656577,656811,702616,676059,683002,681297,656775,666185,54.14,0.606,0.589,0.9,1.0,1,0,4.0,61,1,Cutter,5,9,9,5,9,5,9,5,Standard,Standard,134.0,-0.002,0.326,59.1,6.1,0.752,-0.326,89.7,-4,4,0.061,0.939,27,30,28,31,1,3,2.0,1.0,4.0,3.0,2.42,-0.25,-0.25,45.9,1.650927159693314,10.729603985760711,32.71234734418601,33.54267651365387,20.26885057787972
CU,2025-07-28,84.8,2.13,6.51,"Straw, Myles",664702,664991,single,hit_into_play,,,,,13.0,Myles Straw singles on a line drive to left fielder Colton Cowser.,R,R,L,BAL,TOR,X,7,line_drive,1,2,2025,-0.05,-0.6,-0.36,1.33,,,,1,8,Top,62.58,93.85,,,,,-5.709071703381469,-123.44150488277876,-4.563157669711205,0.6710317675156449,24.73756670900988,-37.56843044602351,3.47,1.63,270.0,89.6,20.0,84.5,2478.0,6.1,776966,668939,691723,702616,676059,683002,681297,656775,657656,54.4,0.389,0.35,0.9,1.0,1,0,4.0,72,4,Curveball,11,4,4,11,4,11,4,11,Standard,Standard,335.0,-0.001,0.489,64.3,7.6,0.471,-0.489,89.6,7,-7,0.998,0.002,28,30,29,31,1,0,3.0,1.0,2.0,1.0,3.77,-0.05,0.05,48.5,14.616720988710012,-9.565814625214893,48.84785814766886,29.877399280970096,35.49490301926028
FF,2025-07-26,98.6,1.72,5.95,"Straw, Myles",664702,669373,single,hit_into_play,,,,,5.0,Myles Straw singles on a line drive to right fielder Wenceel Pérez.,R,R,L,DET,TOR,X,9,line_drive,0,2,2025,0.68,1.12,0.2,2.36,,,,1,5,Top,172.99,104.67,,,,,-5.7027198823708405,-143.44608029587056,-6.970368900543505,10.589959033759133,29.35620156983466,-15.37253360631012,3.49,1.64,264.0,95.1,15.0,99.3,2211.0,6.4,777003,668670,679529,650402,656716,595879,682985,663837,672761,54.06,0.871,0.832,0.9,1.0,1,0,4.0,31,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,155.0,-0.033,0.506,67.1,6.3,1.076,-0.506,95.1,0,0,0.53,0.47,28,30,29,31,2,1,6.0,1.0,7.0,1.0,1.21,0.68,-0.68,50.6,-1.3183057561716849,6.674889685307195,39.45099768864229,35.592924496995614,20.889070824633023
FC,2025-07-23,94.1,1.38,5.94,"Straw, Myles",664702,608331,double,hit_into_play,,,,,13.0,Myles Straw doubles (10) on a line drive to left fielder Jasson Domínguez. Ernie Clement scores.,R,R,L,TOR,NYY,X,7,line_drive,3,2,2025,-0.18,0.72,-1.01,1.5,676391.0,,,1,6,Bot,45.98,115.94,,,,,-5.83508892360808,-136.8955050718216,-7.525308062598019,-1.1252385938571805,26.864350037682417,-21.67025858147964,3.49,1.64,316.0,97.0,22.0,95.1,2288.0,6.6,777027,641555,700250,665862,672724,683011,691176,663757,641355,53.87,0.257,0.334,1.25,1.0,1,1,5.0,49,6,Cutter,4,4,4,4,4,5,5,4,Strategic,Standard,163.0,0.104,0.56,72.3,7.5,0.541,-0.56,97.0,0,0,0.661,0.661,31,30,31,31,3,2,11.0,1.0,6.0,2.0,1.83,-0.18,0.18,49.9,11.384483048124194,-18.86664264338617,49.21271205350925,22.10261538386092,33.94010566004832
CH,2025-07-22,88.0,-1.68,5.41,"Straw, Myles",664702,596133,field_out,hit_into_play,,,,,7.0,Myles Straw lines out to left fielder Cody Bellinger.,R,R,R,TOR,NYY,X,7,line_drive,1,2,2025,-1.0,0.11,-0.52,1.78,666182.0,,,2,7,Bot,98.09,70.03,,,,,4.885802041705833,-128.08865098917587,-2.9403769158613757,-12.049347299430462,26.58139884384972,-30.522880875337684,3.49,1.64,327.0,90.4,24.0,87.7,1812.0,6.1,777046,669224,700250,665862,672724,683011,641355,663757,592450,54.38,0.131,0.153,0.0,1.0,0,0,3.0,61,4,Changeup,4,4,4,4,4,4,4,4,Standard,Standard,222.0,-0.074,-0.196,65.4,6.9,0.231,0.196,90.4,0,0,0.574,0.574,31,30,32,31,1,1,3.0,1.0,3.0,1.0,2.83,1.0,1.0,44.9,2.840857767144735,-6.117177744530678,43.20540710731879,28.271890989480426,31.220816386780044
SI,2025-07-21,93.3,-2.4,6.19,"Straw, Myles",664702,664141,field_out,hit_into_play,,,,,9.0,Myles Straw lines out to right fielder Aaron Judge.,R,R,R,TOR,NYY,X,9,line_drive,2,2,2025,-1.28,0.85,0.35,1.91,,,,2,7,Bot,127.65,190.67,,,,,9.75271511278128,-135.3929403586666,-6.9815936575696025,-17.867270260945947,30.861680870703456,-20.32338177524228,3.48,1.63,271.0,90.9,19.0,91.8,2255.0,5.7,777066,669224,502671,665862,672724,683011,691176,663757,592450,54.84,0.446,0.401,0.0,1.0,0,0,4.0,61,6,Sinker,4,1,4,1,1,4,4,1,Standard,Standard,221.0,-0.002,-0.224,65.3,6.9,0.513,0.224,90.9,3,3,0.937,0.937,31,30,32,31,1,3,3.0,1.0,2.0,1.0,1.79,1.28,1.28,48.0,-3.567220326722928,13.071799770795227,36.880973173783694,39.10995739048312,17.66356012836203
CH,2025-07-13,79.8,2.5,6.26,"Straw, Myles",664702,605488,field_out,hit_into_play,,,,,6.0,Myles Straw flies out to center fielder Denzel Clarke.,R,R,L,ATH,TOR,X,8,fly_ball,2,2,2025,0.69,0.93,0.37,2.35,,,,0,6,Top,139.52,39.87,,,,,-5.949575831588524,-116.13370434676496,-3.649402900715063,7.328305510953467,20.32913218117268,-23.221118291787526,3.49,1.63,394.0,99.7,28.0,79.8,1422.0,6.1,777116,642851,701762,691777,570482,805779,691016,672016,671732,54.37,0.566,0.998,0.0,1.0,0,0,6.0,42,5,Changeup,6,1,1,6,1,6,1,6,Standard,Standard,122.0,0.01,-0.232,67.0,6.7,1.875,0.232,99.7,5,-5,0.958,0.042,32,30,33,31,2,1,5.0,1.0,7.0,7.0,2.63,0.69,-0.69,41.6,9.196893291901784,6.7991868356487455,35.99636101024555,35.90842970279482,29.82600191221485
FF,2025-07-13,90.9,2.4,5.96,"Straw, Myles",664702,605488,field_out,hit_into_play,,,,,9.0,Myles Straw flies out to right fielder Lawrence Butler.,R,R,L,ATH,TOR,X,9,fly_ball,1,1,2025,1.06,1.38,0.47,1.89,,,,1,3,Top,206.86,95.97,,,,,-7.126675717444268,-132.0700306703324,-7.205804686620881,13.908199812381108,29.479438756167745,-14.654941599735997,3.49,1.63,323.0,92.0,31.0,90.8,2244.0,6.4,777116,642851,701762,691777,570482,805779,691016,672016,671732,54.1,0.063,0.08,0.0,1.0,0,0,3.0,19,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,134.0,0.017,-0.244,66.6,7.0,0.147,0.244,92.0,2,-2,0.745,0.255,32,30,33,31,1,0,5.0,1.0,7.0,7.0,1.4,1.06,-1.06,38.7,6.139167431643673,10.772922595187657,41.12289854972054,36.79111755976056,21.987025716616618
