pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-30,93.2,-2.43,6.13,"Suwinski, Jack",669261,663941,field_out,hit_into_play,,,,,8.0,Jack Suwinski flies out to right fielder Mike Yastrzemski in foul territory.,R,L,R,SF,PIT,X,9,fly_ball,0,1,2025,-0.62,1.31,0.1,1.92,,,,0,8,Top,207.76,125.72,,,,,7.882910065891309,-135.36829863386683,-7.969213218867845,-9.228961061100655,27.696348148630012,-14.439424351129055,3.55,1.6,270.0,87.3,50.0,93.6,1967.0,6.5,776933,672275,642086,669477,656305,642715,671218,808982,573262,54.01,0.009,0.009,0.0,1.0,0,0,3.0,58,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,214.0,0.046,-0.22,81.2,8.1,0.011,0.22,88.0,0,0,0.5,0.5,29,26,29,27,1,3,1.0,2.0,3.0,3.0,1.31,0.62,-0.62,43.7,21.240571954629747,-18.47996213101427,44.05178412836789,33.374971536921464,39.05852643069123
SI,2025-07-28,95.3,-1.91,6.01,"Suwinski, Jack",669261,693313,field_out,hit_into_play,,,,,4.0,Jack Suwinski flies out to left fielder Heliot Ramos.,R,L,R,SF,PIT,X,7,fly_ball,0,0,2025,-1.19,0.49,-0.43,2.79,,,,0,8,Top,72.34,74.1,,,,,6.598778408636201,-138.60935651832418,-3.9334399945107488,-16.80162360847608,31.814987156280715,-25.20618730341725,3.54,1.6,336.0,95.9,36.0,95.7,2267.0,6.6,776964,672275,646240,689172,656305,642715,671218,808982,573262,53.91,0.16,0.294,0.0,1.0,0,0,3.0,67,1,Sinker,4,6,6,4,6,4,6,4,Standard,Standard,228.0,0.011,-0.259,74.5,7.0,0.573,0.259,95.9,-2,2,0.13,0.87,26,26,27,27,2,0,6.0,1.0,7.0,2.0,2.03,1.19,-1.19,44.4,16.851392169239244,3.948023444403903,26.474966331204527,41.24242470824122,24.993303395720588
FC,2025-07-27,90.2,-3.26,5.97,"Suwinski, Jack",669261,668678,field_out,hit_into_play,,,,,9.0,Jack Suwinski flies out to right fielder Corbin Carroll.,R,L,R,PIT,AZ,X,9,fly_ball,0,1,2025,0.09,0.8,0.42,2.13,,,,1,4,Bot,157.47,76.96,,,,,8.962793982038292,-131.18468941002843,-5.395666564173874,-0.383823237301104,21.814229038789623,-22.06341439236541,3.54,1.59,313.0,91.2,42.0,91.1,2218.0,6.4,776984,543510,663536,606466,553993,672695,664983,677950,682998,54.12,0.011,0.02,0.0,1.0,0,0,3.0,33,2,Cutter,3,0,3,0,0,3,3,0,Standard,Standard,201.0,-0.007,-0.215,,,0.036,0.215,91.2,3,3,0.858,0.858,29,26,30,27,2,1,6.0,6.0,6.0,1.0,1.96,-0.09,0.09,39.6,,,,,
FF,2025-07-27,93.0,-2.51,6.48,"Suwinski, Jack",669261,595928,single,hit_into_play,,,,,4.0,Jack Suwinski singles on a sharp line drive to center fielder Alek Thomas. Ke'Bryan Hayes to 2nd.,R,L,R,PIT,AZ,X,8,line_drive,2,2,2025,-0.68,1.48,-0.56,2.81,,,663647.0,2,8,Bot,132.45,92.85,,,,,6.491667275783105,-135.24761635993332,-6.920795294429666,-9.756134102748955,27.5006701612346,-12.712361812574976,3.54,1.59,172.0,103.8,8.0,93.3,2424.0,6.3,776984,543510,663536,606466,553993,672695,664983,677950,682998,54.17,0.671,0.636,0.9,1.0,1,0,4.0,64,5,4-Seam Fastball,6,0,6,0,0,6,6,0,Infield shade,Standard,213.0,0.0,0.4,67.6,7.1,0.783,-0.4,103.8,6,6,0.998,0.998,32,26,32,27,1,3,9.0,6.0,2.0,1.0,1.15,0.68,-0.68,42.7,17.352625259715392,11.200913099266074,27.708360453082165,42.48503488578855,19.02716987277073
FF,2025-07-20,93.4,-1.04,6.21,"Suwinski, Jack",669261,650644,field_out,hit_into_play,,,,,4.0,Jack Suwinski flies out to left fielder Michael A. Taylor.,R,L,R,PIT,CWS,X,7,fly_ball,2,1,2025,-0.71,1.24,-0.6,2.61,,,,2,2,Bot,50.5,72.68,,,,,2.625774912376777,-135.91486092778905,-6.1558269168409305,-9.319585280984274,30.96452454741469,-15.687925951479544,3.52,1.59,363.0,99.2,29.0,92.1,2460.0,5.6,777074,700337,678246,672820,695657,805367,572191,673357,596103,54.9,0.466,0.827,0.0,1.0,0,0,6.0,18,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,201.0,-0.009,-0.297,74.5,7.3,1.563,0.297,99.2,-3,-3,0.204,0.204,30,26,30,27,1,0,7.0,2.0,6.0,1.0,1.38,0.71,-0.71,42.1,15.872759533565244,18.0175422971051,29.79556926383848,44.88082247125885,17.40464009396554
CH,2025-07-08,88.6,-2.1,5.89,"Suwinski, Jack",669261,608032,field_out,hit_into_play,,,,,5.0,Jack Suwinski flies out to center fielder Kyle Isbel.,R,L,R,KC,PIT,X,8,fly_ball,0,1,2025,-0.88,0.85,-0.15,2.84,,663647.0,,1,9,Top,133.56,98.18,,,,,6.608666860993995,-128.99830345405493,-3.226137523036866,-11.17259223931882,24.776869122331505,-22.1943513685366,3.48,1.62,254.0,93.3,51.0,89.0,1634.0,6.4,777194,521692,686469,679845,672580,677951,670231,664728,695506,54.14,0.009,0.011,0.0,1.0,0,0,3.0,64,2,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,239.0,0.092,-0.224,79.5,7.6,0.017,0.224,93.3,0,0,0.438,0.562,32,26,33,27,1,3,2.0,19.0,1.0,4.0,2.03,0.88,-0.88,39.0,15.054798175328,3.268585514793761,31.10394929304769,39.78719750849218,29.9116362966242
ST,2025-06-19,84.9,-1.8,5.86,"Suwinski, Jack",669261,681916,field_out,hit_into_play,,,,,5.0,Jack Suwinski flies out to center fielder Parker Meadows.,R,L,R,DET,PIT,X,8,fly_ball,0,1,2025,1.22,0.37,-0.07,2.72,,,,2,8,Top,84.39,76.58,,,,,1.6246061067827289,-123.74019201254772,-1.807444022787141,12.29008090950328,23.650159983237103,-28.235308179979608,3.49,1.62,321.0,87.2,28.0,85.6,2575.0,6.5,777451,693307,679529,650402,656716,595879,682985,678009,672761,53.96,0.071,0.092,0.0,1.0,0,0,3.0,70,2,Sweeper,9,2,2,9,2,9,2,9,Infield shade,Standard,74.0,0.0,-0.217,78.7,7.3,0.143,0.217,88.0,7,-7,0.999,0.001,25,26,25,27,1,0,16.0,61.0,2.0,0.0,2.77,-1.22,1.22,49.2,7.696376609013158,12.721339638721362,33.0104241967645,38.897462274411104,23.051463323217043
SL,2025-09-28,88.1,-0.83,6.66,"Suwinski, Jack",669261,641755,field_out,hit_into_play,,,,,9.0,Jack Suwinski flies out to center fielder Michael Harris II.,R,L,R,ATL,PIT,X,8,fly_ball,2,2,2025,0.1,0.21,0.35,1.87,,,,1,8,Top,134.34,90.11,,,,,2.636172406666184,-128.2531277671523,-5.962414611968786,0.6108955627872853,24.72764603313713,-28.8980923765256,3.55,1.63,273.0,94.0,48.0,87.5,2663.0,5.8,776149,686948,621566,669397,805373,673490,595777,671739,660670,54.74,0.003,0.003,0.0,1.0,0,0,3.0,56,6,Slider,2,1,1,2,1,2,1,2,Infield shade,Standard,119.0,0.039,-0.228,78.3,7.9,0.003,0.228,94.0,1,-1,0.807,0.193,34,26,34,27,1,0,1.0,1.0,,,2.71,-0.1,0.1,41.9,20.37105713960474,-9.621101870359492,40.21644420619255,29.43699029637588,34.683886279147735
SL,2025-09-27,85.3,-1.86,5.87,"Suwinski, Jack",669261,675911,single,hit_into_play,,,,,8.0,Jack Suwinski singles on a sharp line drive to right fielder Ronald Acuña Jr.,R,L,R,ATL,PIT,X,9,line_drive,2,1,2025,0.1,0.48,-0.15,1.76,,,,0,5,Top,189.77,96.78,,,,,3.832196601646369,-124.1668363061516,-4.383008326284225,0.3397306736403065,23.043331035480776,-26.56205421912241,3.53,1.59,207.0,106.3,14.0,86.1,2245.0,6.6,776156,686948,621566,689172,805373,673490,595777,671739,660670,53.88,0.737,0.756,0.9,1.0,1,0,5.0,32,4,Slider,1,1,1,1,1,1,1,1,Infield shade,Standard,197.0,-0.047,0.392,76.9,8.4,1.074,-0.392,106.3,0,0,0.5,0.5,26,26,27,27,2,1,6.0,1.0,,1.0,2.63,-0.1,0.1,39.7,19.82282964238664,-3.994904560744864,36.45506522604647,36.52877302200319,29.98955195166496
SL,2025-09-27,87.3,-0.76,6.59,"Suwinski, Jack",669261,641755,field_out,hit_into_play,,,,,5.0,Jack Suwinski flies out to center fielder Michael Harris II.,R,L,R,ATL,PIT,X,8,fly_ball,3,2,2025,0.23,0.16,0.09,2.32,,,,1,8,Top,153.82,70.25,,,,,1.572481818183194,-127.19327683289856,-4.4882325363871685,2.186923080445469,23.388972810335478,-29.73561822845157,3.53,1.59,327.0,89.4,37.0,86.6,2466.0,5.6,776156,686948,642201,689172,805373,673490,595777,671739,660670,54.95,0.026,0.038,0.0,1.0,0,0,3.0,59,6,Slider,1,3,3,1,3,1,3,1,Infield shade,Standard,155.0,0.009,-0.333,76.0,7.5,0.068,0.333,89.4,-2,2,0.141,0.859,34,26,34,27,1,3,3.0,1.0,1.0,1.0,2.79,-0.23,0.23,44.2,13.105642500618467,1.2852416221391796,37.555662035787854,33.02168632368373,29.764321859350925
