pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-07-30,75.2,-1.86,6.49,"Tauchman, Mike",643565,592836,single,hit_into_play,,,,,13.0,Mike Tauchman singles on a line drive to center fielder Johan Rojas.,R,L,R,CWS,PHI,X,8,line_drive,1,1,2025,0.02,-0.78,-0.59,1.48,,,,1,5,Bot,135.37,91.95,,,,,2.564978824822977,-109.464880787736,-1.8717882987400696,-0.2880629419777277,19.49407078526258,-38.29367416489123,3.58,1.63,146.0,82.4,12.0,74.6,2337.0,5.9,776939,665561,547180,681082,805249,607208,669016,679032,592206,54.63,0.514,0.489,0.9,1.0,1,0,4.0,38,3,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,50.0,0.033,0.425,69.3,7.8,0.58,-0.425,88.0,0,0,0.536,0.536,32,34,33,35,3,2,5.0,1.0,6.0,2.0,4.81,-0.02,0.02,45.7,14.162042551456002,-0.0340553141362846,38.44680460948128,45.74752096690129,37.1875152985679
CU,2025-07-30,75.0,-1.77,6.52,"Tauchman, Mike",643565,592836,field_out,hit_into_play,,,,,7.0,Mike Tauchman flies out to left fielder Brandon Marsh.,R,L,R,CWS,PHI,X,7,fly_ball,2,2,2025,0.38,-0.95,-0.6,1.71,,,,0,3,Bot,44.32,103.62,,,,,1.728461567734802,-109.24729512633375,-1.1399904906193747,2.794080776449511,18.489785488975382,-39.84019004781722,3.58,1.63,310.0,91.7,29.0,74.8,2557.0,6.0,776939,665561,547180,681082,805249,607208,669016,679032,592206,54.54,0.111,0.154,0.0,1.0,0,0,3.0,20,5,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,49.0,-0.02,-0.232,72.4,7.4,0.257,0.232,91.7,1,1,0.673,0.673,32,34,33,35,2,1,5.0,1.0,6.0,2.0,4.98,-0.38,0.38,40.7,9.770158982050146,14.991716636330132,41.28379169248603,46.71450702497229,30.48961219573916
SI,2025-07-30,91.2,-1.69,6.57,"Tauchman, Mike",643565,592836,single,hit_into_play,,,,,2.0,Mike Tauchman singles on a line drive to left fielder Brandon Marsh.,R,L,R,CWS,PHI,X,7,line_drive,3,2,2025,-1.14,1.16,-0.23,3.03,,,,0,1,Bot,73.56,126.1,,,,,6.089783066202256,-132.64944133281938,-5.475062977657799,-14.824912402257103,29.023156388614414,-17.463582272033037,3.58,1.63,226.0,93.9,12.0,90.5,1930.0,6.0,776939,665561,547180,681082,805249,607208,669016,679032,592206,54.54,0.894,0.874,0.9,1.0,1,0,4.0,4,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216.0,0.036,0.353,65.2,5.7,1.084,-0.353,93.9,0,0,0.547,0.547,32,34,33,35,1,0,5.0,1.0,6.0,2.0,1.59,1.14,-1.14,42.0,0.7935950008467759,27.16730194285136,31.84114684306316,40.04427882729056,20.1772333885264
FS,2025-07-30,84.2,-0.91,5.85,"Tauchman, Mike",643565,676661,single,hit_into_play,,,,,8.0,"Mike Tauchman singles on a line drive to center fielder Johan Rojas. Josh Rojas out at home on the throw, center fielder Johan Rojas to catcher Rafael Marchán. Mike Tauchman to 2nd.",R,L,R,CWS,PHI,X,8,line_drive,1,1,2025,-0.62,0.08,0.0,2.15,,668942.0,,0,7,Bot,138.58,108.21,,,,,3.430353187854517,-122.70910761901403,-2.51342007448775,-6.936580802033044,20.555325353538397,-31.10029408555243,3.58,1.63,232.0,98.8,12.0,86.7,914.0,7.4,776939,665561,547180,681082,805249,607208,669016,679032,592206,53.07,0.937,0.883,0.9,1.0,1,0,4.0,53,3,Split-Finger,2,2,2,2,2,2,2,2,Standard,Standard,222.0,-0.072,0.541,69.3,7.5,1.091,-0.541,98.8,0,0,0.696,0.696,26,34,26,35,1,3,2.0,1.0,3.0,2.0,3.08,0.62,-0.62,51.4,7.715027542924511,1.1095694824123024,33.6796521981477,39.93170503898439,33.59690988745496
FC,2025-07-29,93.1,-2.38,5.93,"Tauchman, Mike",643565,642016,field_out,hit_into_play,,,,,8.0,Mike Tauchman lines out sharply to center fielder Brandon Marsh.,R,L,R,CWS,PHI,X,8,line_drive,0,1,2025,-0.38,0.52,0.24,1.57,,,,2,9,Bot,127.92,63.51,,,,,7.460577979380834,-135.323601297525,-6.475773266739167,-6.291321641677545,30.37133825835762,-24.55706955310792,3.58,1.63,337.0,106.5,17.0,92.1,2643.0,5.8,776952,592663,547180,681082,805249,607208,596146,669016,592206,54.69,0.554,0.685,0.0,1.0,0,0,5.0,73,2,Cutter,3,6,3,6,6,3,3,6,Standard,Standard,202.0,-0.005,-0.217,70.7,7.5,1.101,0.217,106.5,-3,-3,0.005,0.005,30,34,31,35,1,0,3.0,1.0,29.0,1.0,2.12,0.38,-0.38,31.4,5.669540517903357,0.2116453842263504,44.68682361176657,35.141142672762165,26.408982595653946
FF,2025-07-27,94.5,-1.71,5.6,"Tauchman, Mike",643565,518489,single,hit_into_play,,,,,5.0,Mike Tauchman singles on a fly ball to left fielder Ian Happ.,R,L,R,CWS,CHC,X,7,fly_ball,2,2,2025,-0.57,1.45,0.06,2.29,,,,2,8,Bot,67.79,133.59,,,,,5.927810079099178,-137.5889635929505,-6.298068859134674,-8.491814407495209,27.27403478213588,-12.476749118622894,3.57,1.66,201.0,67.7,36.0,95.7,2272.0,6.7,776989,608348,683737,663538,807713,621020,664023,691718,663656,53.79,0.783,0.712,0.9,1.0,1,0,4.0,64,5,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shade,Standard,218.0,0.006,0.362,67.3,6.8,0.828,-0.362,88.0,-4,-4,0.017,0.017,37,34,38,35,1,3,2.0,1.0,2.0,1.0,1.07,0.57,-0.57,34.0,0.3865540767298541,16.54844420381407,40.09225091932906,36.37530218591087,21.283687924768543
FF,2025-07-25,88.9,1.2,5.45,"Tauchman, Mike",643565,684007,field_out,hit_into_play,,,,,4.0,Mike Tauchman flies out to left fielder Ian Happ.,R,L,L,CWS,CHC,X,7,fly_ball,2,2,2025,0.94,1.33,-0.7,2.41,,,,0,3,Bot,59.91,68.23,,,,,-6.652504411349779,-129.29825240565387,-4.210592037213458,11.977104472998102,26.600355820825023,-16.551156770883498,3.59,1.65,362.0,97.9,32.0,89.1,2388.0,6.4,777017,624512,683737,663538,660644,621020,664023,691718,663656,54.09,0.369,0.701,0.0,1.0,0,0,5.0,26,9,4-Seam Fastball,5,0,5,0,0,5,5,0,Infield shade,Standard,140.0,-0.005,-0.232,70.9,7.6,1.351,0.232,97.9,5,5,0.939,0.939,31,34,32,35,2,1,6.0,2.0,5.0,1.0,1.55,0.94,0.94,34.0,-4.265007725470467,-4.847347263259794,37.87340759797802,46.26204824376895,27.95685507339808
FF,2025-07-25,90.7,2.45,5.41,"Tauchman, Mike",643565,684007,field_out,hit_into_play,,,,,6.0,Mike Tauchman lines out to right fielder Kyle Tucker.,R,L,L,CWS,CHC,X,9,line_drive,1,2,2025,1.19,1.32,0.65,2.92,,678246.0,672820.0,1,1,Bot,195.38,107.61,,,,,-7.02097917999728,-131.7864963691272,-3.044699210178128,15.377163890021984,31.5168128489506,-16.424322517035293,3.59,1.65,284.0,83.9,27.0,90.0,2470.0,6.2,777017,624512,683737,663538,660644,621020,664023,691718,663656,54.28,0.12,0.142,0.0,1.0,0,0,3.0,10,7,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,138.0,-0.022,-0.171,71.7,7.0,0.213,0.171,88.0,3,3,0.833,0.833,31,34,32,35,1,0,6.0,2.0,5.0,1.0,1.49,1.19,1.19,36.0,17.032766068061363,-8.282811596106285,29.599633884214587,30.147568533522843,34.19287417762882
FC,2025-07-23,88.6,-1.32,6.16,"Tauchman, Mike",643565,671737,field_out,hit_into_play,,,,,1.0,Mike Tauchman flies out to left fielder Jake Mangum.,R,L,R,TB,CWS,X,7,fly_ball,1,2,2025,0.27,0.59,-0.31,3.19,,668942.0,681460.0,0,2,Top,68.89,78.38,,,,,1.9010356324997957,-129.14976414390247,-2.490230389780367,2.7395521997896126,24.15001410255844,-25.24285594764336,3.57,1.69,330.0,92.3,31.0,89.0,2151.0,6.2,777030,643376,666018,676609,691406,670764,663968,802415,666139,54.26,0.063,0.08,0.0,1.0,0,0,3.0,18,4,Cutter,4,4,4,4,4,4,4,4,Standard,Standard,177.0,0.053,-0.173,75.2,7.0,0.147,0.173,92.3,0,0,0.407,0.593,24,34,24,35,2,1,5.0,1.0,32.0,2.0,2.28,-0.27,0.27,51.7,6.423925736771009,6.228774310837842,25.309998172166534,42.17297520025532,27.64757672777222
SI,2025-07-23,90.8,-1.53,3.6,"Tauchman, Mike",643565,687330,single,hit_into_play,,,,,7.0,Mike Tauchman singles on a line drive to left fielder Jake Mangum. Colson Montgomery scores. Brooks Baldwin to 2nd.,R,L,R,TB,CWS,X,7,line_drive,1,0,2025,-1.5,-0.12,-0.33,1.64,695657.0,,681460.0,1,8,Top,86.06,128.97,,,,,6.372594415634642,-132.18511066133874,1.2534044403797344,-18.956027068436043,26.08591848003945,-34.02967332480552,3.57,1.69,204.0,93.2,12.0,93.2,2201.0,7.5,777030,643376,666018,676609,691406,670764,663968,802415,666139,53.01,0.846,0.822,0.9,1.0,1,0,4.0,71,2,Sinker,7,9,9,7,10,7,10,7,Standard,Standard,251.0,-0.037,0.449,71.0,7.2,0.997,-0.449,93.2,-2,2,0.093,0.907,27,34,28,35,1,4,2.0,1.0,3.0,2.0,2.86,1.5,-1.5,3.4,16.03358111271989,15.77868373602852,35.07822112238076,43.0655472538291,22.529669777352527
