pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-06-07,94.8,-2.91,5.68,"Taveras, Leody",665750,641401,field_out,hit_into_play,,,,,8.0,Leody Taveras flies out to center fielder Jo Adell.,R,L,R,LAA,SEA,X,8,fly_ball,2,1,2025,-1.03,1.44,0.1,1.98,670156.0,810938.0,593871.0,2,4,Top,108.29,63.35,,,,,10.30008717112628,-137.41423596116667,-7.250170083970436,-15.406347531552337,32.24899667643311,-12.493409492943863,3.61,1.69,339.0,94.7,36.0,95.7,2372.0,7.1,777603,681351,694384,650859,621028,687263,621493,666176,621035,53.37,0.106,0.191,0.0,1.0,0,0,3.0,36,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,221.0,0.088,-0.287,66.2,7.9,0.361,0.287,94.7,0,0,0.471,0.529,30,26,30,27,1,0,4.0,1.0,2.0,,1.13,1.03,-1.03,29.9,3.8295881759734938,-12.269221757458752,42.82342868823093,33.314795273967256,30.85253761063282
FC,2025-06-07,90.6,-2.57,6.05,"Taveras, Leody",665750,445276,field_out,hit_into_play,,,,,5.0,Leody Taveras flies out sharply to right fielder Chris Taylor.,R,L,R,LAA,SEA,X,9,fly_ball,2,1,2025,0.02,1.67,-0.15,2.73,,,,0,9,Top,203.38,90.08,,,,,6.07275481885019,-131.72053926692055,-6.01920774654435,-0.9834739898980543,27.016325643705837,-11.61801458642126,3.61,1.69,329.0,103.8,45.0,91.8,2510.0,7.0,777603,681351,694384,650859,621028,687263,621493,666176,621035,53.53,0.091,0.153,0.0,1.0,0,0,5.0,81,4,Cutter,8,5,5,8,5,8,5,8,Standard,Standard,179.0,0.018,-0.305,75.1,7.9,0.307,0.305,103.8,3,-3,0.969,0.031,37,26,38,27,1,2,1.0,1.0,2.0,,1.1,-0.02,0.02,42.7,14.057969570497866,-15.473271581483544,28.28548463389545,36.980487692981015,40.403023543133685
SI,2025-06-06,85.8,-2.42,6.18,"Taveras, Leody",665750,543294,field_out,hit_into_play,,,,,5.0,Leody Taveras flies out to left fielder Taylor Ward.,R,L,R,LAA,SEA,X,7,fly_ball,1,2,2025,-1.31,0.6,0.2,2.74,,,642133.0,0,6,Top,56.7,116.35,,,,,8.695505982532492,-124.66758357195988,-3.036937084165644,-15.39316704962926,24.72672009454138,-25.52539414125788,3.61,1.69,268.0,87.2,44.0,84.6,2020.0,5.5,777614,518595,694384,621035,650859,687263,621493,666176,624585,54.96,0.001,0.0,0.0,1.0,0,0,3.0,48,5,Sinker,5,4,4,5,4,5,4,5,Standard,Standard,205.0,0.055,-0.164,72.7,6.9,0.001,0.164,88.0,1,-1,0.607,0.393,35,26,36,27,3,2,6.0,1.0,5.0,1.0,2.51,1.31,-1.31,43.1,6.233592066016075,1.833775229381568,32.58575977180856,33.71151593722682,28.00100397302076
FF,2025-06-05,91.4,-2.24,5.34,"Taveras, Leody",665750,621107,field_out,hit_into_play,,,,,5.0,Leody Taveras flies out to center fielder Jorge Mateo.,R,L,R,SEA,BAL,X,8,fly_ball,1,1,2025,-0.84,0.88,0.04,2.75,,,,1,4,Bot,125.62,51.04,,,,,7.594642512127512,-132.93059515974772,-2.6070029661718235,-11.492537252248583,26.10862649920872,-21.31181979777834,3.64,1.73,366.0,98.7,25.0,92.3,2149.0,6.6,777628,668974,656811,702616,656896,683002,666185,622761,677008,53.86,0.469,0.711,0.0,1.0,0,0,6.0,31,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,237.0,-0.019,-0.244,79.9,7.3,1.253,0.244,98.7,0,0,0.532,0.532,31,26,31,27,2,1,6.0,1.0,6.0,1.0,1.83,0.84,-0.84,21.9,8.586855883242078,-1.7902209788631778,32.48610271858745,34.4119449162508,27.639117071438925
CU,2025-06-05,77.9,-2.35,5.58,"Taveras, Leody",665750,621107,single,hit_into_play,,,,,8.0,Leody Taveras singles on a line drive to center fielder Jorge Mateo. Rowdy Tellez to 2nd.,R,L,R,SEA,BAL,X,8,line_drive,3,1,2025,0.74,-0.59,-0.2,1.92,,,642133.0,1,2,Bot,129.17,89.95,,,,,3.26190100572576,-113.56228484110191,0.0551450017456249,5.914357544949547,18.921625150002885,-37.54889936157168,3.64,1.73,232.0,77.8,20.0,78.3,2484.0,6.3,777628,668974,656811,702616,656896,683002,666185,622761,677008,54.24,0.986,0.903,0.9,1.0,1,0,4.0,15,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,63.0,0.037,0.255,76.1,8.4,1.063,-0.255,88.0,0,0,0.553,0.553,31,26,31,27,1,0,6.0,1.0,6.0,1.0,4.31,-0.74,0.74,25.2,22.8412749219068,-24.64921195533319,34.015528192562385,38.3709604110256,48.1938445489533
FF,2025-06-03,92.1,-2.32,5.87,"Taveras, Leody",665750,608372,field_out,hit_into_play,,,,,7.0,Leody Taveras lines out sharply to left fielder Dylan Carlson.,R,L,R,SEA,BAL,X,7,line_drive,3,1,2025,-0.95,1.62,-0.64,2.2,,,,0,5,Bot,59.03,76.77,,,,,6.304693527693793,-133.87213373673677,-6.922404685457638,-12.767120374432292,30.844275523643145,-11.440083818112216,3.65,1.74,344.0,100.5,21.0,91.5,2416.0,6.1,777655,668939,656811,702616,602104,683002,666185,681297,677008,54.37,0.423,0.547,0.0,1.0,0,0,5.0,39,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,212.0,-0.034,-0.439,71.5,7.3,0.887,0.439,100.5,-1,-1,0.407,0.407,35,26,36,27,2,1,7.0,2.0,5.0,1.0,1.09,0.95,-0.95,39.7,-3.149058190263227,1.0491406778949677,34.51273795352294,40.99375749758211,23.285837761164917
CU,2025-06-01,75.9,-2.12,6.2,"Taveras, Leody",665750,663978,field_out,hit_into_play,,,,,5.0,Leody Taveras flies out to left fielder Willi Castro.,R,L,R,SEA,MIN,X,7,fly_ball,0,0,2025,0.42,-1.06,0.01,2.51,,,,0,3,Bot,81.65,129.34,,,,,3.733674472248973,-110.57117185512313,1.2382976138372814,2.7806988020493297,19.11561956407894,-41.29645893052548,3.65,1.74,207.0,88.7,56.0,76.5,1966.0,6.6,777680,680777,664034,665019,668904,621043,650489,664056,663616,53.92,0.009,0.009,0.0,1.0,0,0,3.0,20,1,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,20.0,-0.025,-0.259,77.1,7.7,0.014,0.259,88.7,0,0,0.554,0.554,29,26,29,27,1,0,6.0,1.0,6.0,2.0,5.0,-0.42,0.42,55.0,13.416241681877208,-6.563954492626694,33.56393462640324,36.15362277187398,38.15712818232248
CH,2025-05-31,82.1,-1.25,5.97,"Taveras, Leody",665750,641927,field_out,hit_into_play,,,,,5.0,Leody Taveras flies out to right fielder Matt Wallner.,R,L,R,SEA,MIN,X,9,fly_ball,3,2,2025,-1.5,0.46,-0.21,2.41,,,,1,4,Bot,182.05,88.58,,,,,5.3452366991149125,-119.42193669682632,-2.3467273760012537,-15.422797341005724,25.537475531785603,-27.568296572564307,3.62,1.75,306.0,90.8,37.0,82.9,1839.0,7.1,777695,543877,665019,650489,686797,621043,664056,621439,670242,53.41,0.02,0.026,0.0,1.0,0,0,3.0,35,10,Changeup,2,3,2,3,3,2,2,3,Infield shade,Standard,248.0,-0.022,-0.333,78.9,8.1,0.055,0.333,90.8,-1,-1,0.391,0.391,29,26,30,27,2,1,6.0,1.0,6.0,1.0,2.96,1.5,-1.5,31.6,22.463755797969217,-12.88356379419542,25.650162430990974,37.07581713176164,42.52467413693686
FF,2025-05-29,95.0,2.01,5.68,"Taveras, Leody",665750,669022,single,hit_into_play,,,,,7.0,Leody Taveras singles on a line drive to right fielder Daylen Lile.,R,R,L,SEA,WSH,X,9,line_drive,1,0,2025,0.51,1.66,-0.31,2.01,,,,0,3,Bot,164.81,71.38,,,,,-7.271468182358608,-137.93502765153966,-7.704584957305485,8.200446488272219,32.86576153802506,-9.41336243472086,3.63,1.74,306.0,92.0,19.0,95.5,2224.0,6.9,777722,660688,663993,671277,677588,682928,695578,690987,695734,53.62,0.414,0.44,0.9,1.0,1,0,4.0,18,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,152.0,0.04,0.397,72.4,7.6,0.629,-0.397,92.0,0,0,0.554,0.554,26,26,26,27,1,0,6.0,1.0,6.0,1.0,0.89,0.51,-0.51,44.5,-1.8113826187725623,1.1199132168229973,41.87322735106233,30.958912823042112,24.007865705324843
FF,2025-05-28,87.9,-2.37,4.71,"Taveras, Leody",665750,592866,field_out,hit_into_play,,,,,8.0,Leody Taveras lines out to left fielder James Wood.,R,L,R,SEA,WSH,X,7,line_drive,2,2,2025,-0.23,0.78,-0.17,1.7,,,,2,5,Bot,85.1,112.54,,,,,5.878501208112418,-127.91603624698504,-2.8580875879415157,-3.6728264011821152,25.40150452409356,-23.23164483030164,3.64,1.75,320.0,94.3,25.0,89.0,2363.0,6.9,777730,660688,663993,671277,677588,682928,695578,690987,695734,53.64,0.151,0.191,0.0,1.0,0,0,3.0,39,6,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,206.0,-0.003,-0.224,71.9,7.6,0.312,0.224,94.3,-6,-6,0.026,0.026,33,26,33,27,2,1,6.0,1.0,6.0,1.0,2.16,0.23,-0.23,15.6,2.7792663505531903,5.234081341413465,34.52163955069112,35.61834930086642,27.640092129299127
