pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-29,94.2,2.26,5.91,"Taylor, Michael A.",572191,666200,field_out,hit_into_play,,,,,8.0,Michael A. Taylor flies out to center fielder Brandon Marsh.,R,R,L,CWS,PHI,X,8,fly_ball,2,0,2025,1.42,0.64,0.01,1.62,,,,2,7,Bot,154.35,55.69,,,,,-8.836811155658928,-136.8450679810709,-6.764670737970003,19.74437388575119,29.734196907712203,-22.75827472242993,3.62,1.68,361.0,96.0,32.0,92.8,2160.0,5.5,776952,592663,547180,681082,805249,607208,596146,669016,592206,54.97,0.209,0.361,0.0,1.0,0,0,5.0,57,3,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,126.0,-0.001,-0.362,79.2,7.7,0.674,0.362,96.0,-6,-6,0.008,0.008,27,34,28,34,3,2,6.0,1.0,6.0,3.0,1.93,1.42,-1.42,33.7,20.82363683635426,0.2116444980777855,38.19731880538159,39.169923566902,27.956542698673022
CH,2025-07-28,85.5,2.12,5.81,"Taylor, Michael A.",572191,650911,double,hit_into_play,,,,,8.0,Michael A. Taylor doubles (17) on a line drive to left fielder Max Kepler. Lenyn Sosa to 3rd.,R,R,L,CWS,PHI,X,7,line_drive,0,2,2025,1.41,0.09,0.25,1.76,,,672820.0,1,7,Bot,39.83,108.61,,,,,-7.423013966143114,-124.364815197776,-3.510364672581762,16.140672334773313,23.71539757899904,-30.77820488557462,3.62,1.68,161.0,83.2,13.0,87.3,2120.0,7.3,776972,592663,547180,681082,805249,607208,596146,669016,592206,53.18,0.68,0.677,1.25,1.0,1,1,4.0,57,3,Changeup,4,2,4,2,2,4,4,2,Standard,Standard,108.0,0.037,0.879,76.2,7.8,0.813,-0.879,88.0,2,2,0.894,0.894,28,34,29,34,3,2,6.0,2.0,6.0,1.0,3.02,1.41,-1.41,25.9,20.41458209344681,-13.405811606182876,34.8444492378565,40.61502549901748,45.72445062624334
ST,2025-07-26,83.0,-2.33,6.04,"Taylor, Michael A.",572191,690990,field_out,hit_into_play,,,,,8.0,Michael A. Taylor lines out to left fielder Ian Happ.,R,R,R,CWS,CHC,X,7,line_drive,1,2,2025,1.43,-0.39,0.06,1.94,691019.0,,,2,2,Bot,75.97,89.07,,,,,2.651048195739362,-120.92926772046444,-2.1573833394221404,13.515031353684188,24.05287327555965,-35.755426222306035,3.62,1.67,299.0,96.3,17.0,82.8,2539.0,6.1,776994,608348,683737,663538,807713,621020,664023,691718,663656,54.36,0.52,0.507,0.0,1.0,0,0,4.0,14,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,46.0,-0.039,-0.196,70.9,7.5,0.694,0.196,96.3,0,0,0.539,0.539,23,34,24,34,1,0,6.0,1.0,6.0,2.0,3.69,-1.43,-1.43,50.6,15.530223450918353,-7.26921931719859,33.780111447603524,39.81713429011424,33.64621065684389
FS,2025-07-25,81.6,1.33,5.5,"Taylor, Michael A.",572191,684007,double,hit_into_play,,,,,4.0,Michael A. Taylor doubles (16) on a sharp fly ball to center fielder Pete Crow-Armstrong.,R,R,L,CWS,CHC,X,8,fly_ball,2,2,2025,0.56,0.72,-0.56,2.63,,,,1,3,Bot,81.15,82.61,,,,,-5.30932286715198,-118.81010052895304,-1.281075572297351,6.295753635462065,21.949381453773967,-25.31604835179387,3.61,1.67,309.0,103.9,47.0,81.5,1169.0,6.1,777017,624512,683737,663538,660644,621020,664023,691718,663656,54.4,0.069,0.125,1.25,1.0,1,1,3.0,27,5,Split-Finger,5,0,5,0,0,5,5,0,Infield shade,Standard,124.0,0.01,0.668,75.3,6.9,0.234,-0.668,103.9,5,5,0.934,0.934,31,34,32,34,2,1,6.0,3.0,5.0,1.0,2.69,0.56,-0.56,33.1,18.562474493394863,-9.043460213335557,34.143942193097715,32.02929382942432,34.79344556994138
KC,2025-07-25,80.3,2.52,6.35,"Taylor, Michael A.",572191,519141,field_out,hit_into_play,,,,,9.0,Michael A. Taylor flies out to right fielder Kyle Tucker in foul territory.,R,R,L,CWS,CHC,X,9,fly_ball,1,2,2025,-0.27,-0.93,0.82,2.18,,,,1,6,Bot,203.73,130.95,,,,,-3.208841236365866,-116.90716052224462,-0.800256559493436,-1.8372937895911887,21.965297711151468,-40.75005187810031,3.61,1.67,255.0,89.8,50.0,79.4,2349.0,5.6,777017,624512,683737,663538,660644,621020,664023,691718,663656,54.87,0.009,0.009,0.0,1.0,0,0,3.0,56,4,Knuckle Curve,11,0,11,0,0,11,11,0,Standard,Standard,332.0,0.0,-0.18,75.3,7.4,0.012,0.18,89.8,11,11,0.999,0.999,36,34,37,34,1,3,2.0,3.0,2.0,1.0,4.46,-0.27,0.27,37.6,15.398339149220696,7.324672078768935,32.446383682448754,48.19187310005746,26.682495728878028
CH,2025-07-20,80.4,2.81,4.98,"Taylor, Michael A.",572191,571760,single,hit_into_play,,,,,14.0,Michael A. Taylor singles on a line drive to center fielder Oneil Cruz. Colson Montgomery to 2nd.,R,R,L,PIT,CWS,X,8,line_drive,3,2,2025,1.2,0.42,0.9,2.27,,,695657.0,1,4,Top,130.03,79.22,,,,,-6.495010116037832,-117.01381311696215,-0.1428126810361376,12.206097834692756,21.11867622003786,-28.47311342528558,3.58,1.66,241.0,103.7,12.0,80.5,1918.0,6.2,777074,663698,687462,693304,663647,643396,669261,665833,668804,54.26,0.931,0.938,0.9,1.0,1,0,4.0,28,6,Changeup,1,5,5,1,5,1,5,1,Standard,Standard,109.0,-0.012,0.341,78.3,7.1,1.248,-0.341,103.7,-4,4,0.113,0.887,34,34,34,34,2,1,8.0,2.0,6.0,2.0,3.09,1.2,-1.2,26.8,11.181299235972176,12.254274616944349,28.550486361562072,48.9514108838024,28.166378575738506
FF,2025-07-20,90.2,2.87,4.93,"Taylor, Michael A.",572191,571760,double,hit_into_play,,,,,6.0,Michael A. Taylor doubles (15) on a sharp line drive to center fielder Oneil Cruz.,R,R,L,PIT,CWS,X,8,line_drive,3,2,2025,1.49,0.86,0.49,2.83,,,,1,2,Top,139.88,42.73,,,,,-9.070547493318603,-131.14410686312752,-1.0936881992821117,19.09200376517864,26.7400470494922,-22.222344320907347,3.58,1.66,387.0,107.8,20.0,90.3,2404.0,6.3,777074,663698,687462,693304,663647,643396,669261,665833,668804,54.21,0.86,1.331,1.25,1.0,1,1,6.0,12,6,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,123.0,-0.019,0.564,73.4,6.7,2.354,-0.564,107.8,-4,4,0.157,0.843,34,34,34,34,1,0,8.0,2.0,6.0,2.0,1.94,1.49,-1.49,24.8,16.4732415043282,8.796231552666889,27.893972568004447,42.34235339704056,27.230749052322
SL,2025-07-20,88.4,-2.07,5.7,"Taylor, Michael A.",572191,642701,field_out,hit_into_play,,,,,5.0,Michael A. Taylor lines out to center fielder Oneil Cruz.,R,R,R,PIT,CWS,X,8,line_drive,1,2,2025,0.37,0.23,0.15,2.9,,,,1,8,Top,140.43,65.93,,,,,4.622025226311769,-128.79603282989763,-1.2402262094102614,3.1991314482559905,25.760951851937133,-29.5977727174266,3.58,1.66,332.0,88.8,25.0,88.1,2526.0,6.0,777074,663698,687462,693304,663647,643396,669261,665833,668804,54.53,0.089,0.088,0.0,1.0,0,0,3.0,61,4,Slider,1,7,7,1,7,1,7,1,Standard,Standard,158.0,0.0,-0.18,73.5,6.5,0.142,0.18,88.8,-6,6,0.008,0.992,29,34,29,34,1,3,7.0,2.0,1.0,2.0,2.67,-0.37,-0.37,31.8,11.37952414673859,0.9128102823247108,22.38593581926472,40.6733066240085,32.25043087925376
FF,2025-07-18,97.3,0.61,6.12,"Taylor, Michael A.",572191,650893,double,hit_into_play,,,,,4.0,Michael A. Taylor doubles (14) on a sharp line drive to left fielder Tommy Pham. Miguel Vargas scores. Andrew Benintendi scores. Luis Robert Jr. scores.,R,R,L,PIT,CWS,X,7,line_drive,0,2,2025,0.63,1.42,-0.28,2.44,678246.0,643217.0,673357.0,2,7,Top,49.64,95.96,,,,,-3.8051200760601103,-141.58834639062232,-7.555382712251863,9.330685499357743,31.752647164035427,-11.568794829169974,3.58,1.66,271.0,109.0,17.0,96.6,2303.0,5.9,777107,663698,687462,693304,663647,643396,502054,665833,668804,54.64,0.669,0.844,1.25,1.0,1,1,6.0,59,3,4-Seam Fastball,1,7,7,1,10,1,10,1,Standard,Standard,149.0,-0.011,0.844,75.2,7.6,1.326,-0.844,109.0,-6,6,0.013,0.987,28,34,29,34,1,3,6.0,5.0,8.0,2.0,0.99,0.63,-0.63,47.9,23.59291711370002,-7.529153978272594,34.93464262946265,34.56431288713769,35.59828737936629
CU,2025-07-13,78.8,0.57,6.03,"Taylor, Michael A.",572191,676282,sac_fly,hit_into_play,,,,,7.0,Michael A. Taylor out on a sacrifice fly to right fielder Johnathan Rodríguez. Miguel Vargas scores.,R,R,L,CWS,CLE,X,9,line_drive,3,1,2025,-0.59,-1.42,-0.39,1.61,678246.0,,,1,5,Bot,159.39,76.58,,,,,-1.0161718285383634,-114.61898586123522,0.0149406131651939,-4.894204224448735,25.266524388238796,-44.77578121573978,3.58,1.67,315.0,88.9,26.0,79.3,2658.0,7.1,777120,666310,467793,682657,608070,677587,680757,666134,671286,53.41,0.089,0.104,0.0,1.0,0,0,3.0,35,5,Curveball,1,0,1,0,0,2,2,0,Strategic,Standard,341.0,0.028,-0.184,70.9,6.9,0.165,0.184,88.9,1,1,0.767,0.767,25,34,26,34,2,1,5.0,2.0,9.0,5.0,5.15,-0.59,0.59,55.9,2.608571334297969,6.265978472872379,31.6435244325894,36.67659029572909,26.6679386294266
