pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-31,86.2,-1.9,5.54,"Tellez, Rowdy",642133,669923,field_out,hit_into_play,,,,,9.0,Rowdy Tellez flies out to right fielder Dominic Canzone.,R,L,R,SEA,TEX,X,9,fly_ball,2,2,2025,1.31,0.02,0.7,1.94,,,,2,5,Top,181.68,78.3,,,,,3.5358683926701984,-125.3760602690124,-2.243564225015933,12.773021051727078,30.179036162050085,-31.651620655330586,3.59,1.67,328.0,90.7,35.0,86.2,2476.0,6.7,776923,663728,647304,702284,553993,641487,668227,677594,686527,53.78,0.034,0.05,0.0,1.0,0,0,3.0,34,5,Slider,1,0,0,1,0,1,0,1,Infield shade,Standard,43.0,0.014,-0.224,77.7,8.6,0.082,0.224,90.7,1,-1,0.699,0.301,27,30,27,30,2,1,5.0,5.0,6.0,1.0,3.1,-1.31,1.31,28.9,6.255297674779217,-23.44718937781782,37.28724445279918,27.641221508498766,36.23798579093822
FF,2025-07-26,94.0,-2.3,5.94,"Tellez, Rowdy",642133,656550,single,hit_into_play,,,,,11.0,Rowdy Tellez singles on a line drive to left fielder Jurickson Profar.,R,L,R,TEX,ATL,X,7,line_drive,1,2,2025,-0.13,1.17,-1.08,3.02,,,,0,4,Bot,78.02,118.58,,,,,3.391250429813898,-136.84273345760215,-4.416546124840593,-2.3525748537181057,28.970170103624007,-16.66688903229943,3.58,1.67,124.0,99.4,5.0,93.0,2361.0,5.6,776993,686948,621566,645277,663586,669397,595777,671739,660670,54.91,0.517,0.485,0.9,1.0,1,0,4.0,35,4,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,209.0,0.033,0.508,71.8,7.3,0.59,-0.508,99.4,1,1,0.69,0.69,29,30,29,30,2,1,6.0,1.0,,5.0,1.4,0.13,-0.13,41.8,1.520308836831077,26.162293994890675,19.316556021706607,48.53120860929474,18.44082569578515
CH,2025-07-26,88.3,-1.89,5.23,"Tellez, Rowdy",642133,628452,field_out,hit_into_play,,,,,8.0,Rowdy Tellez flies out to center fielder Michael Harris II.,R,L,R,TEX,ATL,X,8,fly_ball,1,2,2025,-1.27,0.3,-0.1,1.58,,,,0,9,Bot,139.6,69.39,,,,,6.95433413132702,-128.25977601955054,-3.3248974366257724,-15.505587825938964,29.34178823447692,-28.31581268137905,3.58,1.67,323.0,90.3,33.0,87.3,2051.0,6.0,776993,686948,621566,645277,663586,663897,595777,671739,660670,54.48,0.031,0.046,0.0,1.0,0,0,3.0,72,5,Changeup,4,5,4,5,5,4,4,5,Strategic,Standard,250.0,-0.086,-0.189,76.6,8.4,0.082,0.189,90.3,-1,-1,0.194,0.194,35,30,35,30,1,3,3.0,1.0,2.0,5.0,2.66,1.27,-1.27,29.2,9.356190592716484,-10.478753652911912,38.543871979002205,38.49721345509576,37.26059277670859
FF,2025-07-25,96.8,-1.24,5.94,"Tellez, Rowdy",642133,676702,sac_fly,hit_into_play,,,,,3.0,Rowdy Tellez out on a sacrifice fly to center fielder Michael Harris II. Jonah Heim scores.,R,L,R,TEX,ATL,X,8,fly_ball,2,1,2025,-0.36,1.42,0.38,3.04,641680.0,669701.0,694497.0,1,8,Bot,103.58,86.36,,,,,5.1398734156428905,-140.8119557102346,-5.378138196630502,-6.053161048681222,33.25467490396177,-12.32924639434249,3.58,1.67,287.0,85.0,43.0,96.5,2562.0,6.2,777009,669221,621566,645277,663586,669397,595777,671739,660670,54.28,0.006,0.007,0.0,1.0,0,0,3.0,69,4,4-Seam Fastball,7,1,7,1,1,8,8,1,Standard,Standard,205.0,0.0,-0.222,73.7,7.1,0.011,0.222,88.0,6,6,0.999,0.999,28,30,29,30,1,0,32.0,2.0,2.0,1.0,1.03,0.36,-0.36,36.5,-0.4832238060128101,5.876397287924254,31.33921730037116,28.08137197124003,30.688515962867672
ST,2025-07-22,79.8,-3.18,5.39,"Tellez, Rowdy",642133,686993,field_out,hit_into_play,,,,,6.0,Rowdy Tellez flies out to right fielder Colby Thomas.,R,L,R,TEX,ATH,X,9,fly_ball,0,2,2025,1.63,0.25,0.41,2.94,,,,1,7,Bot,174.07,115.05,,,,,4.829781075943694,-116.03232276444449,0.9411427486153204,13.565033842863254,24.287193259235615,-30.346112290802104,3.58,1.67,241.0,94.3,54.0,79.3,2731.0,6.2,777043,669127,701762,649966,609280,805779,691016,671732,687515,54.27,0.003,0.003,0.0,1.0,0,0,3.0,52,3,Sweeper,2,1,2,1,1,2,2,1,Infield shade,Standard,61.0,-0.014,-0.163,72.7,7.7,0.003,0.163,94.3,1,1,0.776,0.776,28,30,29,30,1,2,3.0,1.0,4.0,1.0,3.37,-1.63,1.63,34.7,15.758387305988167,-16.899460712659526,28.461480321639154,31.999033623355857,42.48022718156277
SI,2025-06-17,95.0,-1.85,5.22,"Tellez, Rowdy",642133,621111,single,hit_into_play,,,,,5.0,Rowdy Tellez singles on a sharp line drive to center fielder Ceddanne Rafaela.,R,L,R,SEA,BOS,X,8,line_drive,2,1,2025,-1.25,0.95,-0.08,2.83,,,,0,2,Bot,103.36,73.87,,,,,7.447006267540877,-138.2940116997953,-2.792049608577703,-17.709872681247255,28.758177532814543,-19.473044235805364,3.64,1.69,240.0,106.6,9.0,95.5,2100.0,6.4,777473,665966,647351,666152,691785,596115,680776,678882,701350,54.08,0.723,0.699,0.9,1.0,1,0,4.0,13,4,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,217.0,0.038,0.392,73.5,7.1,0.882,-0.392,106.6,0,0,0.55,0.55,30,30,31,30,1,0,6.0,1.0,6.0,31.0,1.56,1.25,-1.25,33.9,5.762465000562794,4.684356057948796,28.217338024297007,36.01741385712464,29.84263084685702
CH,2025-06-15,88.6,-2.12,5.02,"Tellez, Rowdy",642133,682847,field_out,hit_into_play,,,,,9.0,Rowdy Tellez lines out to right fielder Nolan Jones.,R,L,R,SEA,CLE,X,9,line_drive,0,2,2025,-0.96,0.56,0.33,1.91,,668227.0,,1,3,Bot,189.53,104.94,,,,,8.04114694786446,-128.85526589667185,-2.750147472251752,-12.33949206466018,25.31160795593374,-25.57448745168877,3.63,1.68,292.0,94.6,19.0,89.3,1546.0,6.6,777495,595978,700932,682657,608070,682177,680757,657041,666134,53.9,0.394,0.41,0.0,1.0,0,0,4.0,25,3,Changeup,5,0,5,0,0,5,5,0,Standard,Strategic,255.0,-0.008,-0.172,74.3,8.1,0.591,0.172,94.6,5,5,0.944,0.944,26,30,26,30,2,1,6.0,1.0,6.0,1.0,2.34,0.96,-0.96,24.4,6.091137223707946,-10.91568728754224,38.51973276940004,30.69727694065203,35.053540126335925
FF,2025-06-15,94.3,-2.07,4.84,"Tellez, Rowdy",642133,682847,double,hit_into_play,,,,,4.0,Rowdy Tellez doubles (6) on a line drive to left fielder Steven Kwan. Randy Arozarena to 3rd.,R,L,R,SEA,CLE,X,7,line_drive,3,1,2025,-1.48,0.8,-0.63,2.4,,,668227.0,0,2,Bot,60.26,131.3,,,,,7.08959295328999,-137.16544498424113,-2.432864828389298,-20.236662397287063,30.681770561424496,-21.728570326836696,3.63,1.68,160.0,69.9,22.0,95.1,2367.0,6.8,777495,595978,700932,682657,608070,682177,680757,657041,666134,53.73,0.977,0.888,1.25,1.0,1,1,4.0,13,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Strategic,232.0,0.109,0.579,80.9,8.5,1.031,-0.579,88.0,0,0,0.588,0.588,26,30,26,30,1,0,6.0,1.0,6.0,1.0,1.77,1.48,-1.48,16.6,16.38065844351183,-15.736475906975814,22.421048673788885,42.29404325851079,43.92952541814575
CU,2025-06-15,82.1,-1.52,6.21,"Tellez, Rowdy",642133,663671,field_out,hit_into_play,,,,,9.0,Rowdy Tellez flies out to right fielder Johnathan Rodríguez.,R,L,R,SEA,CLE,X,9,fly_ball,0,1,2025,0.63,-0.52,0.34,2.27,,,668227.0,2,7,Bot,199.96,93.91,,,,,2.9809779578273723,-119.55427220997356,-1.355415425388009,5.449802373281199,24.13228580405281,-37.10001290303504,3.63,1.68,316.0,89.4,28.0,81.9,2532.0,6.2,777495,595978,700932,682657,608070,682177,666134,657041,671286,54.26,0.057,0.082,0.0,1.0,0,0,3.0,55,2,Curveball,6,0,6,0,0,6,6,0,Infield shade,Strategic,13.0,-0.001,-0.229,67.6,8.0,0.138,0.229,89.4,6,6,0.994,0.994,28,30,28,30,1,3,4.0,1.0,4.0,1.0,3.91,-0.63,0.63,53.0,1.1486330674875906,-17.069786432212226,22.056845125446863,29.739895114152084,39.56714126045959
FF,2025-06-14,91.2,-2.19,5.12,"Tellez, Rowdy",642133,670036,field_out,hit_into_play,,,,,4.0,Rowdy Tellez flies out to left fielder Steven Kwan.,R,L,R,SEA,CLE,X,7,fly_ball,0,2,2025,0.1,0.8,-0.57,2.63,,,,0,6,Bot,77.96,97.78,,,,,3.844674047358912,-132.9399291645948,-2.1663537522806093,0.4977149226741853,24.56021488583291,-22.407027587871795,3.63,1.67,278.0,90.0,42.0,91.6,2409.0,6.1,777507,666310,467793,682657,608070,682177,680757,657041,666134,54.36,0.006,0.007,0.0,1.0,0,0,3.0,51,3,4-Seam Fastball,2,3,2,3,3,2,2,3,Infield shade,Standard,193.0,-0.04,-0.165,72.0,7.9,0.014,0.165,90.0,-1,-1,0.387,0.387,32,30,32,30,1,2,4.0,1.0,3.0,1.0,1.9,-0.1,0.1,33.8,-1.2810199700701748,-4.949533949920018,26.2941464255562,42.45415702027455,31.109686197053797
