pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-06-28,77.3,-2.2,6.42,"Thomas, Lane",657041,571945,double,hit_into_play,,,,,6.0,Lane Thomas doubles (2) on a line drive to left fielder Lars Nootbaar. Carlos Santana to 3rd.,R,R,R,CLE,STL,X,7,line_drive,1,2,2025,1.1,-1.23,0.45,2.19,,,467793.0,1,4,Bot,52.82,114.8,,,,,3.654452905505953,-112.47469824845182,0.3147805848906095,8.411165568629077,24.107038799486126,-42.763445891773536,3.16,1.48,275.0,97.8,19.0,76.7,2633.0,6.3,777329,650968,575929,680977,669357,691026,663457,687363,676475,54.21,0.306,0.354,1.25,1.0,1,1,4.0,30,4,Curveball,1,1,1,1,1,1,1,1,Standard,Standard,37.0,0.103,0.869,76.4,7.6,0.549,-0.869,97.8,0,0,0.562,0.562,36,29,37,30,2,1,6.0,1.0,6.0,1.0,5.1,-1.1,-1.1,45.8,18.187435506500417,-16.181825796806187,25.905380479126745,40.508006784051695,38.24519311553704
SL,2025-06-25,85.9,-2.68,5.62,"Thomas, Lane",657041,453286,single,hit_into_play,,,,,6.0,Lane Thomas singles on a line drive to left fielder Alan Roden.,R,R,R,CLE,TOR,X,7,line_drive,0,1,2025,0.33,0.33,0.44,2.25,,,,1,4,Bot,76.64,112.2,,,,,6.74415580953007,-125.11868391773226,-2.48048433759749,2.25479819421897,22.650719428399626,-28.451083430438636,3.16,1.45,188.0,108.8,11.0,86.7,2453.0,6.5,777368,672386,665489,665926,676391,666182,702176,664770,680718,54.0,0.951,0.951,0.9,1.0,1,0,5.0,29,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,165.0,0.03,0.454,74.9,7.3,1.25,-0.454,108.8,0,0,0.532,0.532,40,29,41,30,2,1,88.0,1.0,5.0,1.0,2.73,-0.33,-0.33,33.1,11.579615196673148,-4.879587666016027,26.567389307113626,42.42463654088155,32.881134519123634
SI,2025-06-24,94.6,-1.81,5.61,"Thomas, Lane",657041,684320,field_out,hit_into_play,,,,,4.0,Lane Thomas flies out to center fielder Myles Straw.,R,R,R,CLE,TOR,X,8,fly_ball,1,0,2025,-1.2,1.05,-0.3,2.35,,,,0,9,Bot,109.07,44.44,,,,,6.650745755126471,-137.5116815982362,-5.17916827468616,-16.754102048149853,30.780207020551423,-17.92223068129086,3.16,1.45,393.0,101.9,25.0,95.0,2400.0,6.6,777384,672386,665489,665926,676391,666182,682729,664702,664770,53.88,0.654,1.132,0.0,1.0,0,0,6.0,84,2,Sinker,5,10,5,10,10,5,5,10,Standard,Standard,216.0,-0.005,-0.301,65.7,6.5,2.113,0.301,101.9,-5,-5,0.007,0.007,28,29,28,30,1,4,2.0,2.0,5.0,1.0,1.51,1.2,1.2,37.1,6.891801731682575,5.743023666205311,29.591521221707307,34.35507704086925,25.18645710208801
FF,2025-06-22,90.9,1.2,4.95,"Thomas, Lane",657041,676664,field_out,hit_into_play,,,,,3.0,Lane Thomas flies out to right fielder Lawrence Butler.,R,R,L,ATH,CLE,X,9,fly_ball,1,1,2025,0.97,1.19,0.48,2.75,,,,0,3,Top,178.8,145.09,,,,,-3.910016669210668,-132.2943589568701,-2.0963442302242234,12.269329378610443,31.7735475136444,-18.035425814871807,3.15,1.45,189.0,75.6,59.0,90.5,2039.0,6.3,777400,680862,701762,649966,570482,805779,691016,672016,671732,54.16,0.034,0.035,0.0,1.0,0,0,3.0,20,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,134.0,0.017,-0.251,73.2,6.9,0.045,0.251,88.0,-2,2,0.279,0.721,29,29,29,30,2,1,5.0,1.0,6.0,2.0,1.59,0.97,-0.97,25.2,8.572963588539254,7.429540825612852,24.315884978317644,42.45505233291689,22.6127531522036
CH,2025-06-22,83.1,1.28,4.73,"Thomas, Lane",657041,676664,field_out,hit_into_play,,,,,6.0,Lane Thomas lines out sharply to center fielder Denzel Clarke.,R,R,L,ATH,CLE,X,8,line_drive,0,1,2025,1.31,0.27,0.61,2.22,,,680757.0,0,1,Top,105.73,54.89,,,,,-4.08878577296127,-121.01128127516262,0.1488253697018224,13.712097308448872,22.83976916703861,-29.75955912124397,3.15,1.45,360.0,102.0,20.0,82.8,1611.0,6.0,777400,680862,701762,649966,570482,805779,691016,672016,671732,54.51,0.503,0.639,0.0,1.0,0,0,5.0,2,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,110.0,0.033,-0.2,73.0,6.9,1.034,0.2,102.0,0,0,0.464,0.536,29,29,29,30,1,0,5.0,1.0,6.0,2.0,3.02,1.31,-1.31,27.2,5.399849294996187,2.998896269547853,28.00555475607247,43.66276879880044,28.843191801317584
CH,2025-06-20,79.6,2.38,6.27,"Thomas, Lane",657041,605488,field_out,hit_into_play,,,,,3.0,Lane Thomas flies out to center fielder Denzel Clarke.,R,R,L,ATH,CLE,X,8,fly_ball,1,1,2025,1.02,0.59,0.6,3.21,,,595978.0,1,6,Top,90.52,49.1,,,,,-5.832165325483153,-115.7566548859721,-1.0476841470692435,10.29528099227811,22.337253801416225,-26.935508140114628,3.16,1.44,380.0,94.5,33.0,79.6,1429.0,6.4,777429,642851,701762,649966,691777,805779,691016,672016,671732,54.11,0.114,0.199,0.0,1.0,0,0,3.0,41,3,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,115.0,0.029,-0.235,68.7,6.6,0.381,0.235,94.5,3,-3,0.868,0.132,32,29,33,30,3,2,5.0,1.0,6.0,1.0,3.03,1.02,-1.02,43.6,8.26406071700714,3.203068279437522,15.155003708214954,43.500696043841,29.53173849913428
ST,2025-06-19,85.4,-2.25,4.95,"Thomas, Lane",657041,657277,field_out,hit_into_play,,,,,5.0,Lane Thomas flies out to right fielder Mike Yastrzemski.,R,R,R,SF,CLE,X,9,fly_ball,1,1,2025,1.66,0.0,0.11,2.25,,,,1,6,Top,193.89,113.04,,,,,2.214483765449945,-124.3490305780224,-0.051970054082848,16.6969846542728,25.71527182324814,-32.39550663561732,3.14,1.45,272.0,80.1,32.0,85.8,2656.0,6.6,777440,672275,642086,683766,669477,642715,671218,808982,573262,53.9,0.057,0.069,0.0,1.0,0,0,3.0,43,3,Sweeper,0,1,1,0,1,0,1,0,Standard,Standard,59.0,0.018,-0.244,70.7,6.2,0.102,0.244,88.0,-1,1,0.357,0.643,28,29,29,30,3,2,6.0,1.0,6.0,1.0,3.13,-1.66,-1.66,20.5,-4.338411651890064,15.194715072913189,30.69148781469605,39.83593260628573,20.67780649132284
ST,2025-06-19,85.6,-2.2,4.92,"Thomas, Lane",657041,657277,field_out,hit_into_play,,,,,9.0,Lane Thomas lines out to left fielder Heliot Ramos.,R,R,R,SF,CLE,X,7,line_drive,3,2,2025,1.38,0.07,0.77,1.87,,680757.0,608070.0,2,1,Top,91.34,106.01,,,,,4.257623130205132,-124.60226394099104,-1.08831389943265,13.54672334111233,24.83995327893811,-31.41499565388796,3.14,1.45,247.0,77.4,22.0,86.3,2460.0,6.7,777440,672275,642086,683766,669477,642715,671218,808982,573262,53.8,0.937,0.862,0.0,1.0,0,0,4.0,5,6,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,57.0,0.042,-0.282,73.6,7.5,1.022,0.282,88.0,0,0,0.505,0.495,28,29,29,30,1,0,6.0,1.0,6.0,1.0,3.03,-1.38,-1.38,16.4,17.781671198892365,-12.98405580010004,25.8736841461969,45.706263611598985,39.07197646472637
FF,2025-06-18,93.3,-1.52,7.13,"Thomas, Lane",657041,434378,single,hit_into_play,,,,,5.0,Lane Thomas singles on a line drive to center fielder Jung Hoo Lee. Carlos Santana to 2nd.,R,R,R,SF,CLE,X,8,line_drive,1,0,2025,-0.83,1.61,-0.1,2.17,,,467793.0,1,4,Top,129.5,92.83,,,,,5.456485632577792,-135.40234084417793,-10.482916979065974,-11.37503587794208,28.47867633888966,-10.30782271345344,3.14,1.45,211.0,99.8,11.0,93.2,2543.0,6.3,777454,672275,527038,666149,669477,642715,671218,808982,573262,54.23,0.897,0.853,0.9,1.0,1,0,4.0,25,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,207.0,-0.035,0.371,71.9,6.7,1.065,-0.371,99.8,-1,1,0.369,0.631,42,29,42,30,2,1,31.0,1.0,6.0,1.0,1.02,0.83,0.83,60.9,3.549494292457076,7.074375753418118,31.15760493470746,36.398988598843545,25.768880778848605
FF,2025-06-17,93.9,2.69,6.17,"Thomas, Lane",657041,592662,field_out,hit_into_play,,,,,3.0,Lane Thomas flies out to right fielder Mike Yastrzemski.,R,R,L,SF,CLE,X,9,fly_ball,0,0,2025,1.02,1.34,0.43,2.87,,,680757.0,0,5,Top,157.71,123.62,,,,,-8.102812046938125,-136.49619860480828,-5.79435347840146,14.489415228105653,30.38592734064537,-14.2776186857825,3.15,1.41,207.0,92.5,59.0,94.0,2331.0,6.4,777472,668800,642086,666149,669477,642715,671218,808982,573262,54.08,0.003,0.003,0.0,1.0,0,0,3.0,39,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,145.0,0.044,-0.242,72.2,6.9,0.003,0.242,92.5,0,0,0.453,0.547,33,29,34,30,3,2,6.0,2.0,5.0,1.0,1.25,1.02,-1.02,47.1,13.094472629096606,5.8392379119493,26.37885519390312,41.97640410228662,24.30113133359969
