pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-30,94.0,1.79,6.44,"Tolbert, Tyler",686475,669276,single,hit_into_play,,,,,2.0,Tyler Tolbert singles on a line drive to left fielder Jurickson Profar.,R,R,L,KC,ATL,X,7,line_drive,1,0,2025,0.81,1.62,0.18,2.98,,,,2,8,Bot,79.86,141.36,,,,,-5.986412350764792,-136.71658016578513,-6.842000766042172,11.502767443529423,30.15669705426497,-10.562908356336818,3.32,1.51,146.0,81.9,12.0,93.9,2467.0,6.3,776936,669221,621566,645277,663586,663897,595777,671739,642201,54.24,0.514,0.489,0.9,1.0,1,0,4.0,55,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,157.0,0.025,0.289,71.0,6.9,0.58,-0.289,88.0,0,0,0.525,0.525,30,27,31,27,1,2,2.0,3.0,1.0,4.0,0.97,0.81,-0.81,47.1,13.337152649164516,-13.449608314859145,22.80173056981277,36.0035327720512,38.8985728338093
FF,2025-07-19,94.8,-1.03,6.25,"Tolbert, Tyler",686475,615698,single,hit_into_play,,,,,5.0,Tyler Tolbert singles on a sharp line drive to center fielder Dane Myers.,R,R,R,MIA,KC,X,8,line_drive,0,0,2025,-0.75,1.34,0.04,2.14,,,,1,3,Top,123.71,76.41,,,,,4.469378292510315,-137.80991531008723,-8.00956793178531,-10.533545240149916,33.46200069097186,-13.472915189682526,3.32,1.51,259.0,104.9,10.0,94.5,2157.0,6.4,777093,689414,676572,669364,688363,672640,669065,667472,660821,54.12,0.874,0.849,0.9,1.0,1,0,4.0,16,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,216.0,-0.029,0.415,69.4,6.4,1.083,-0.415,104.9,1,-1,0.643,0.357,30,27,30,27,1,0,9.0,6.0,6.0,4.0,1.22,0.75,0.75,48.7,3.148963599339958,3.741215327798297,33.103545979098634,33.09242455080324,28.983805078477552
FF,2025-07-13,91.9,3.97,4.79,"Tolbert, Tyler",686475,640455,single,hit_into_play,,,,,14.0,Tyler Tolbert singles on a line drive to right fielder Juan Soto.,R,R,L,KC,NYM,X,9,line_drive,2,1,2025,1.11,0.64,0.93,2.11,,,,1,9,Bot,179.12,99.77,,,,,-10.235110895359696,-133.6533788160028,-2.422048698831363,15.342446785811813,24.301437765655606,-24.1446456236408,3.32,1.51,243.0,93.4,14.0,93.6,1993.0,7.0,777124,663584,624413,683146,677595,596019,607043,643446,665742,53.51,0.969,0.906,0.9,1.0,1,0,4.0,70,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,114.0,0.055,0.371,72.4,6.5,1.102,-0.371,93.4,0,0,0.577,0.577,33,27,33,27,2,0,,4.0,5.0,6.0,2.03,1.11,-1.11,13.6,1.5665623168206573,18.880638444545145,28.89336920590675,45.7097528080947,23.937498345175896
FF,2025-07-09,93.5,1.36,5.79,"Tolbert, Tyler",686475,663559,field_out,hit_into_play,,,,,2.0,Tyler Tolbert flies out to center fielder Oneil Cruz.,R,R,L,KC,PIT,X,8,fly_ball,1,2,2025,0.47,1.41,0.04,2.96,666023.0,,,2,4,Bot,160.13,63.88,,,,,-4.553307833323839,-136.09084825471692,-4.782281773199565,6.849553028456604,29.720949581464986,-13.741152646276646,3.32,1.51,345.0,96.1,39.0,95.4,1989.0,7.4,777177,663698,669707,693304,663647,643396,502054,665833,668804,53.11,0.077,0.148,0.0,1.0,0,0,3.0,33,5,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,167.0,-0.018,-0.196,68.6,6.1,0.283,0.196,96.1,3,3,0.864,0.864,28,27,28,27,2,1,5.0,2.0,9.0,4.0,1.19,0.47,-0.47,54.9,6.975024610773879,8.587314055978378,22.26467111883535,36.48890182896949,30.33297388274766
EP,2025-06-28,48.8,-1.02,6.47,"Tolbert, Tyler",686475,500743,field_out,hit_into_play,,,,,2.0,Tyler Tolbert lines out to center fielder Enrique Hernández.,R,R,R,KC,LAD,X,8,line_drive,1,1,2025,-0.42,1.34,-0.05,3.03,,,,0,8,Bot,114.15,63.25,,,,,1.6977478992854236,-70.73501937803535,4.652892877335124,-1.608130907630254,8.442967076649273,-28.467628965676248,3.32,1.51,338.0,95.6,24.0,46.5,1407.0,3.9,777319,687221,518692,669242,571970,808975,624424,571771,681624,56.59,0.254,0.352,0.0,1.0,0,0,5.0,70,3,Eephus,9,1,9,1,1,9,9,1,Standard,Standard,221.0,0.0,-0.251,,,0.591,0.251,95.6,8,8,0.999,0.999,36,27,36,27,1,0,46.0,1.0,6.0,9.0,8.34,0.42,0.42,28.5,,,,,
FF,2025-06-10,90.2,3.71,3.28,"Tolbert, Tyler",686475,657612,field_out,hit_into_play,,,,,6.0,Tyler Tolbert flies out to right fielder Cody Bellinger.,R,R,L,KC,NYY,X,9,fly_ball,3,2,2025,1.47,0.11,0.33,2.67,666023.0,671221.0,663697.0,2,9,Bot,182.06,138.8,,,,,-11.5885048130701,-130.71487285381517,4.327215296497781,19.350313974865944,27.919697584634164,-32.16464644814475,3.32,1.51,205.0,86.3,60.0,90.5,2133.0,6.7,777572,700250,641555,518934,672724,683011,691176,663757,641355,53.78,0.031,0.039,0.0,1.0,0,0,3.0,84,6,4-Seam Fastball,2,10,2,10,10,2,2,10,Standard,Standard,90.0,-0.001,-0.301,69.8,6.2,0.054,0.301,88.0,-8,-8,0.001,0.001,35,27,35,27,1,1,2.0,55.0,2.0,5.0,2.72,1.47,-1.47,-19.2,2.833510428544124,2.939933797332597,24.46978030320156,37.93238709990398,30.02985254936945
FF,2025-09-24,92.4,2.03,5.44,"Tolbert, Tyler",686475,579328,field_out,hit_into_play,,,,,4.0,Tyler Tolbert flies out to center fielder Bryce Teodosio.,R,R,L,LAA,KC,X,8,fly_ball,0,0,2025,0.55,1.24,-0.56,2.58,,,695506.0,2,5,Top,103.23,81.81,,,,,-7.880739259797094,-134.41144114357087,-4.237771819837253,8.349697562225296,28.88197597406368,-16.41130862573448,3.33,1.6,299.0,83.8,36.0,93.5,2204.0,6.9,776197,665861,694384,695681,650859,672724,621493,669326,666176,53.55,0.011,0.014,0.0,1.0,0,0,3.0,38,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,143.0,0.028,-0.271,69.5,6.5,0.025,0.271,88.0,2,-2,0.792,0.208,34,27,34,27,2,1,6.0,1.0,,,1.43,0.55,-0.55,39.3,9.107078695473442,-3.936699009590321,30.46461419966194,26.52563400538152,28.581024048531617
FF,2025-09-18,97.1,1.84,5.42,"Tolbert, Tyler",686475,642100,field_out,hit_into_play,,,,,2.0,Tyler Tolbert flies out to right fielder Victor Robles.,R,R,L,KC,SEA,X,9,fly_ball,0,0,2025,0.78,1.04,-0.15,2.94,,,695506.0,2,8,Bot,181.53,92.61,,,,,-7.001778702144269,-141.19439767473543,-3.4424743076988227,12.059214338530314,31.765938930639937,-17.616781000885315,3.33,1.6,298.0,83.6,33.0,95.6,2235.0,5.5,776272,663728,647304,660844,553993,641487,668227,677594,645302,55.04,0.014,0.014,0.0,1.0,0,0,3.0,56,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,144.0,-0.042,-0.271,65.7,5.7,0.026,0.271,88.0,-2,-2,0.113,0.113,30,27,30,27,1,0,1.0,1.0,2.0,1.0,1.37,0.78,-0.78,30.3,0.0365764506351888,10.667459106284609,23.103212495544213,30.99422930865085,24.61670487004719
FF,2025-09-17,94.4,-0.73,5.69,"Tolbert, Tyler",686475,682243,single,hit_into_play,,,,,5.0,Tyler Tolbert singles on a sharp line drive to left fielder Randy Arozarena. Carter Jensen to 2nd.,R,R,R,KC,SEA,X,7,line_drive,2,2,2025,-0.63,1.67,-0.04,2.26,,,695600.0,1,4,Bot,78.03,83.23,,,,,3.2034243582544177,-137.4267076921241,-7.008124227342759,-8.720856611589982,28.79149129806051,-9.630818447695146,3.3,1.6,233.0,103.3,11.0,94.8,2403.0,6.4,776289,641598,647304,593871,553993,641487,668227,677594,645302,54.11,0.931,0.901,0.9,1.0,1,0,4.0,34,5,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,206.0,0.032,0.439,73.0,6.7,1.146,-0.439,103.3,1,1,0.692,0.692,26,27,27,27,2,0,6.0,3.0,6.0,1.0,0.87,0.63,0.63,44.1,8.040664135334021,-1.949613700244944,30.24907932372252,33.95783934451231,30.581078820065425
FF,2025-09-14,93.0,-0.74,5.96,"Tolbert, Tyler",686475,676661,sac_fly,hit_into_play,,,,,2.0,Tyler Tolbert out on a sacrifice fly to right fielder Nick Castellanos. Vinnie Pasquantino scores.,R,R,R,PHI,KC,X,9,fly_ball,1,0,2025,-0.13,1.38,0.01,2.91,686469.0,,672580.0,1,9,Top,180.24,60.71,,,,,2.2589754200495435,-135.3967897779262,-5.157956257214248,-2.130718512590044,28.138247722332995,-14.252353620601186,3.32,1.51,367.0,97.3,31.0,94.3,2499.0,6.9,776334,592663,547180,642215,805249,681082,669016,664056,592206,53.57,0.249,0.429,0.0,1.0,0,0,5.0,71,2,4-Seam Fastball,3,9,9,3,10,3,10,3,Standard,Standard,200.0,-0.001,-0.169,69.7,6.1,0.807,0.169,97.3,-6,6,0.002,0.998,26,27,26,27,1,0,2.0,1.0,5.0,3.0,1.24,0.13,0.13,50.3,8.020265324593746,8.402142185822266,21.194964462972283,35.95534548198452,26.95518096430432
