pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-07-30,80.4,-1.3,6.2,"Turner, Trea",607208,678024,field_out,hit_into_play,,,,,5.0,Trea Turner flies out to center fielder Luis Robert Jr. Johan Rojas to 3rd.,R,R,R,CWS,PHI,X,8,fly_ball,0,1,2025,0.78,-1.23,-0.19,2.4,,679032.0,665561.0,0,8,Top,101.48,56.84,,,,,0.983213475674748,-117.0793425011281,0.6557691424034355,6.850833180223174,25.171085880340907,-43.74691114095069,3.5,1.7,357.0,95.3,32.0,79.7,2441.0,6.1,776939,700337,678246,672820,668942,695657,643217,673357,643565,54.44,0.149,0.252,0.0,1.0,0,0,3.0,64,2,Curveball,9,2,2,9,2,9,2,9,Standard,Standard,33.0,0.007,-0.211,69.0,7.2,0.471,0.211,95.3,7,-7,0.987,0.013,25,32,25,32,2,3,3.0,1.0,4.0,2.0,4.79,-0.78,-0.78,35.7,6.118354583778306,-6.069184906730235,26.413841191291528,33.17367546576011,34.92966199398556
FF,2025-07-30,95.5,-1.59,5.99,"Turner, Trea",607208,678024,field_out,hit_into_play,,,,,5.0,Trea Turner flies out to right fielder Mike Tauchman.,R,R,R,CWS,PHI,X,9,fly_ball,2,2,2025,-0.58,1.18,-0.23,2.91,,,,2,5,Top,186.88,83.28,,,,,4.89155712015766,-139.04329733714724,-5.192801898617415,-8.568098550949717,29.653853555583307,-15.840792554501686,3.5,1.7,324.0,94.2,28.0,95.9,2291.0,6.4,776939,700337,678246,805367,668942,695657,643217,673357,643565,54.14,0.14,0.211,0.0,1.0,0,0,3.0,36,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,217.0,0.014,-0.224,69.8,6.3,0.371,0.224,94.2,0,0,0.551,0.449,25,32,25,32,1,2,3.0,1.0,4.0,2.0,1.3,0.58,0.58,31.5,1.143794526021355,15.08262715516304,27.14745782712544,32.643473779760185,18.553756672614583
ST,2025-07-29,81.2,-2.36,5.85,"Turner, Trea",607208,686563,double,hit_into_play,,,,,1.0,Trea Turner doubles (23) on a line drive to left fielder Michael A. Taylor.,R,R,R,CWS,PHI,X,7,line_drive,1,2,2025,1.22,-0.09,-0.38,2.94,,,,0,3,Top,91.41,67.71,,,,,2.111664801361902,-118.22249828662736,0.3045250785712243,10.939234014447717,23.712029581097703,-33.32980110430389,3.5,1.7,337.0,95.7,22.0,81.0,2646.0,6.2,776952,691019,678246,672820,695657,805367,572191,673357,596103,54.26,0.217,0.249,1.25,1.0,1,1,3.0,19,6,Sweeper,0,2,2,0,2,0,2,0,Standard,Standard,69.0,-0.047,0.787,72.5,6.8,0.409,-0.787,95.7,-2,2,0.279,0.721,24,32,25,32,2,1,6.0,1.0,8.0,1.0,3.56,-1.22,-1.22,28.7,6.457684754212705,-5.192156273165875,26.683839088518088,31.222573685034867,27.38100015666156
SI,2025-07-29,91.6,-2.25,6.01,"Turner, Trea",607208,686563,field_out,hit_into_play,,,,,8.0,Trea Turner flies out to left fielder Michael A. Taylor.,R,R,R,CWS,PHI,X,7,fly_ball,0,0,2025,-1.39,0.45,0.11,2.15,,,,0,1,Top,69.38,68.36,,,,,8.935346553674446,-133.15303218350726,-4.894100994840363,-18.346891955835755,25.491842672732616,-26.027076728206907,3.5,1.7,363.0,95.1,32.0,91.7,2127.0,6.2,776952,691019,678246,672820,695657,805367,572191,673357,596103,54.31,0.149,0.252,0.0,1.0,0,0,3.0,1,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,229.0,0.022,-0.259,77.0,8.1,0.471,0.259,95.1,0,0,0.5,0.5,24,32,25,32,1,0,6.0,1.0,8.0,1.0,2.25,1.39,1.39,27.7,14.924888433655251,-13.020485504442096,31.585788678135028,38.944702128707135,37.61440785830848
FF,2025-07-28,95.0,-0.77,5.91,"Turner, Trea",607208,673929,field_out,hit_into_play,,,,,3.0,Trea Turner flies out to right fielder Austin Slater.,R,R,R,CWS,PHI,X,9,fly_ball,1,0,2025,-0.17,1.51,0.72,2.96,,,,1,7,Top,169.11,98.9,,,,,4.370422092964497,-138.21697979123277,-5.491028435612594,-3.2431736771427526,32.20890834439407,-11.830590693949611,3.49,1.7,272.0,90.4,47.0,96.1,2441.0,7.0,776972,700337,678246,672820,695657,805367,572191,673357,596103,53.47,0.003,0.003,0.0,1.0,0,0,3.0,52,2,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,193.0,0.023,-0.293,72.9,7.5,0.005,0.293,90.4,2,-2,0.857,0.143,26,32,27,32,1,3,2.0,1.0,4.0,1.0,1.03,0.17,0.17,52.0,18.557764075771736,10.843217967275862,22.200747522008385,45.36968203446122,30.61369592329764
FF,2025-07-27,95.3,2.31,6.46,"Turner, Trea",607208,607074,field_out,hit_into_play,,,,,8.0,Trea Turner flies out to right fielder Cody Bellinger.,R,R,L,NYY,PHI,X,9,fly_ball,2,0,2025,1.0,1.4,0.06,2.24,,,,1,3,Top,196.95,112.21,,,,,-8.081138753912258,-138.32861329776023,-8.474313685236329,14.667788971101288,33.57247747287698,-12.47846209544812,3.5,1.7,278.0,90.1,48.0,94.3,2397.0,6.1,776988,669224,700250,665862,641857,683011,691176,663757,641355,54.44,0.006,0.009,0.0,1.0,0,0,3.0,21,3,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,144.0,0.017,-0.364,78.2,7.5,0.013,0.364,90.1,2,-2,0.745,0.255,32,32,33,32,2,1,6.0,1.0,5.0,1.0,1.15,1.0,-1.0,45.5,-1.6199424350677247,2.7798900806116644,32.23226861372346,37.1526028807338,25.3172573216427
SI,2025-07-27,89.1,4.03,2.88,"Turner, Trea",607208,657612,field_out,hit_into_play,,,,,8.0,Trea Turner flies out to right fielder Cody Bellinger.,R,R,L,NYY,PHI,X,9,fly_ball,0,1,2025,1.2,-0.36,0.09,1.83,,,,0,8,Top,211.42,105.55,,,,,-12.192185601349856,-129.0806864203681,4.256801085093729,15.877023088963536,26.14897127639989,-37.36593700672324,3.5,1.7,313.0,90.2,27.0,89.2,2118.0,6.6,776988,669224,502671,665862,641857,683011,691176,663757,641355,53.95,0.094,0.12,0.0,1.0,0,0,3.0,59,2,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,66.0,0.054,-0.22,73.1,7.3,0.205,0.22,90.2,1,-1,0.753,0.247,35,32,35,32,1,3,2.0,1.0,1.0,1.0,3.25,1.2,-1.2,-26.9,-6.284970259140438,11.689895046558,38.72035503242492,35.77685709976768,18.442456202618715
SI,2025-07-26,96.5,-1.96,5.89,"Turner, Trea",607208,660787,double,hit_into_play,,,,,6.0,Trea Turner doubles (22) on a line drive to right fielder Cody Bellinger. Bryson Stott scores.,R,R,R,NYY,PHI,X,9,line_drive,1,0,2025,-1.32,0.41,0.4,2.46,681082.0,,,1,6,Top,209.58,110.64,,,,,9.33008361748482,-140.15252326952225,-4.4868479077854095,-19.57289814971121,31.63162193429071,-25.94354136953713,3.48,1.71,189.0,104.2,7.0,96.9,2037.0,6.6,777001,700250,502671,665862,641857,683011,691176,663757,641355,53.9,0.626,0.579,1.25,1.0,1,1,4.0,50,2,Sinker,1,4,4,1,5,1,5,1,Strategic,Standard,240.0,-0.033,0.549,72.9,6.9,0.696,-0.549,104.2,-3,3,0.101,0.899,27,32,28,32,1,3,38.0,1.0,4.0,1.0,2.05,1.32,1.32,24.4,-5.985919236174996,28.98305952076869,29.714972052164036,44.0765177194037,16.52471721153539
FF,2025-07-25,92.7,-2.57,5.53,"Turner, Trea",607208,701542,single,hit_into_play,,,,,3.0,Trea Turner singles on a sharp line drive to right fielder Aaron Judge.,R,R,R,NYY,PHI,X,9,line_drive,0,2,2025,-0.7,1.34,0.36,2.95,,,,0,5,Top,166.4,86.11,,,,,9.040190585593374,-134.6579929520281,-3.721945511057841,-10.555945304283943,30.058078235714,-15.212914622943137,3.48,1.71,244.0,101.9,12.0,92.8,2546.0,6.5,777015,669224,502671,665862,672724,683011,641355,663757,592450,53.99,0.943,0.901,0.9,1.0,1,0,4.0,35,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,224.0,-0.049,0.532,66.9,7.1,1.134,-0.532,101.9,2,-2,0.761,0.239,26,32,26,32,3,2,6.0,2.0,5.0,1.0,1.32,0.7,0.7,25.4,6.049404349487631,15.488062622957532,23.87906142968704,40.45101507717171,16.601228293283807
SI,2025-07-25,88.6,-4.09,3.93,"Turner, Trea",607208,664123,triple,hit_into_play,,,,,3.0,Trea Turner triples (3) on a sharp fly ball to right fielder Aaron Judge. Bryson Stott scores.,R,R,R,NYY,PHI,X,9,fly_ball,2,0,2025,-1.54,-0.55,0.41,2.98,,681082.0,,2,9,Top,152.55,42.28,,,,,14.020438996861133,-128.03827901147207,4.941192280954049,-19.86846869278988,27.55862854568419,-39.62248436663676,3.48,1.71,381.0,101.3,33.0,87.4,2206.0,6.0,777015,669224,502671,665862,678391,683011,641355,663757,592450,54.51,0.454,0.873,1.6,1.0,1,2,6.0,80,3,Sinker,5,11,11,5,12,5,12,5,Standard,Standard,280.0,-0.001,0.88,71.7,7.5,1.697,-0.88,101.3,-6,6,0.002,0.998,31,32,32,32,1,5,2.0,2.0,,1.0,3.5,1.54,1.54,1.0,18.91834104972263,6.444446966816526,20.411051440171565,42.31982161445835,30.54139268610939
