pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-28,94.7,-2.44,5.06,"Urías, Luis",649966,622491,single,hit_into_play,,,,,4.0,Luis Urías singles on a line drive to left fielder Randy Arozarena.,R,R,R,ATH,SEA,X,7,line_drive,2,0,2025,-1.49,0.29,-0.51,2.47,,,,2,3,Bot,79.17,137.5,,,,,8.190930293546304,-137.54653191738646,-1.6460945954101185,-20.78904754936923,34.089493390179406,-28.39467457107813,3.19,1.51,194.0,79.2,15.0,92.3,2205.0,5.2,776957,663728,647304,593871,810938,664238,668227,677594,686527,55.25,0.8,0.733,0.9,1.0,1,0,4.0,21,3,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,245.0,0.015,0.224,76.5,7.1,0.881,-0.224,88.0,-1,-1,0.384,0.384,32,28,33,28,1,0,5.0,1.0,5.0,1.0,2.29,1.49,1.49,11.4,8.06858399925026,-3.245849893648222,26.31953920685477,26.78126987305972,33.887743998058816
FF,2025-07-27,89.3,2.41,5.77,"Urías, Luis",649966,676467,field_out,hit_into_play,,,,,11.0,Luis Urías lines out to left fielder Cooper Hummel.,R,R,L,HOU,ATH,X,7,line_drive,1,2,2025,0.67,1.42,-0.01,3.47,,,,0,5,Top,81.22,105.24,,,,,-7.4181057449613395,-129.83465275639304,-2.637157496713087,9.089860885573282,27.234038485560955,-15.80900841702528,3.23,1.52,260.0,86.9,18.0,90.0,2073.0,6.8,776976,605170,572233,514888,643289,670097,669450,666211,701358,53.71,0.851,0.795,0.0,1.0,0,0,4.0,31,5,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,146.0,0.007,-0.189,68.2,6.5,0.979,0.189,88.0,-4,4,0.095,0.905,26,28,27,28,2,1,6.0,1.0,6.0,1.0,1.45,0.67,-0.67,35.2,5.725281202733198,3.686020371787944,20.42156508110712,33.224034658635155,27.970696392328
ST,2025-07-27,79.3,2.88,5.39,"Urías, Luis",649966,676467,field_out,hit_into_play,,,,,5.0,Luis Urías lines out to left fielder Cooper Hummel.,R,R,L,HOU,ATH,X,7,line_drive,0,2,2025,-1.55,0.38,0.08,2.08,,,,0,3,Top,65.02,117.8,,,,,-3.263519587863006,-115.43353326293166,-1.1028217143704222,-13.025966697666073,24.087890345690624,-28.817027206976064,3.23,1.52,252.0,75.0,29.0,79.5,2657.0,6.7,776976,605170,572233,514888,643289,670097,669450,666211,701358,53.81,0.454,0.414,0.0,1.0,0,0,3.0,16,5,Sweeper,0,2,2,0,2,0,2,0,Infield shade,Standard,292.0,0.017,-0.165,71.0,8.3,0.502,0.165,88.0,-2,2,0.279,0.721,26,28,27,28,1,0,6.0,1.0,6.0,1.0,3.28,-1.55,1.55,30.5,12.71287776932885,-16.84844617955432,30.993817114182846,33.543291263977245,33.57539477741224
FF,2025-07-27,90.9,3.31,6.08,"Urías, Luis",649966,595345,single,hit_into_play,,,,,3.0,Luis Urías singles on a line drive to center fielder Taylor Trammell. Carlos Cortes scores. Max Schuemann to 2nd.,R,R,L,HOU,ATH,X,8,line_drive,1,1,2025,0.45,1.26,0.59,3.1,,666126.0,680474.0,1,9,Top,114.5,92.77,,,,,-7.7655831891548255,-132.1372432120266,-4.195730867321895,7.0603814511942105,30.92377018646162,-16.721287898935294,3.23,1.52,282.0,95.3,16.0,90.4,2290.0,6.3,776976,605170,572233,514888,643289,670097,669450,666211,701358,54.23,0.654,0.626,0.9,1.0,1,0,4.0,67,3,4-Seam Fastball,0,6,6,0,7,0,7,0,Infield shade,Standard,147.0,-0.001,0.492,72.6,7.4,0.83,-0.492,95.3,-6,6,0.002,0.998,33,28,34,28,1,3,3.0,1.0,3.0,1.0,1.52,0.45,-0.45,33.8,13.949325873511771,7.296219193063221,20.15994895228853,40.78567459206419,28.708946105000987
FA,2025-07-25,75.5,-1.44,5.74,"Urías, Luis",649966,669450,field_out,hit_into_play,,,,,5.0,Luis Urías flies out to left fielder Taylor Trammell.,R,R,R,HOU,ATH,X,7,fly_ball,0,1,2025,-0.33,1.55,-0.09,2.63,,,,0,9,Top,85.3,77.18,,,,,3.2965753545939176,-109.90698985154847,-2.0028156819231127,-3.298334904693362,21.77256147215213,-19.555272122385222,3.24,1.52,318.0,97.6,43.0,73.1,1785.0,4.7,777007,673237,572138,694728,694376,670097,666211,676801,701358,55.76,0.04,0.065,0.0,1.0,0,0,3.0,71,2,Other,2,11,11,2,11,2,11,2,Infield shade,Standard,214.0,0.0,-0.22,74.9,8.0,0.124,0.22,97.6,-9,9,0.001,0.999,30,28,31,28,1,0,,1.0,,1.0,2.48,0.33,0.33,30.4,20.44611001145398,-15.710580469138968,27.693052751151203,32.81498040263321,35.62266456021443
FF,2025-07-22,98.6,-1.44,5.47,"Urías, Luis",649966,594798,field_out,hit_into_play,,,,,6.0,Luis Urías flies out to right fielder Adolis García.,R,R,R,TEX,ATH,X,9,fly_ball,1,2,2025,-0.81,1.27,0.36,2.28,,,,1,3,Top,190.5,129.34,,,,,6.824081890562418,-143.22670633177196,-6.1240231176988695,-12.8856715244113,37.15021674840926,-13.528689426735134,3.24,1.52,236.0,77.0,44.0,98.7,2542.0,6.7,777043,543309,642133,543760,673962,608369,694671,694497,666969,53.78,0.077,0.077,0.0,1.0,0,0,3.0,17,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,224.0,0.016,-0.18,70.5,7.0,0.105,0.18,88.0,-1,1,0.404,0.596,37,28,37,28,1,0,10.0,1.0,6.0,1.0,1.11,0.81,0.81,28.0,1.101024071918177,15.474701839317712,28.172872256390058,37.628024631509376,19.496653869644707
FF,2025-07-22,94.2,-1.96,6.34,"Urías, Luis",649966,592426,field_out,hit_into_play,,,,,12.0,Luis Urías flies out to center fielder Evan Carter.,R,R,R,TEX,ATH,X,8,fly_ball,1,2,2025,-0.39,1.63,0.7,3.38,,609280.0,687515.0,2,7,Top,95.42,53.18,,,,,7.863570480594375,-136.84133931105734,-5.601266995771583,-6.824594057528948,33.07907434011775,-10.641344169124988,3.24,1.52,368.0,96.4,32.0,94.7,2308.0,6.9,777043,543309,642133,543760,673962,608369,694671,694497,666969,53.63,0.209,0.361,0.0,1.0,0,0,5.0,50,4,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,207.0,0.084,-0.191,69.7,7.3,0.674,0.191,96.4,1,-1,0.71,0.29,33,28,34,28,1,2,2.0,1.0,5.0,1.0,0.96,0.39,0.39,52.4,15.275960639661704,-1.1921389493327814,14.401579806189304,41.80128821181345,29.912416286431192
SI,2025-07-22,94.7,-1.67,5.53,"Urías, Luis",649966,542888,single,hit_into_play,,,,,1.0,Luis Urías singles on a fly ball to center fielder Evan Carter.,R,R,R,TEX,ATH,X,8,fly_ball,0,0,2025,-1.36,0.71,-0.31,2.97,,,,2,9,Top,130.15,90.09,,,,,6.646671177352321,-137.79714650037224,-2.589324827466018,-18.75348435258841,31.926911846355043,-22.81571268345308,3.24,1.52,247.0,73.3,26.0,95.4,2091.0,6.8,777043,641680,642133,543760,673962,608369,694671,694497,666969,53.69,0.86,0.784,0.9,1.0,1,0,4.0,69,1,Sinker,6,2,2,6,2,6,2,6,Standard,Standard,218.0,-0.002,0.326,69.5,6.5,0.925,-0.326,88.0,4,-4,0.999,0.001,34,28,35,28,1,3,1.0,1.0,3.0,1.0,1.84,1.36,1.36,34.4,4.661990144438137,13.055745891601967,22.570005096574302,30.656792033805772,27.110396597915624
SL,2025-07-21,89.0,-1.46,5.73,"Urías, Luis",649966,683004,field_out,hit_into_play,,,,,6.0,Luis Urías lines out to left fielder Wyatt Langford.,R,R,R,TEX,ATH,X,7,line_drive,1,1,2025,0.23,0.26,0.61,2.18,,,,1,3,Top,92.42,84.28,,,,,4.617806939936877,-129.53913410467936,-3.249151905511625,1.64825026521884,27.755959160894783,-28.71233788359303,3.22,1.52,297.0,95.4,17.0,89.9,2606.0,6.9,777057,543309,669701,543760,673962,608369,694671,680737,666969,53.63,0.56,0.537,0.0,1.0,0,0,4.0,16,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,127.0,0.018,-0.244,71.7,8.0,0.721,0.244,95.4,0,0,0.525,0.475,25,28,25,28,1,0,10.0,2.0,6.0,1.0,2.62,-0.23,-0.23,46.0,12.08075767830722,-0.8010699812295963,24.15713568243111,42.497414745643,35.654541693117615
SI,2025-07-02,95.0,-0.99,5.86,"Urías, Luis",649966,686752,field_out,hit_into_play,,,,,4.0,Luis Urías flies out to right fielder Josh Lowe.,R,R,R,TB,ATH,X,9,fly_ball,0,0,2025,-0.92,1.34,-0.37,2.42,,,,1,4,Top,169.46,134.37,,,,,3.7160686911783154,-138.27583534083396,-6.436438317538635,-12.58675530147744,29.872246991242072,-13.760511081444946,3.18,1.51,197.0,88.9,59.0,96.0,2275.0,6.8,777271,642136,666018,664040,691406,670764,663968,802415,666139,53.72,0.029,0.038,0.0,1.0,0,0,3.0,27,1,Sinker,1,2,2,1,2,1,2,1,Infield shade,Standard,211.0,0.016,-0.254,71.6,7.2,0.053,0.254,88.9,-1,1,0.394,0.606,27,28,28,28,2,1,5.0,1.0,6.0,17.0,1.18,0.92,0.92,39.8,9.988905563120367,2.7168069172140346,33.7274341075751,29.57173250411185,26.350160320940763
