pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-28,91.0,1.04,6.1,"Varsho, Daulton",662139,693855,single,hit_into_play,,,,,7.0,Daulton Varsho singles on a line drive to right fielder Josh Lowe. Davis Schneider to 3rd. Vladimir Guerrero Jr. to 2nd.,R,L,L,TOR,TB,X,9,line_drive,1,0,2025,0.3,1.34,-0.43,1.57,,676914.0,665489.0,1,1,Bot,174.54,112.58,,,,,-4.3258290802121255,-132.31624861100403,-8.348760134130274,4.4805339717688994,27.82015104707067,-14.817818177435331,3.38,1.54,247.0,83.1,21.0,90.9,2093.0,6.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.26,0.717,0.666,0.9,1.0,1,0,4.0,9,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,155.0,0.058,0.447,77.4,8.5,0.83,-0.447,88.0,0,0,0.585,0.585,26,28,27,29,1,0,5.0,1.0,,6.0,1.41,0.3,0.3,55.6,17.797262259796653,-7.774738518152898,34.89835757299668,39.75969126433914,32.314956560109515
SI,2025-09-28,91.1,-1.68,3.84,"Varsho, Daulton",662139,687330,single,hit_into_play,,,,,7.0,Daulton Varsho singles on a sharp line drive to center fielder Jake Mangum.,R,L,R,TOR,TB,X,8,line_drive,0,0,2025,-1.09,-0.03,-0.63,2.07,,,,1,7,Bot,157.4,72.09,,,,,5.070781324401681,-132.59005238746272,1.5350661943190778,-13.883283604201322,27.038425907896524,-33.08044125363822,3.38,1.54,220.0,104.9,10.0,92.8,1989.0,7.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.3,0.874,0.849,0.9,1.0,1,0,4.0,65,1,Sinker,8,4,8,4,4,8,8,4,Infield shade,Standard,251.0,0.003,0.415,76.2,7.9,1.083,-0.415,104.9,4,4,0.971,0.971,27,28,28,29,1,3,3.0,1.0,,6.0,2.77,1.09,-1.09,3.9,3.7115763147780414,-0.1152958146792735,29.97740658361848,41.50599690789618,24.45040779252321
CH,2025-09-28,87.1,-1.83,4.48,"Varsho, Daulton",662139,670955,field_out,hit_into_play,,,,,7.0,Daulton Varsho flies out to center fielder Jake Mangum.,R,L,R,TOR,TB,X,8,fly_ball,0,0,2025,-1.3,-0.03,-0.72,2.04,,,623993.0,0,5,Bot,126.27,55.22,,,,,5.366341496933988,-126.76448986295188,0.3676311783992236,-15.136994744648067,25.21105481190579,-32.77808074391992,3.38,1.54,356.0,94.9,31.0,87.4,1959.0,6.4,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.1,0.137,0.232,0.0,1.0,0,0,5.0,47,1,Changeup,6,4,6,4,4,6,6,4,Standard,Standard,245.0,-0.02,-0.242,77.2,8.0,0.459,0.242,94.9,2,2,0.841,0.841,27,28,27,29,1,2,4.0,1.0,,6.0,3.03,1.3,-1.3,12.2,2.9208430479551177,2.4215504219793385,30.36310287826264,42.672692765712895,29.22500366963133
CH,2025-09-27,92.7,-0.41,5.53,"Varsho, Daulton",662139,643377,field_out,hit_into_play,,,,,4.0,Daulton Varsho flies out to center fielder Chandler Simpson.,R,L,R,TOR,TB,X,8,fly_ball,1,0,2025,-1.22,0.45,-0.5,2.36,,,,2,6,Bot,144.29,105.68,,,,,2.4193559491417918,-135.03034081082387,-3.349255849140644,-15.479825756838803,26.6440321767464,-26.19294840978333,3.38,1.54,239.0,92.6,54.0,93.3,1951.0,6.4,776159,663743,666018,664040,691406,700246,666624,802415,663968,54.12,0.006,0.009,0.0,1.0,0,0,3.0,51,2,Changeup,4,1,4,1,1,4,4,1,Standard,Standard,223.0,-0.003,-0.298,75.1,8.2,0.013,0.298,92.6,3,3,0.905,0.905,30,28,31,29,1,2,3.0,1.0,,1.0,2.18,1.22,-1.22,45.8,12.47839404262246,-7.348889487064181,25.898199926389665,40.29087830726419,31.27167490592305
SI,2025-09-26,93.9,-1.16,5.65,"Varsho, Daulton",662139,605288,field_out,hit_into_play,,,,,5.0,Daulton Varsho flies out sharply to right fielder Josh Lowe.,R,L,R,TOR,TB,X,9,fly_ball,0,2,2025,-1.34,0.9,0.05,2.58,,,,0,6,Bot,175.84,105.01,,,,,6.145221225839645,-136.58619234206049,-4.211201838828346,-18.123687063375748,31.1146295629599,-20.21113508579291,3.39,1.55,265.0,101.7,52.0,94.3,2163.0,6.6,776177,676439,666018,664040,691406,700246,663968,802415,666139,53.87,0.014,0.024,0.0,1.0,0,0,3.0,49,4,Sinker,4,2,4,2,2,4,4,2,Infield shade,Standard,225.0,-0.012,-0.165,82.4,7.7,0.042,0.165,101.7,2,2,0.852,0.852,32,28,32,29,3,2,6.0,1.0,,1.0,1.7,1.34,-1.34,36.0,12.867585272005892,-12.495351155121115,25.13540668954757,33.817697143745704,31.602033010395864
SI,2025-09-26,94.6,-1.26,5.64,"Varsho, Daulton",662139,605288,field_out,hit_into_play,,,,,7.0,Daulton Varsho flies out to center fielder Chandler Simpson.,R,L,R,TOR,TB,X,8,fly_ball,1,0,2025,-1.26,0.46,-0.66,1.97,,,,0,4,Bot,132.96,85.45,,,,,4.415697406291313,-137.72141914081234,-4.941172797820647,-17.063252015861778,30.81952020188984,-25.457151503368827,3.39,1.55,284.0,87.4,43.0,95.2,2206.0,6.6,776177,676439,666018,664040,691406,700246,663968,802415,666139,53.87,0.006,0.008,0.0,1.0,0,0,3.0,32,2,Sinker,2,2,2,2,2,2,2,2,Infield shade,Standard,231.0,-0.027,-0.301,,,0.012,0.301,88.0,0,0,0.559,0.559,32,28,32,29,2,1,6.0,1.0,,1.0,2.09,1.26,-1.26,35.0,,,,,
FF,2025-09-26,96.4,-1.16,5.89,"Varsho, Daulton",662139,605288,double,hit_into_play,,,,,5.0,Daulton Varsho doubles (13) on a line drive to center fielder Chandler Simpson.,R,L,R,TOR,TB,X,8,line_drive,0,2,2025,-0.71,1.24,0.02,2.76,,,,1,2,Bot,171.0,58.0,,,,,4.749311883211267,-140.22689492624457,-5.540931597021513,-10.442629195574986,33.232015782313084,-14.78256237428994,3.39,1.55,344.0,99.7,19.0,96.3,2342.0,6.4,776177,676439,666018,664040,691406,700246,663968,802415,666139,54.12,0.374,0.449,1.25,1.0,1,1,5.0,15,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,222.0,0.046,0.733,76.3,7.1,0.705,-0.733,99.7,-1,-1,0.412,0.412,32,28,32,29,1,0,6.0,1.0,,1.0,1.23,0.71,-0.71,40.8,10.054933820571836,0.7675690760797207,22.82908029924565,34.97834705201363,26.187323294778828
SI,2025-09-25,91.5,2.13,5.29,"Varsho, Daulton",662139,669684,single,hit_into_play,,,,,13.0,Daulton Varsho singles on a sharp line drive to center fielder Ceddanne Rafaela. Myles Straw to 2nd.,R,L,L,TOR,BOS,X,8,line_drive,0,0,2025,1.19,0.4,-0.04,1.32,,,664702.0,2,7,Bot,146.22,85.4,,,,,-8.000804018499416,-132.90635429861317,-4.955112046985537,15.88273830101594,29.903039835991603,-26.51478332042028,3.4,1.56,191.0,104.5,8.0,90.9,2120.0,6.1,776186,657136,663993,663853,608324,596115,680776,678882,608701,54.39,0.674,0.627,0.9,1.0,1,0,4.0,56,1,Sinker,6,1,6,1,1,6,6,1,Standard,Standard,144.0,0.001,0.345,75.4,8.1,0.757,-0.345,104.5,5,5,0.986,0.986,27,28,27,29,1,3,6.0,1.0,2.0,1.0,2.34,1.19,1.19,37.4,3.5495384581442133,1.5672467814290725,41.92387581840664,36.15218941729916,25.65926426391936
FF,2025-09-24,97.2,1.93,6.11,"Varsho, Daulton",662139,676979,single,hit_into_play,,,,,11.0,Daulton Varsho singles on a line drive to center fielder Ceddanne Rafaela.,R,L,L,TOR,BOS,X,8,line_drive,2,1,2025,0.35,1.4,-1.04,2.95,,,,2,5,Bot,127.67,105.65,,,,,-8.83795102795157,-141.20745432603752,-6.198798167837907,6.749063443945955,32.58396036875261,-12.208480725868124,3.39,1.56,254.0,79.5,21.0,98.0,2380.0,6.9,776206,665966,663993,663853,608324,596115,680776,678882,677800,53.63,0.869,0.785,0.9,1.0,1,0,4.0,41,4,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,144.0,0.01,0.289,,,0.944,-0.289,88.0,-4,-4,0.081,0.081,26,28,26,29,2,1,5.0,1.0,6.0,1.0,1.02,0.35,0.35,36.8,,,,,
FF,2025-09-23,92.9,-1.39,6.36,"Varsho, Daulton",662139,608337,field_out,hit_into_play,,,,,8.0,Daulton Varsho flies out to left fielder Jarren Duran.,R,L,R,TOR,BOS,X,7,fly_ball,2,2,2025,-0.69,1.48,0.07,1.68,,,,0,3,Bot,58.89,80.63,,,,,5.288956718288363,-134.7825461067861,-9.380853404525592,-9.671019345316967,32.29596056289204,-12.270931562632844,3.39,1.56,337.0,97.7,24.0,92.8,2232.0,6.6,776217,665966,663993,663853,608324,596115,680776,678882,677800,53.85,0.389,0.565,0.0,1.0,0,0,5.0,23,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,206.0,-0.027,-0.232,76.8,7.4,0.959,0.232,97.7,-1,-1,0.43,0.43,30,28,31,29,2,1,6.0,2.0,,1.0,1.2,0.69,-0.69,50.6,0.8482070241118699,14.276337398624635,38.312390112352624,33.02171744484758,19.6636095434219
