pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-06-30,87.5,4.42,4.11,"Vázquez, Luis",676679,571948,single,hit_into_play,,,,,7.0,"Orioles challenged (tag play), call on the field was overturned: Luis Vázquez singles on a line drive to center fielder Sam Haggerty. Ryan O'Hearn scores. Luis Vázquez to 2nd.",R,R,L,TEX,BAL,X,8,line_drive,2,0,2025,1.56,-0.25,-0.45,1.55,,656811.0,,1,11,Top,106.42,89.55,,,,,-15.007788103886682,-126.52675249863208,0.6028723727961343,19.930109509061715,26.975699996306584,-35.269140328952204,3.37,1.53,212.0,106.3,10.0,87.5,1975.0,6.7,777292,641680,669701,543760,673962,608369,696030,664059,666969,53.75,0.849,0.841,0.9,1.0,1,0,4.0,87,3,Sinker,6,6,6,6,7,6,7,6,Standard,Standard,104.0,-0.283,0.464,81.9,7.6,1.068,-0.464,106.3,0,0,0.615,0.385,34,25,34,26,1,0,2.0,6.0,4.0,10.0,3.28,1.56,-1.56,-6.4,0.9289374652273008,14.75167013986236,42.80797896165758,35.12822146392985,26.484812291864724
FF,2025-06-15,95.5,2.41,5.38,"Vázquez, Luis",676679,579328,field_out,hit_into_play,,,,,4.0,Luis Vázquez flies out to center fielder Jo Adell.,R,R,L,BAL,LAA,X,8,fly_ball,0,0,2025,0.86,1.51,-0.65,2.13,,,691723.0,1,5,Bot,96.34,58.74,,,,,-10.110869660281224,-138.53520781168166,-6.352504503119605,13.405215074290195,32.04301288751245,-11.401642511394188,3.37,1.53,355.0,93.7,33.0,96.3,2151.0,7.0,777501,518595,694384,650859,621028,687263,621493,666176,624585,53.48,0.114,0.193,0.0,1.0,0,0,3.0,36,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Infield shade,Standard,143.0,-0.026,-0.256,76.0,7.8,0.361,0.256,93.7,1,1,0.715,0.715,34,25,34,26,2,1,6.0,,5.0,5.0,1.01,0.86,-0.86,36.4,14.37218651640614,-3.7962113142070746,38.59818587345578,28.55654306022588,28.77190098877748
FC,2025-06-15,87.4,-2.86,5.87,"Vázquez, Luis",676679,641401,field_out,hit_into_play,,,,,6.0,Luis Vázquez lines out to left fielder Taylor Ward.,R,R,R,BAL,LAA,X,7,line_drive,0,0,2025,0.29,1.08,0.37,2.44,,,,0,7,Bot,58.56,84.44,,,,,7.283898360469943,-127.12004026121434,-4.4570944081128046,1.7720183527566653,24.229811845682697,-19.67289186972916,3.37,1.53,328.0,97.8,23.0,88.8,2341.0,7.0,777501,518595,694384,695681,650859,687263,621493,666176,624585,53.47,0.331,0.449,0.0,1.0,0,0,5.0,54,1,Cutter,5,2,5,2,2,5,5,2,Infield shade,Standard,179.0,-0.005,-0.259,77.4,8.3,0.762,0.259,97.8,3,3,0.946,0.946,30,25,30,26,1,2,2.0,,3.0,5.0,1.88,-0.29,-0.29,30.7,23.323669662562587,-9.849692330370164,29.44123943370774,41.7872325721474,39.08415622090722
FF,2025-09-07,88.8,1.84,6.1,"Vázquez, Luis",676679,477132,field_out,hit_into_play,,,,,7.0,Luis Vázquez lines out to center fielder Enrique Hernández.,R,R,L,BAL,LAD,X,8,line_drive,2,0,2025,-0.06,1.71,-0.41,1.95,,,,1,3,Bot,144.63,77.81,,,,,-5.381562271449593,-129.0977330875242,-7.680096635112131,0.5459242494932163,28.0109607929723,-11.5939830186039,3.48,1.61,305.0,87.3,24.0,88.7,2400.0,6.4,776427,666163,518692,808975,500743,605141,624424,571771,669743,54.1,0.14,0.126,0.0,1.0,0,0,3.0,23,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,174.0,-0.016,-0.364,77.3,7.5,0.193,0.364,88.0,-3,-3,0.201,0.201,37,25,37,26,1,0,5.0,4.0,6.0,11.0,1.19,-0.06,0.06,52.7,3.77993430184576,12.308495127197322,38.13322720410239,31.35931363358697,27.09871976744053
FF,2025-09-07,95.5,2.3,5.46,"Vázquez, Luis",676679,680736,single,hit_into_play,,,,,4.0,Luis Vázquez singles on a line drive to left fielder Michael Conforto. Coby Mayo to 3rd.,R,R,L,BAL,LAD,X,7,line_drive,0,1,2025,0.66,1.37,-0.81,2.24,,,691723.0,1,7,Bot,61.76,122.79,,,,,-9.503334623825111,-138.51204869365392,-5.725222024560069,10.887768756597056,36.883282903619154,-13.449757700337496,3.48,1.61,166.0,99.5,10.0,93.4,2401.0,5.7,776427,666163,518692,808975,500743,605141,624424,571771,669743,54.85,0.783,0.753,0.9,1.0,1,0,4.0,59,2,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,142.0,0.098,0.446,76.1,7.4,0.938,-0.446,99.5,-2,-2,0.216,0.216,24,25,25,26,1,2,4.0,4.0,6.0,11.0,1.19,0.66,-0.66,38.3,10.856459845722895,-1.5622454920037288,36.49232059340047,29.12254744257715,32.17495106166798
SL,2025-08-25,86.6,0.38,6.3,"Vázquez, Luis",676679,547973,field_out,hit_into_play,,,,,8.0,Luis Vázquez flies out to left fielder Jarren Duran.,R,R,L,BAL,BOS,X,7,fly_ball,1,0,2025,-0.81,0.35,-0.12,1.99,,,,2,9,Bot,73.4,92.85,,,,,0.4598318939378646,-126.12381583120026,-4.880839803458753,-8.702352935046173,25.629011464368,-27.69250543059169,3.45,1.56,293.0,93.4,45.0,88.4,2329.0,7.4,776604,657136,663993,666152,608324,596115,680776,678882,701350,53.12,0.006,0.008,0.0,1.0,0,0,3.0,72,2,Slider,3,4,3,4,4,3,3,4,Standard,Strategic,277.0,-0.044,-0.298,72.9,8.3,0.012,0.298,93.4,-1,-1,0.044,0.044,37,25,37,26,1,3,3.0,1.0,2.0,4.0,2.69,-0.81,0.81,52.9,20.22852341249692,-16.469863922347294,32.190891435363454,36.84371257049904,43.03379410144072
ST,2025-08-24,79.9,-2.24,4.95,"Vázquez, Luis",676679,681293,field_out,hit_into_play,,,,,14.0,Luis Vázquez lines out to center fielder Chas McCormick.,R,R,R,BAL,HOU,X,8,line_drive,1,1,2025,1.5,0.3,0.98,2.43,,,,2,5,Bot,155.76,77.26,,,,,4.348933396352295,-116.38880387038309,0.5583091238787241,12.970539024536183,20.030473254112447,-29.682781686591248,3.45,1.56,311.0,93.8,20.0,81.5,2731.0,7.1,776612,673237,572233,602104,621043,665161,643289,676801,701358,53.39,0.306,0.335,0.0,1.0,0,0,4.0,40,3,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,76.0,-0.014,-0.244,70.3,7.6,0.528,0.244,93.8,0,0,0.514,0.514,25,25,25,26,2,1,6.0,2.0,6.0,1.0,3.23,-1.5,-1.5,17.9,13.760554150250572,9.409497378004495,25.024412806887064,48.82616191993624,32.53049481611767
SL,2025-08-22,83.1,-1.76,5.07,"Vázquez, Luis",676679,621121,field_out,hit_into_play,,,,,9.0,Luis Vázquez flies out to right fielder Cam Smith.,R,R,R,BAL,HOU,X,9,fly_ball,1,2,2025,1.48,0.27,0.73,1.86,,691723.0,687637.0,0,4,Bot,190.09,114.06,,,,,2.7855669941503804,-121.09292196836788,-1.4465219244331111,13.992812088888924,24.04950603443645,-29.402726771248187,3.42,1.55,264.0,82.6,43.0,82.8,2774.0,6.1,776643,673237,572233,602104,621043,665161,643289,676801,701358,54.42,0.009,0.01,0.0,1.0,0,0,3.0,34,5,Slider,0,4,0,4,4,0,0,4,Standard,Standard,71.0,-0.05,-0.173,74.0,7.9,0.015,0.173,88.0,-4,-4,0.219,0.219,31,25,32,26,2,1,34.0,3.0,9.0,2.0,3.02,-1.48,-1.48,22.0,9.643432228735026,10.508725918964426,30.497691719441143,48.08290609515552,30.94903850175193
ST,2025-08-22,83.1,-2.43,5.51,"Vázquez, Luis",676679,681869,single,hit_into_play,,,,,9.0,Luis Vázquez singles on a fly ball to center fielder Chas McCormick. Dylan Beavers to 2nd.,R,R,R,BAL,HOU,X,8,fly_ball,2,2,2025,1.22,-0.13,0.76,1.44,,,687637.0,0,6,Bot,135.09,109.12,,,,,4.945272281503114,-120.97834794332168,-2.581355596661705,10.855214183486016,25.387005251153337,-33.09332884781684,3.42,1.55,226.0,69.9,29.0,83.2,2962.0,6.5,776643,673237,572233,602104,621043,665161,643289,676801,701358,54.03,0.897,0.816,0.9,1.0,1,0,4.0,54,5,Sweeper,3,7,3,7,7,3,3,7,Standard,Standard,72.0,0.055,0.512,61.7,8.2,0.958,-0.512,88.0,-4,-4,0.121,0.121,29,25,30,26,1,2,2.0,3.0,6.0,2.0,3.44,-1.22,-1.22,27.5,6.386079184112571,-7.649440396823785,29.275370908823405,47.64258759629847,39.18199222713913
FC,2025-08-19,88.8,-1.64,5.47,"Vázquez, Luis",676679,621111,field_out,hit_into_play,,,,,6.0,Luis Vázquez flies out to right fielder Roman Anthony.,R,R,R,BOS,BAL,X,9,fly_ball,0,0,2025,0.48,0.79,0.41,2.64,,,,1,3,Top,211.21,96.85,,,,,4.039605739995504,-129.3177715446144,-2.5803357828754865,4.6571459564475495,25.626230202142743,-22.95801114458118,3.37,1.53,327.0,99.5,31.0,89.6,2399.0,6.7,776684,657136,647351,663853,608324,596115,807799,680776,701350,53.85,0.509,0.94,0.0,1.0,0,0,6.0,19,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,171.0,0.018,-0.254,73.6,7.1,1.81,0.254,99.5,0,0,0.525,0.475,30,25,31,26,2,1,6.0,1.0,5.0,3.0,2.08,-0.48,-0.48,46.4,6.224573266436444,18.28208511858401,29.151730615065432,41.89925003215055,25.12860971928862
