pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-25,81.1,-2.6,5.74,"Wilson, Jacob",805779,663321,field_out,hit_into_play,,,,,11.0,Jacob Wilson flies out to center fielder Chas McCormick.,R,R,R,HOU,ATH,X,8,fly_ball,2,2,2025,0.59,0.22,-0.18,3.54,,667670.0,691016.0,2,6,Top,118.35,97.87,,,,,4.280365510414221,-117.98086834741476,1.325974819771934,4.679416945394497,23.279825504428864,-30.654640427220745,3.22,1.53,254.0,76.8,42.0,81.4,2576.0,6.6,777007,673237,572233,514888,643289,670097,669450,676801,701358,53.88,0.063,0.057,0.0,1.0,0,0,3.0,52,5,Slider,2,10,10,2,10,2,10,2,Standard,Standard,127.0,0.001,-0.203,53.1,5.2,0.074,0.203,88.0,-8,8,0.007,0.993,30,23,31,23,2,3,34.0,2.0,8.0,28.0,3.26,-0.59,-0.59,43.7,6.130018157630702,1.0062286590726917,21.019463674215917,28.003168401513776,33.3597107869257
SL,2025-07-23,87.0,-1.72,5.51,"Wilson, Jacob",805779,592351,field_out,hit_into_play,,,,,8.0,Jacob Wilson lines out to center fielder Evan Carter.,R,R,R,TEX,ATH,X,8,line_drive,1,0,2025,0.31,0.22,-0.22,1.92,,,,1,8,Top,111.83,58.68,,,,,2.9541259767197805,-126.71198611163535,-2.9453590800873863,2.7885658171657104,23.82665995812833,-29.449316368368358,3.23,1.54,349.0,95.6,21.0,87.2,2384.0,6.2,777033,641680,677649,543760,673962,608369,694671,694497,666969,54.29,0.289,0.355,0.0,1.0,0,0,3.0,54,2,Slider,2,1,1,2,1,2,1,2,Standard,Standard,153.0,0.039,-0.293,64.2,6.1,0.568,0.293,95.6,1,-1,0.807,0.193,33,23,34,23,1,3,,1.0,3.0,2.0,2.77,-0.31,-0.31,29.6,2.6864140960588463,-5.512621685400032,39.46883260930384,31.092422854104036,33.359236699864894
SI,2025-07-23,92.3,2.52,6.26,"Wilson, Jacob",805779,571578,field_out,hit_into_play,,,,,6.0,Jacob Wilson flies out to right fielder Adolis García.,R,R,L,TEX,ATH,X,9,fly_ball,0,0,2025,1.26,0.86,0.46,2.21,,,,0,1,Top,150.33,96.6,,,,,-8.04857730930232,-134.0507405198769,-6.378058488534873,16.98079669502393,29.076727212546693,-20.545183569571268,3.23,1.54,263.0,76.8,33.0,93.0,1959.0,6.8,777033,641680,677649,543760,673962,608369,694671,680737,666969,53.7,0.134,0.145,0.0,1.0,0,0,3.0,1,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,141.0,0.022,-0.259,64.6,6.1,0.199,0.259,88.0,0,0,0.5,0.5,35,23,36,23,1,0,5.0,1.0,6.0,2.0,1.82,1.26,-1.26,38.8,-0.7800010216623776,-7.015467770120819,39.06890741606245,36.14575963501869,32.517527065480095
SI,2025-07-21,95.6,-1.4,5.5,"Wilson, Jacob",805779,683004,field_out,hit_into_play,,,,,4.0,Jacob Wilson lines out to center fielder Michael Helman.,R,R,R,TEX,ATH,X,8,line_drive,3,2,2025,-1.12,1.39,-0.38,2.37,,,691777.0,2,5,Top,148.35,88.46,,,,,5.270175326360546,-139.00992774720697,-5.778252490068128,-15.706447101327624,32.29442602201829,-13.111035862234475,3.23,1.56,281.0,85.5,22.0,96.5,2342.0,6.9,777057,543309,669701,543760,673962,608369,694671,680737,666969,53.56,0.314,0.283,0.0,1.0,0,0,3.0,35,6,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,211.0,0.031,-0.294,63.9,5.6,0.368,0.294,88.0,0,0,0.534,0.466,25,23,25,23,3,2,10.0,1.0,6.0,1.0,1.12,1.12,1.12,44.5,0.1016134966142181,5.326607609104005,37.63464788774146,29.89166730793946,28.455975398343213
FF,2025-07-21,96.4,-1.19,5.59,"Wilson, Jacob",805779,683004,field_out,hit_into_play,,,,,1.0,Jacob Wilson lines out to center fielder Michael Helman.,R,R,R,TEX,ATH,X,8,line_drive,1,1,2025,-1.06,1.19,-0.77,2.78,,,,0,4,Top,125.02,84.24,,,,,3.5976746211388995,-140.25682097399334,-4.623666223035412,-14.73687622395919,33.853388271407105,-15.677139247242012,3.23,1.56,286.0,86.1,23.0,98.1,2290.0,7.4,777057,543309,669701,543760,673962,608369,694671,680737,666969,53.1,0.231,0.234,0.0,1.0,0,0,3.0,22,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,213.0,0.028,-0.251,63.4,5.4,0.322,0.251,88.0,1,-1,0.629,0.371,25,23,25,23,2,1,10.0,1.0,6.0,1.0,1.28,1.06,1.06,44.7,3.1851922205987115,6.86481591774749,32.6971949570168,27.129701321087943,29.52786275346056
CH,2025-07-21,81.0,4.43,4.0,"Wilson, Jacob",805779,571948,field_out,hit_into_play,,,,,9.0,Jacob Wilson flies out to right fielder Adolis García. Luis Urías to 3rd.,R,R,L,TEX,ATH,X,9,fly_ball,0,1,2025,1.13,-0.5,0.43,1.68,,649966.0,671732.0,1,7,Top,182.62,79.08,,,,,-11.090215298549795,-117.31059839752844,2.582565117354017,12.684977125966835,24.826040875855117,-37.62589205261065,3.23,1.56,328.0,93.9,26.0,80.6,1445.0,6.6,777057,543309,669701,543760,673962,608369,694671,680737,666969,53.93,0.166,0.218,0.0,1.0,0,0,3.0,54,2,Changeup,5,2,2,5,2,5,2,5,Standard,Standard,76.0,0.048,-0.211,68.2,6.5,0.357,0.211,93.9,3,-3,0.854,0.146,34,23,34,23,1,3,1.0,1.0,2.0,1.0,4.04,1.13,-1.13,-10.3,-3.1374197954072733,8.412646137488055,41.73174367001878,40.70868183148799,29.68402286703164
SI,2025-07-20,94.8,-2.78,6.09,"Wilson, Jacob",805779,668909,field_out,hit_into_play,,,,,6.0,Jacob Wilson lines out to right fielder Daniel Schneemann.,R,R,R,CLE,ATH,X,9,line_drive,1,2,2025,-1.38,0.92,0.58,2.51,,,,0,6,Top,197.33,102.14,,,,,11.942948481470465,-137.39919455753085,-5.77398514491916,-20.11394567496208,30.56218982395667,-19.321152532672137,3.22,1.55,298.0,94.3,20.0,95.4,2133.0,6.9,777084,595978,467793,669717,608070,677587,666134,682657,682177,53.65,0.306,0.335,0.0,1.0,0,0,4.0,44,4,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,229.0,0.015,-0.189,61.6,5.9,0.528,0.189,94.3,4,-4,0.926,0.074,25,23,26,23,3,2,9.0,1.0,6.0,1.0,1.64,1.38,1.38,32.9,-1.7004086826301572,14.419571544357206,32.0260851683122,41.37862792449671,22.69837237246564
ST,2025-07-20,85.7,-2.8,6.0,"Wilson, Jacob",805779,668909,field_out,hit_into_play,,,,,4.0,Jacob Wilson flies out to center fielder Angel Martínez.,R,R,R,CLE,ATH,X,8,fly_ball,1,1,2025,0.59,-0.06,-0.44,2.69,,,,0,4,Top,115.64,64.27,,,,,4.452750647013502,-124.94623348199916,-1.532816658055637,5.444779869546594,22.60578087348366,-32.68939019153618,3.22,1.55,335.0,96.5,33.0,87.3,2267.0,7.0,777084,595978,467793,669717,608070,677587,666134,682657,671286,53.52,0.206,0.365,0.0,1.0,0,0,5.0,25,3,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,56.0,0.026,-0.251,67.5,6.0,0.69,0.251,96.5,2,-2,0.738,0.262,25,23,26,23,2,1,9.0,1.0,6.0,1.0,3.12,-0.59,-0.59,34.1,4.842966996583274,-7.687923688110716,29.73769240481196,31.067715741842196,33.45276832670151
CH,2025-07-19,81.8,2.34,5.21,"Wilson, Jacob",805779,671106,field_out,hit_into_play,,,,,9.0,Jacob Wilson lines out to right fielder Johnathan Rodríguez.,R,R,L,CLE,ATH,X,9,line_drive,0,1,2025,0.94,0.52,0.43,1.97,,,672016.0,2,3,Top,178.34,117.65,,,,,-6.116266945824922,-119.01801686681216,-1.7230114080519736,10.147106375109049,23.006018381359517,-27.14707588845585,3.19,1.53,263.0,92.5,17.0,81.8,1011.0,6.3,777104,666310,467793,682177,608070,677587,666134,682657,671286,54.16,0.689,0.664,0.0,1.0,0,0,4.0,18,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,130.0,0.026,-0.229,62.6,6.2,0.865,0.229,92.5,0,0,0.528,0.472,26,23,27,23,2,1,8.0,1.0,5.0,1.0,2.89,0.94,-0.94,33.5,-1.3642043802600028,13.303500454272932,37.77823301645344,39.19398965504608,28.19521764442614
FF,2025-07-19,95.3,-1.29,6.23,"Wilson, Jacob",805779,663671,single,hit_into_play,,,,,12.0,Jacob Wilson singles on a fly ball to right fielder Johnathan Rodríguez.,R,R,R,CLE,ATH,X,9,fly_ball,2,2,2025,-0.18,1.69,0.97,2.54,,,,1,7,Top,178.65,124.14,,,,,6.339155053220663,-138.4263725926363,-7.843957269530113,-3.679620699626773,31.234614326708005,-8.803847841586704,3.19,1.53,208.0,67.9,30.0,95.4,2591.0,6.5,777104,666310,467793,682177,608070,677587,666134,682657,671286,54.04,0.966,0.873,0.9,1.0,1,0,4.0,51,5,4-Seam Fastball,2,3,3,2,3,2,3,2,Strategic,Standard,197.0,-0.026,0.441,61.9,6.0,1.0,-0.441,88.0,-1,1,0.324,0.676,28,23,28,23,1,3,8.0,1.0,4.0,1.0,0.83,0.18,0.18,61.7,4.082345273552536,7.206089424706119,29.71599129837665,44.91631410745314,24.711028663914632
