pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-29,91.2,-2.02,5.91,"Winn, Masyn",691026,645261,field_out,hit_into_play,,,,,5.0,Masyn Winn lines out sharply to center fielder Javier Sanoja. Victor Scott II to 3rd.,R,R,R,STL,MIA,X,8,line_drive,3,2,2025,-1.2,0.37,0.19,2.16,,687363.0,,1,3,Bot,151.93,53.49,,,,,8.124049856760697,-132.5768779188826,-4.364630410475651,-15.872106960077362,26.08707840583505,-27.139019678686445,3.39,1.57,366.0,102.7,21.0,91.2,2149.0,6.1,776946,689414,687859,669364,688363,672640,669065,691594,660821,54.35,0.537,0.699,0.0,1.0,0,0,6.0,25,6,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,241.0,-0.036,-0.282,75.9,7.6,1.156,0.282,102.7,-2,-2,0.338,0.338,29,23,30,23,2,1,6.0,1.0,6.0,3.0,2.36,1.2,1.2,33.7,-1.5439318827339277,-7.750651012772141,34.27908347476039,34.562694069523616,31.84160256476572
ST,2025-07-29,86.4,-2.22,5.09,"Winn, Masyn",691026,678692,field_out,hit_into_play,,,,,9.0,Masyn Winn flies out to right fielder Jesús Sánchez.,R,R,R,STL,MIA,X,9,fly_ball,0,2,2025,0.77,-0.08,0.46,1.89,,,,2,7,Bot,168.13,131.66,,,,,4.846811519385358,-125.77649961346243,-1.2356094709772203,7.144478795623581,25.76277463898248,-33.0055738646668,3.39,1.57,200.0,80.5,51.0,86.9,2644.0,6.6,776946,689414,676572,669364,691594,672640,669065,667472,660821,53.87,0.057,0.063,0.0,1.0,0,0,3.0,62,4,Sweeper,0,5,0,5,5,0,0,5,Standard,Standard,60.0,-0.003,-0.16,72.4,7.9,0.087,0.16,88.0,-5,-5,0.018,0.018,25,23,25,23,1,3,2.0,1.0,1.0,3.0,3.14,-0.77,-0.77,43.8,6.466534588541778,-8.118027334377306,33.29699087823719,38.021256357716815,35.72717007496668
CH,2025-07-28,94.0,-1.16,5.9,"Winn, Masyn",691026,665795,single,hit_into_play,,,,,14.0,Masyn Winn singles on a line drive to left fielder Heriberto Hernández.,R,R,R,STL,MIA,X,7,line_drive,2,2,2025,-1.3,0.38,0.07,1.38,,,,1,6,Bot,88.91,96.27,,,,,6.08134407153485,-136.78173879550644,-6.919638100287346,-17.712805160419048,27.62063589522697,-26.17761720452931,3.4,1.57,231.0,86.5,14.0,94.8,1653.0,6.5,776960,682663,676572,669364,688363,672640,681715,667472,660821,53.95,0.911,0.861,0.9,1.0,1,0,4.0,43,5,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,240.0,0.013,0.441,74.9,8.1,1.059,-0.441,88.0,2,2,0.84,0.84,27,23,27,23,3,2,6.0,1.0,6.0,1.0,2.19,1.3,1.3,35.5,12.904650497182368,-10.478197719320285,33.8631801231881,33.846383491769764,36.945584829637895
ST,2025-07-28,88.2,-1.96,5.54,"Winn, Masyn",691026,669199,double,hit_into_play,,,,,7.0,"Masyn Winn doubles (23) on a sharp line drive to left fielder Heriberto Hernández. Brendan Donovan scores. Garrett Hampson scores. Alec Burleson scores. Masyn Winn to 3rd. Masyn Winn advances to 3rd, on a fielding error by left fielder Heriberto Hernández.",R,R,R,STL,MIA,X,7,line_drive,2,2,2025,0.85,-0.41,-0.67,1.68,680977.0,641658.0,676475.0,2,7,Bot,15.69,96.37,,,,,1.3723893801582094,-128.4715655051874,-2.447985578014892,9.053382695959169,27.48928845718604,-36.358523559057815,3.4,1.57,310.0,105.2,17.0,88.0,2956.0,6.2,776960,682663,676572,669364,688363,672640,681715,667472,660821,54.31,0.54,0.664,1.25,1.0,1,1,5.0,55,6,Sweeper,3,0,3,0,0,6,6,0,Standard,Standard,45.0,0.044,0.779,73.5,7.8,1.039,-0.779,105.2,3,3,0.95,0.95,30,23,30,23,1,3,10.0,1.0,4.0,1.0,3.34,-0.85,-0.85,31.0,10.094417887364806,-23.006627023188454,36.77744340820896,24.000216367739668,41.28322712344563
FC,2025-07-26,90.9,-1.84,5.92,"Winn, Masyn",691026,681190,field_out,hit_into_play,,,,,5.0,Masyn Winn flies out to center fielder Jackson Merrill.,R,R,R,STL,SD,X,8,fly_ball,1,0,2025,0.08,0.92,0.09,2.83,,,575929.0,2,4,Bot,130.07,95.96,,,,,4.657243561725367,-132.36187650779615,-3.844799513712324,-0.0184016727267879,26.56974499634733,-20.75576927900116,3.41,1.58,258.0,93.4,53.0,91.0,2467.0,6.2,776992,455117,630105,578428,592518,593428,669369,701538,665487,54.35,0.003,0.003,0.0,1.0,0,0,3.0,35,2,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,217.0,-0.031,-0.306,76.0,7.6,0.004,0.306,93.4,-1,-1,0.387,0.387,26,23,27,23,2,1,5.0,1.0,7.0,1.0,1.82,-0.08,-0.08,35.2,12.102208404341662,-10.934205697823652,25.130872871828327,33.11488118814582,38.71205061114118
FS,2025-07-26,84.2,-0.42,5.62,"Winn, Masyn",691026,669093,single,hit_into_play,,,,,6.0,Masyn Winn singles on a line drive to left fielder Bryce Johnson.,R,R,R,STL,SD,X,7,line_drive,0,2,2025,-0.46,1.02,0.39,2.64,,,,1,7,Bot,66.63,105.23,,,,,2.8455927285580085,-122.6622707334626,-2.62830541387945,-5.245756135481264,23.41537579417848,-21.589049374189752,3.41,1.58,242.0,84.3,17.0,85.7,1403.0,7.1,776992,455117,630105,578428,592518,593428,669369,701538,665487,53.38,0.966,0.905,0.9,1.0,1,0,4.0,55,4,Split-Finger,1,2,1,2,2,1,1,2,Standard,Standard,237.0,0.055,0.506,72.7,7.8,1.115,-0.506,88.0,-1,-1,0.305,0.305,26,23,27,23,1,2,2.0,1.0,2.0,1.0,2.18,0.46,0.46,65.8,13.444705283170157,-17.165054379803404,23.84374202681768,37.522916771426665,42.18647747504051
FF,2025-07-25,94.0,-0.96,6.65,"Winn, Masyn",691026,601713,field_out,hit_into_play,,,,,8.0,Masyn Winn flies out to right fielder Fernando Tatis Jr.,R,R,R,STL,SD,X,9,fly_ball,0,0,2025,-0.29,1.44,-0.1,1.97,575929.0,,,1,6,Bot,157.51,116.3,,,,,2.902205488849441,-136.63625977816076,-9.770466348778854,-4.210432235624319,29.11061093465697,-12.168465313796933,3.41,1.58,223.0,81.4,51.0,95.6,2273.0,7.2,777005,553869,650333,630105,578428,593428,657757,701538,665487,53.31,0.051,0.058,0.0,1.0,0,0,3.0,48,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Strategic,Standard,195.0,-0.022,-0.124,74.8,7.7,0.075,0.124,88.0,3,3,0.937,0.937,32,23,32,23,3,2,5.0,1.0,7.0,1.0,1.14,0.29,0.29,56.4,9.01958615377048,-7.399931249468258,32.71936593096935,30.75102153668026,37.1260073681122
ST,2025-07-25,82.4,-1.33,6.67,"Winn, Masyn",691026,601713,double,hit_into_play,,,,,9.0,Masyn Winn doubles (21) on a line drive to center fielder Jackson Merrill. Willson Contreras scores. Nolan Arenado scores.,R,R,R,STL,SD,X,8,line_drive,2,0,2025,1.46,-0.25,0.64,1.79,575929.0,571448.0,,1,4,Bot,88.66,64.49,,,,,1.6463490896851898,-119.94366417096472,-4.096838524960737,13.696401116672982,24.70603236318909,-33.922860583813424,3.41,1.58,307.0,98.8,15.0,83.1,2430.0,6.9,777005,553869,650333,630105,578428,593428,657757,701538,665487,53.64,0.734,0.723,1.25,1.0,1,1,4.0,31,3,Sweeper,1,0,1,0,0,3,3,0,Strategic,Standard,63.0,0.107,0.621,73.2,8.1,0.956,-0.621,98.8,1,1,0.771,0.771,32,23,32,23,2,1,5.0,1.0,7.0,1.0,3.62,-1.46,-1.46,54.5,7.399433248842262,-9.346538758854074,32.03163245163142,39.64661393635215,37.60270314259656
SI,2025-07-24,92.2,-2.02,5.56,"Winn, Masyn",691026,506433,field_out,hit_into_play,,,,,5.0,Masyn Winn lines out to right fielder Fernando Tatis Jr.,R,R,R,STL,SD,X,9,line_drive,1,2,2025,-0.9,0.85,0.12,2.38,,,,0,3,Bot,189.75,89.53,,,,,7.435635967669228,-134.0200068410501,-4.0896300709933415,-12.444711800945475,29.64308748984481,-21.19730706743122,3.41,1.58,314.0,95.3,21.0,92.6,2163.0,6.6,777023,455117,650333,630105,592518,593428,669369,701538,665487,53.87,0.249,0.291,0.0,1.0,0,0,3.0,31,6,Sinker,7,5,7,5,5,7,7,5,Standard,Standard,215.0,-0.015,-0.189,70.2,6.7,0.471,0.189,95.3,2,2,0.772,0.772,38,23,39,23,2,1,5.0,1.0,6.0,1.0,1.84,0.9,0.9,36.2,-4.27262043336814,15.91711631703436,28.864933084951986,32.697664057235,27.54115945405817
FF,2025-07-24,91.8,2.03,5.97,"Winn, Masyn",691026,673513,field_out,hit_into_play,,,,,5.0,Masyn Winn flies out to right fielder Fernando Tatis Jr. Willson Contreras to 3rd.,R,R,L,STL,SD,X,9,fly_ball,3,2,2025,0.15,1.36,-0.14,2.2,,575929.0,571448.0,0,5,Bot,164.92,69.12,,,,,-5.764681170062601,-133.42543742176903,-6.5708446531333005,2.975444074584268,28.46801702550342,-14.722082059041352,3.41,1.58,336.0,92.2,27.0,91.2,2500.0,6.0,777023,455117,650333,630105,592518,593428,669369,701538,665487,54.51,0.094,0.107,0.0,1.0,0,0,3.0,51,6,4-Seam Fastball,8,7,8,7,7,8,8,7,Standard,Standard,161.0,-0.015,-0.336,70.6,7.2,0.178,0.336,92.2,1,1,0.791,0.791,29,23,30,23,1,2,5.0,1.0,5.0,1.0,1.35,0.15,-0.15,53.3,-1.4146570380266004,0.555434963665976,34.85900139401051,29.322508369588924,28.90316974444905
